DATE,DEXCAUS,DEXUSUK
2019-10-09,1.3327,1.2215
2019-10-10,1.3274,1.2382
2019-10-11,1.3181,1.2683
2019-10-14,,
2019-10-15,1.3199,1.2737
2019-10-16,1.3191,1.2854
2019-10-17,1.3136,1.2853
2019-10-18,1.3134,1.2904
2019-10-21,1.31,1.2983
2019-10-22,1.3086,1.2948
2019-10-23,1.3089,1.2886
2019-10-24,1.3078,1.281
2019-10-25,1.3064,1.2833
2019-10-28,1.3063,1.286
2019-10-29,1.3078,1.2905
2019-10-30,1.3179,1.2872
2019-10-31,1.3144,1.2939
2019-11-01,1.3145,1.295
2019-11-04,1.3145,1.2906
2019-11-05,1.3176,1.287
2019-11-06,1.3187,1.2872
2019-11-07,1.3177,1.2829
2019-11-08,1.3218,1.279
2019-11-11,,
2019-11-12,1.3227,1.2855
2019-11-13,1.3239,1.284
2019-11-14,1.3251,1.2879
2019-11-15,1.3228,1.2901
2019-11-18,1.321,1.2965
2019-11-19,1.3233,1.2926
2019-11-20,1.3317,1.2918
2019-11-21,1.3277,1.2915
2019-11-22,1.3293,1.2829
2019-11-25,1.3312,1.2885
2019-11-26,1.3285,1.285
2019-11-27,1.3284,1.2881
2019-11-28,,
2019-11-29,1.3291,1.2939
2019-12-02,1.3298,1.2936
2019-12-03,1.3298,1.3002
2019-12-04,1.3212,1.3095
2019-12-05,1.3177,1.3165
2019-12-06,1.3255,1.3127
2019-12-09,1.3228,1.3157
2019-12-10,1.3231,1.3178
2019-12-11,1.3202,1.3176
2019-12-12,1.3185,1.3133
2019-12-13,1.3196,1.3349
2019-12-16,1.3158,1.333
2019-12-17,1.3155,1.3116
2019-12-18,1.3117,1.3078
2019-12-19,1.3122,1.3034
2019-12-20,1.317,1.3036
2019-12-23,1.3167,1.2917
2019-12-24,1.316,1.2955
2019-12-25,,
2019-12-26,1.3124,1.3007
2019-12-27,1.3073,1.309
2019-12-30,1.3058,1.314
2019-12-31,1.2962,1.3269
2020-01-01,,
2020-01-02,1.2998,1.3128
2020-01-03,1.2985,1.3091
2020-01-06,1.2964,1.3163
2020-01-07,1.3016,1.3127
2020-01-08,1.3026,1.311
2020-01-09,1.309,1.3069
2020-01-10,1.3051,1.306
2020-01-13,1.3049,1.2983
2020-01-14,1.3056,1.3018
2020-01-15,1.304,1.303
2020-01-16,1.3042,1.3076
2020-01-17,1.3074,1.3029
2020-01-20,,
2020-01-21,1.3068,1.3047
2020-01-22,1.3135,1.3136
2020-01-23,1.3144,1.3104
2020-01-24,1.3146,1.3071
2020-01-27,1.3176,1.3054
2020-01-28,1.3174,1.2996
2020-01-29,1.3201,1.3012
2020-01-30,1.3216,1.3106
2020-01-31,1.322,1.3195
2020-02-03,1.3295,1.3006
2020-02-04,1.3266,1.3029
2020-02-05,1.3294,1.3
2020-02-06,1.3292,1.2935
2020-02-07,1.3304,1.2908
2020-02-10,1.3323,1.2919
2020-02-11,1.3299,1.2945
2020-02-12,1.3243,1.2978
2020-02-13,1.3255,1.3051
2020-02-14,1.3251,1.3039
2020-02-17,,
2020-02-18,1.3256,1.3017
2020-02-19,1.3232,1.2934
2020-02-20,1.3259,1.2877
2020-02-21,1.3217,1.2966
2020-02-24,1.3282,1.2923
2020-02-25,1.3285,1.3004
2020-02-26,1.3321,1.2921
2020-02-27,1.3356,1.2876
2020-02-28,1.3411,1.2778
2020-03-02,1.3334,1.2791
2020-03-03,1.3352,1.2827
2020-03-04,1.3425,1.2836
2020-03-05,1.3403,1.2939
2020-03-06,1.342,1.301
2020-03-09,1.3527,1.31
2020-03-10,1.3775,1.2933
2020-03-11,1.3748,1.2887
2020-03-12,1.3869,1.2541
2020-03-13,1.3991,1.2406
2020-03-16,1.3974,1.2278
2020-03-17,1.4188,1.2017
2020-03-18,1.4529,1.176
2020-03-19,1.4463,1.1662
2020-03-20,1.4363,1.1743
2020-03-23,1.4539,1.1492
2020-03-24,1.448,1.1784
2020-03-25,1.4333,1.1763
2020-03-26,1.4045,1.214
2020-03-27,1.4075,1.236
2020-03-30,1.4169,1.2392
2020-03-31,1.4123,1.2454
2020-04-01,1.4222,1.2394
2020-04-02,1.411,1.238
2020-04-03,1.4132,1.2228
2020-04-06,1.4125,1.2298
2020-04-07,1.3971,1.2343
2020-04-08,1.4015,1.2394
2020-04-09,1.398,1.2458
2020-04-10,1.3967,1.2485
2020-04-13,1.3953,1.2518
2020-04-14,1.3903,1.2617
2020-04-15,1.4105,1.2523
2020-04-16,1.4141,1.2433
2020-04-17,1.4026,1.2503
2020-04-20,1.4067,1.2467
2020-04-21,1.4199,1.2266
2020-04-22,1.4132,1.2332
2020-04-23,1.4028,1.2369
2020-04-24,1.4098,1.2335
2020-04-27,1.4042,1.2421
2020-04-28,1.3992,1.2438
2020-04-29,1.3936,1.2429
