"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","10 Sept 2024","Overall good experience as an intern","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90902015.htm","Summer intern","Former intern, less than 1 year","Bengaluru","- Flexible work hours
- Scope for learning
- Helpful and amiable people","- None, had a great time","Show more"
"3.0","9 Sept 2024","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90848367.htm","Manager","Former employee, more than 10 years","Bengaluru","Good work life balance in ABB","Slower career growth and less salary if you are an old employee","Show more"
"4.0","10 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90874554.htm","Buyer","Former employee, more than 1 year","Bengaluru","Everything is good
Good Company","No Cons, it is good company","Show more"
"4.0","2 Aug 2024","""ABB: A Global Leader with Room for Improvement""","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW89721763.htm","Frontend developer","Current contractor, more than 1 year","Bengaluru","Innovative Work Environment: ABB is at the forefront of technological advancements, particularly in automation and robotics.
Global Presence: Opportunities to work in diverse locations and interact with international teams.
Strong R&D Focus: Significant investments in research and development, fostering innovation.
Comprehensive Benefits Package: Competitive salaries, health benefits, and retirement plans.
Sustainable Practices: Commitment to environmental sustainability and renewable energy initiatives.","Bureaucratic Structure: Slow decision-making processes due to hierarchical organizational structure.
Work-Life Balance: High expectations and workload can impact personal life.
Limited Career Growth: Career advancement opportunities can be slow and limited.
Communication Gaps: Inconsistent communication between different departments and management levels.
Resistance to Change: Established processes can be rigid, making it difficult to implement new ideas quickly.","Show more"
"3.0","9 Sept 2024","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90863496.htm","Senior finance specialist","Current employee, more than 3 years","Bengaluru","","",""
"5.0","31 Aug 2024","Good Organization","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90606091.htm","Data manager","Current employee, more than 1 year","Bengaluru","Cares for Employees, Lots of colloboration across work","Too far behind the curve in internal technology and processes","Show more"
"4.0","4 Sept 2024","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90691755.htm","Sales specialist","Current employee, less than 1 year","Hyderābād","Culture, policies, benifits, MNC and Brand value","Not very aggressive in decision making and price support","Show more"
"4.0","5 Sept 2024","Job review","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90760249.htm","Project engineer","Current employee, more than 1 year","Bengaluru","Good work culter
Flexible time","No cons. ABB is good company","Show more"
"3.0","29 Aug 2024","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90536296.htm","Bids and proposals manager","Current employee, more than 10 years","Bengaluru","Good place to work and explore many things and many functions","No promotions
No clarity on further growth.
Stagnant in same roles for a long time with less salary than the market","Show more"
"5.0","2 Sept 2024","Professional MNC / Company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90628360.htm","Head l&d","Current employee, more than 8 years","Mumbai","Good benefit for helath 
Safety parctices
Balance life","Slow growth
Movable job
No learning","Show more"
"4.0","30 Aug 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90587568.htm","R and d engineer","Current employee, more than 1 year","Bengaluru","Good culture 
Challenging nature of work","You will have different opinion on certain things from management 
Insurance and other Benefits could be a lot better","Show more"
"4.0","30 Aug 2024","Work culture","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW90580852.htm","Engineer","Current employee, more than 8 years","Bengaluru","","",""
"5.0","16 Jun 2024",".","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW88296266.htm","Intern","Former intern, less than 1 year","Bengaluru","Learning Opportunities: ABB India offers a wealth of learning opportunities, from exposure to cutting-edge technologies in automation and electrification to insights into global business practices.

Professional Development: Interns receive training and mentorship from experienced professionals, helping to develop both technical skills and soft skills such as teamwork, communication, and problem-solving.

Innovative Environment: Working at ABB India allows interns to be part of an innovative environment where they can contribute to real projects and see the impact of their work on industry and society.","Competitive Environment: The competitive nature of the company means that interns need to be highly proactive and dedicated to stand out, which can be demanding and stressful.

Workload Pressure: Depending on the department and projects, interns might face high workloads and tight deadlines, which can be challenging to manage alongside learning and adapting to a new work environment.

Limited Scope in Some Roles: Some internship positions might have a limited scope of work, providing fewer opportunities to gain hands-on experience in diverse areas.","Show more"
