ADANI GROUP
review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,18 Aug 2024,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90191806.htm,Vice president,"Current employee, more than 10 years",New Delhi,Work in India with good salary,Long work hours during week,,,
3.0,30 Sept 2024,"Except for specific persons, company is good",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91468705.htm,Assistant manager - finance & accounts,"Former employee, more than 1 year",Ahmedabad,,,HR Policies and benefits and overall culture is good,Few seniors are not friendly and treat their subordinates like slaves.,Show more
5.0,1 Oct 2024,Adani Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91508831.htm,Anonymous employee,Current employee,,Great learning opportunity. Friendly work environment.,Nothing negative as of now,,,
4.0,26 Sept 2024,Overall ok experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91372136.htm,Business strategy manager,"Current employee, more than 3 years",Ahmedabad,,,Good exposure to business and knowledge gain. People driven organization.,Can be much more challenging and structured. Knowledge growth is immense however skill set growth might not be much.,Show more
3.0,27 Sept 2024,Quality Control and assurance Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91430325.htm,Quality assurance,"Former employee, more than 1 year","Gurgaon, Haryana",1. The best colleagues to work with are highly experienced.,1. It is very hectic working there.,,,
4.0,28 Sept 2024,Great learning opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91437103.htm,Hr intern,"Current intern, less than 1 year",Ahmedabad,"Great exposure and learning experience, cooperative team memers","No work-life balance, stressful job",,,
4.0,24 Sept 2024,Dedicated work but too many overtimes.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91298548.htm,Assistant manager,"Former employee, more than 1 year",Ahmedabad,,,Variation in work with many diverse projects.,Overloaded work due to less staff.,Show more
4.0,25 Sept 2024,Associate Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91344138.htm,Associate manager,"Current employee, more than 1 year",Ahmedabad,,,Work life balance is good,Office politics make you feel not so good always,Show more
5.0,25 Sept 2024,Working at Adani,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91331988.htm,Assistant manager,"Current employee, more than 1 year","Mundra, Gujarat",,,"Job Security
Salaray
Upraisals
Benifts","Shift timings
Rotation shifts
Career Growth",Show more
3.0,24 Sept 2024,Fine,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91305389.htm,Deputy manager,"Current employee, more than 1 year",Ahmedabad,Just fine not much here,Stagnant and slow paced environment,,,
3.0,21 Sept 2024,Its a promoter run company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91220797.htm,Anonymous employee,Current employee,,,,"Good pay
Senior Leadership is top notch","6 day working
Promoter run company
Working hours are long depending on team",Show more
4.0,23 Sept 2024,Good for freshers,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91268665.htm,Management trainee,Former employee,"Mundra, Gujarat",Helpful and great to learn,Politics and location is bad,,,
5.0,16 Sept 2024,Adani Group is a secure job for new employees,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91057866.htm,Hr-officer,"Former employee, more than 3 years",Ahmedabad,,,"- Job Security
- Standard Pay
- Good oppurtunites","- Minimum work life balance
- Corporate politics
- Lower hikes",Show more
5.0,20 Sept 2024,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91198353.htm,Manager bd,Current employee,Ahmedabad,Growth mindset and positive attitude,Saturday working is still prevailing,,,
4.0,18 Sept 2024,Nice place to explore sports domain. Great leaders,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91116639.htm,Deputy manager,"Former employee, more than 3 years",Ahmedabad,,,Nice team to work with,Feel Short staffed at times,Show more
2.0,30 Aug 2024,Worklife,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90561369.htm,Junior rpa developer,"Former intern, less than 1 year",Ahmedabad,,,Not so much work to do. You will complete your work in 4-5 hours .,Bad management . They will judge you on the basis of how much time you are in company. They expect to sit for 10-12 hours .,Show more
4.0,16 Sept 2024,Good work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91060324.htm,Senior engineer,"Current employee, more than 3 years","Mundra, Gujarat",Promotions and bonus is not upto mark,Work life balance is good.,,,
4.0,12 Sept 2024,Design at Adani airports,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90947193.htm,Deputy general manager,"Former employee, more than 10 years",Ahmedabad,,,Large scale and challenging projects across India,Slow progress on work and management keeps changing the decisions overnight.,Show more
1.0,12 Jul 2024,Horrible Workplace. Never fall in trap to join it.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW89106237.htm,Senior manager,"Former employee, more than 1 year",Ahmedabad,,,Nothing good about this company,"1. Extremely poor work culture
2. Highest level of work politics
3. Leadership does not have any vision to give to it's employees.
4. Leadership and management is extremely high on attitude
5. Unfriendly work policies and no flexibility
6. No SOPs of working, they will keep highest level of ambiguity so nothing is defined
7. You end up working 12 hours in a day
8. Saturday you end up working whole day
9. They have highest level of bias against women and certain other communities
10. It is a purely political company which thrives on government patronage and government contracts
11. Join this organization only if you want to destroy your career
12. Overall, to sum it up, it is a fraud and cheat company. Do not fall in its trap to join and destroy your career like I did.",Show more
4.0,15 Sept 2024,Op,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91029017.htm,Anonymous employee,"Current employee, more than 3 years",,,,Job security in the grouo,Work load daily work pressure,Show more
4.0,15 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91027045.htm,Design manager,"Current employee, more than 5 years",Mumbai,,,Growth has been good so far.,As such there are None.,Show more
4.0,5 Sept 2024,Senior Manager Business Development,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90748032.htm,Senior manager,"Former employee, more than 5 years",Ahmedabad,,,"Scope of learning new things, On time salary, dynamic work culture","Issue of work life balance, high stress in certain roles",Show more
4.0,12 Sept 2024,Adani Electricity,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90975527.htm,Senior executive,"Current employee, more than 1 year",Mumbai,,,"Better Management Profiles
Border responsibility",Work life balance in tough,Show more
4.0,12 Sept 2024,Hi,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90960808.htm,Assistant manager,Current employee,Ahmedabad,Good work for local employees,Nothing much to dislike about,,,
4.0,10 Sept 2024,Salary details,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90900427.htm,Associate manager,"Former employee, more than 3 years",Mumbai,Good employee benefits for wellness,"Stretched team, lots of working hours",,,
1.0,9 Sept 2024,Don’t join its a trap,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90836338.htm,Assistant manager,"Former employee, less than 1 year",,,,"Projects are good.
Indian reputation is nice","They make you work on Saturdays 
Its not good for those who want peaceful organisation. It is full of politics and very dirty one.
If you are non Gujrati and move to Ahmedabad its a nightmare",Show more
1.0,19 Sept 2024,NA,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW91184158.htm,Assistant manager,"Current employee, less than 1 year",Mumbai,,,the brand is good overall.,toxic work culture and too much pressure,Show more
2.0,4 Sept 2024,Not such good experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90703539.htm,Associate product manager,"Current employee, more than 1 year","Gurgaon, Haryana",They don't fire generally. Lot of work being done in new space.,"Shortage of manpower, no work life balance, working Saturdays",,,
2.0,3 Sept 2024,About Ahmedabad Airport,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90654124.htm,Operations manager,"Current employee, less than 1 year",Ahmedabad,,,"Organization is cash-rich, hence projects are on a roll.",Work culture has got to scale up.,Show more
5.0,9 Aug 2024,It was a great experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW89943186.htm,Network engineer,Current employee,,,,"1) As it is utility company, I was involved in the erection, testing and commissioning of multiple transmission projects.
2) I got expertise in the operation and maintenance of the system.
3) I had the opportunity to interact and deal with global contractors.
4) I became highly conversant with designing and developing of transmission systems",There are no cons as such in the organization,Show more
4.0,4 Sept 2024,NIce salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90697327.htm,Dgm - operations,Current employee,Mumbai,Good work culture and innovation,At times stressful due to safety critical job,,,
4.0,27 Aug 2024,Decent company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90449656.htm,Regional head sales,"Current employee, more than 3 years","Gurgaon, Haryana",,,"1. Small Team
2. Pressure is not there
3. Job security","1. Working 6 days a week
2. Lack of management focus
3. Weak HR policies",Show more
4.0,30 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90577997.htm,Manager,"Current employee, less than 1 year",Ahmedabad,,,Good location in affordable city,Too much work considering the company growth,Show more
4.0,29 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90560008.htm,Senior engineer,Former employee,,,,"High Growth Opportunity
Accountability
Engagement
faster learning
flat structure","High demand
Intense work culture
Communication Gap
low mobility
Satisfaction",Show more
5.0,27 Aug 2024,GET in Software,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90466870.htm,Graduate engineering trainee get,"Current employee, less than 1 year",Hyderābād,"Nuances of corporate life, with great benefits and worklife",Not much of work for fresher in software related fields,,,
4.0,29 Aug 2024,Site Electrical engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90560554.htm,Electrical engineer,"Current employee, less than 1 year",Jaisalmer,Given Good salary hike and positive environment,Designation not matter at site location,,,
5.0,27 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90483103.htm,Executive trainee,Current employee,Ahmedabad,Very good work culture and environment,Not any i known of,,,
3.0,22 Aug 2024,Alright place,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90309341.htm,Associate manager,Current employee,Ahmedabad,,,"1. Pay
2. Was lucky to have a good manager and good HR","1. City
2. Sit in office culture
3. No flexibility",Show more
5.0,16 Aug 2024,Great place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90144131.htm,Human resources business partner hrbp,"Current employee, more than 5 years",Ahmedabad,,,"Entrepreneurial spirit, Ambitious, infact very ambitious goals and great Human Resources Management.",Can do better with the Non-Gujarati folks. Diversity things.,Show more
4.0,26 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90435047.htm,Manager,Former employee,Ahmedabad,,,"Good culture
Welcoming team
Low work pressure",Saturday working is an issue,Show more
5.0,5 Aug 2024,Career Growth,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW89789529.htm,Chro,"Current employee, more than 3 years",,,,"Organisation is growing rapidly and creating opportunities in airport, like never done before, which is giving opportunities to the employees to experience size, scale, diverse businesses.",One must be prepared to adapt to speed and size / scale.,Show more
4.0,19 Aug 2024,Safety Lead,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90211154.htm,Safety lead,"Current employee, more than 1 year",Mumbai,Salary on time. Good working culture.,Working hours more. Saturday no holiday,,,
4.0,18 Aug 2024,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90185332.htm,Techno commercial manager,"Current employee, more than 1 year",,Very nominal pressure and good working environment,Lac of clarity of roles,,,
4.0,14 Aug 2024,Great company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Group-RVW90107852.htm,Assistant manager,"Current employee, more than 3 years","Gurgaon, Haryana",,,Good project to work on,No work from home options,Show more
