review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,30 Aug 2024,Excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90589163.htm,General manager,Current employee,"Mundra, Gujarat",Great company to work with,Nothing in particular as such,Show more
1.0,3 Oct 2024,Worse Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW91612405.htm,Product engineer,"Former contractor, more than 1 year","Mundra, Gujarat",High level of autonomy and independence in your work.Valuable opportunities open up after gaining experience with Adani.,"Fast-paced and demanding work environment.Lack of personal attention or support.Poor quality of food in the canteen.Security staff treat employees harshly.Overtime is often required without.
choice.Unfair 'first come, first served' policy in place.",Show more
1.0,31 Aug 2024,It's not good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90593857.htm,Graduate engineering trainee get,"Current employee, less than 1 year","Mundra, Gujarat",There is no pros in adani until you reach a certain position,"Bad living conditions 
No work-life balance
First they told 8 hrs shift now they are making us do 12 hrs shift. 
They don't tell you your job role until you get on site
Water and electricity supply cut off as soon as there is a little heavy rainfall.",Show more
4.0,27 Aug 2024,Great company to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90476900.htm,Assistant manager,"Current employee, more than 1 year",Ahmedabad,"It feels proud to be part of such a big group, people are very co-operative and overall nice culture","Promotions are slow ,Saturday working and no WFH",Show more
4.0,7 Sept 2024,Overall,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90798857.htm,Dy manager,"Current employee, more than 5 years",Surat,Appreciates the efforts put in right direction.,Pay scales slightly lower compared to market,Show more
3.0,2 Sept 2024,Decent company but less switching options,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90634847.htm,Senior engineer,"Former employee, more than 1 year","Mundra, Gujarat","1. Accommodation
2. Healthcare Benefits","1. Work-life balance
2. Office Politics
3. Growth Prospects",Show more
2.0,16 Jul 2024,Too much politics with least focus on employee retention,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89186570.htm,Senior manager,"Current employee, more than 8 years",Ahmedabad,"Decent paymaster
Living in Ahmedabad is reasonable considering cost of living is on lower side","Adani is almost like monopoly in bulk port handling when you consider a corporate. So options are very limited to exit and join another corporate
HR is non-existential and no efforts to retain talent
Too much politics at top level leaders where the fight to get credit is spoiling the company culture",Show more
4.0,17 Aug 2024,Great culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW90177453.htm,Agm strategy,"Current employee, more than 5 years",Chennai,Learning curve is growing continuously at adani,No cons as of now. Lot of travel is sometimes a pain,Show more
4.0,4 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89784801.htm,Manager,Former employee,,,,
3.0,14 Jul 2024,"Very difficult place to work, highly indulge in politics. Only show bazi no productivity",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89138924.htm,Associate manager,"Current employee, more than 8 years",Ahmedabad,"Good worklife balance.
Very good canteen facility.","Work place with high politics.
People here motivated for show bizz.
Retrenchment of site employees.",Show more
3.0,15 Jul 2024,Exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89149083.htm,Mt- marketing,"Current employee, less than 1 year",,,,
4.0,16 Jul 2024,great org to start career with,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89188917.htm,Dgm - corporate services,"Current employee, more than 1 year",Ahmedabad,,,
5.0,15 Jul 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89147109.htm,Site ehs manager,"Current employee, more than 8 years",Chennai,"Very good working environment
Very good working culture 
Staffs are very friendly","No cons...
Saturday is working day",Show more
3.0,14 Jul 2024,adani ports,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW89125737.htm,Senior officer,Former employee,,,,
3.0,1 Jul 2024,As a Fresher,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW88761163.htm,Graduate apprentice trainee (gat),"Current contractor, less than 1 year",Sri Potti Sriramulu Nellore,,,
2.0,17 Jun 2024,Big brand name of Adani comes with a lot of riders,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW88311583.htm,Senior manager,Former employee,Ahmedabad,,,
4.0,7 Jun 2024,Intern M&A || Corporate house,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW88058121.htm,Intern m&a,"Former intern, less than 1 year",Ahmedabad,,,
5.0,2 Jun 2024,Perfect,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW87862651.htm,Senior officer security,"Current employee, more than 1 year",Bhadrakh,"All. 
Everything that we receive comes under pros.",Na except remote location. Otherwise everything is perfect.,Show more
4.0,3 Jun 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW87876870.htm,Internship,"Former intern, less than 1 year","Mundra, Gujarat",Best company to learn in port sector,Work pressure is too high,Show more
4.0,31 May 2024,Great place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW87820344.htm,Senior structural engineer,"Current employee, more than 1 year","Mundra, Gujarat",,,
4.0,26 May 2024,Great place to gain exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW87655439.htm,Deputy manager,"Former employee, more than 5 years",Ahmedabad,,,
