review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,11 Oct 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91837385.htm,Maharashtra,"Current employee, more than 1 year","Gondia, Maharashtra","Good culture for work
Very","Good , learning experience
Really awesome place to learn new things",Show more,,
4.0,11 Oct 2024,--,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91841129.htm,Assistant manager,"Former employee, more than 3 years",Raigarh,"Great team, great people, great benefits","Less holidays, longer working hours",Show more,,
3.0,10 Oct 2024,Okay okay,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91815181.htm,Senior manager,"Former employee, more than 8 years",Mumbai,,,,Salary on time in every month,Workload is very much generally
3.0,9 Oct 2024,Adani salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91786090.htm,Rpa developer - automation anywhere,"Current employee, more than 3 years",Ahmedabad,,,,"Good for fresher, good culture",Not that much it work
5.0,4 Oct 2024,HSE,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91613160.htm,Deputy manager,"Current employee, more than 8 years",Tirora,Site hse executions CHP project boiler switch,"Increment less less benefit, fits less salary hike as per market corrections, no hikes",Show more,,
5.0,1 Oct 2024,Good internship experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91504697.htm,Intern,"Former employee, less than 1 year",Mumbai,,,,good people and workplace with a professional environment,sometimes the work can be challenging
4.0,27 Sept 2024,Good opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91404619.htm,Senior executive,"Current employee, more than 1 year",Mumbai,,,,Roles and responsibilities are good,Hectic work schedule for engineers and strict rules
3.0,24 Sept 2024,Good Place to work(good only),https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW91298441.htm,Fire and safety manager,"Former employee, less than 1 year",Tirora,,,,Good in working culture at the plant level,Need more improvement in staff role clarity
3.0,29 Aug 2024,As a individual you will get a lot opportunity to learn but for long run you have to plan,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW90544407.htm,Techno commercial,"Current employee, more than 8 years",Mahān,They will motivate to work at every step and training process is so good that you will get to learn from grass root level,Consideration of your problems and resolution is slow. Not every place is same sometimes the company should give priority to people on site rather than on HO,Show more,,
3.0,13 Sept 2024,Work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW90981622.htm,Assistant manager,"Former employee, more than 1 year",Udupi,,,,"Salary credited on time, job safety","No work life balance, toxic culture"
