review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,8 Aug 2024,Good Environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89898070.htm,Technical support engineer,Former employee,Calcutta,All good and supportive environment,"No cons at all, just appraisal",,,
4.0,28 Aug 2024,Ambuja cement,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW90505065.htm,Manager,Current employee,,Good company to work there,excessive corporate culture puzells the employee,,,
4.0,19 Aug 2024,Nice company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW90204565.htm,Environment officer,Current employee,Mumbai,,,Yes it is good company,It is good opportunities in company,Show more
5.0,8 Aug 2024,review and my experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89896811.htm,Hr manager,Former employee,"Gurgaon, Haryana",Very good experience and overview,"none, all was good during my stint",,,
3.0,8 Aug 2024,Hectic work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89914949.htm,Assistant manager,"Current employee, more than 1 year",Pune,,,"Timings are good 
New job responsibilities","Work life balance 
No bonus and incentive",Show more
1.0,31 Jul 2024,Worst job,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89680192.htm,Customer service executive,"Current employee, less than 1 year","Hamīrpur, Himachal Pradesh",,,"Salary is good but pressure is more than you think, As of this role you have to deal with dealer ,tse ,tso and provide extra services too , that enough to make your hair whiter before your actual age","Worst worst worst job , company will have to must improve there policies in this regard",Show more
5.0,20 Jul 2024,Ambuja Cements Sales,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89326030.htm,Sales,"Former employee, more than 1 year",New Delhi,Compensation amount is hefty and bonuses as well,Pressure during peak season time,,,
5.0,16 Jul 2024,Reputed Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89188724.htm,Stores manager,"Current employee, more than 10 years",Sānkrāil,,,It's a 2nd largest cement company in india.,None of cons here .,Show more
5.0,3 Jul 2024,Excellent place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW88834652.htm,Engineer,"Current employee, more than 1 year",Mumbai,"good learning, guidance by senior, good salary work life balance",nearly nil every company has cons but this has minimal issues,,,
1.0,14 Jul 2024,Not ideal to work if you’re in sales & marketing profile,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW89134123.htm,Assistant manager,"Current employee, more than 1 year",Basti,,,Handsome salary and other perks,"Too much work pressure, no personal life.",Show more
4.0,22 May 2024,It was very good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87541803.htm,Pharmacist,Current contractor,,,,Everything was good. All staff were always help to his employees.,Never team leader was take the responsibility.,Show more
4.0,26 May 2024,Nice facilities,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87653414.htm,Deputy manager,"Former employee, more than 10 years","Chandrapur, Maharashtra",Time to time salary and good accommodation,High work load and slow growth,,,
5.0,24 May 2024,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87606956.htm,Legal manager,Former contractor,,"Great people, good exposure, Opportunities",No cons as such in the company,,,
5.0,16 May 2024,Work environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87342295.htm,Agm-engineering and commissioining,"Current employee, more than 10 years",Malkangiri,,,"Competitive and result oriented, managed by professionals.",Core value of safety and wellness sometimes get over work.,Show more
5.0,16 May 2024,Good opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87333925.htm,Sr. sales officer,"Current employee, more than 1 year",Bhubaneshwar,,,"Salary on time
Good increments","Sometimes, sales pressure is a little too much.",Show more
4.0,9 May 2024,Good working environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW87128357.htm,Sr officer,Former employee,,Safety precautions are highly appreciable.,Job insecurity and uneven management criteria.,,,
2.0,19 Apr 2024,Not satisfied,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW86475136.htm,Assistant manager,"Current employee, more than 1 year",Bhātāpāra,Provide accommodations at few locations,"Job stability is not there, work culture, Remote locations",,,
4.0,10 Apr 2024,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW86177434.htm,Technical services engineer,"Current employee, more than 3 years",Calcutta,,,Salary and benefare good enough,Nothing as such it is a good company,Show more
3.0,28 Mar 2024,Pricing and Planning Strategy,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW85810949.htm,Pricing analyst,"Former employee, more than 5 years","Gurgaon, Haryana",,,"Flexible timing
Brand Name
Learning Opportunity","No growth
WORK on all day's",Show more
3.0,3 Feb 2024,Territory sales officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW84021307.htm,Territory sales officer,Current employee,,,,"Earlier it was a very good organisation when it was under holcim but after
Management change it is not a very
Unstable organisation in bihar.",After management change organisation is not as good as it was earlier.,Show more
5.0,17 Jul 2023,company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW78308934.htm,Field officer,"Current employee, more than 3 years","Batāla, Punjab",,,"Ambuja Cement is known for its strength and durability, making it suitable for construction of strong buildings and structures. It has a low heat of hydration, which means it produces less heat during the curing process, reducing the risk of cracks in the structure. The brand has a good reputation in the market and is widely available across the country. Ambuja Cement has a wide range of products, including specialized cement for different applications, such as marine structures, high-rise buildings, and precast concrete.","The cost of Ambuja Cement is relatively higher compared to other brands of cement available in the market. The brand has faced criticism in the past for its environmental practices, including the use of non-renewable resources and pollution caused by its manufacturing processes. Some customers have reported issues with the quality and consistency of the cement, such as uneven curing and cracking in the structure.",Show more
4.0,20 Sept 2023,"Amazing company to work, good work culture",https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW80269862.htm,Assistant manager,Current employee,,,,"Employees are supportive, company management always asks if any support required to improve the market. A lot of opportunities are there.","Company used to give tours to the employees earlier along with channel parteners, but now it is restricted for employees. Work life balance part is deteriorating.",Show more
1.0,24 Jan 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW83673300.htm,Assistant manager,"Current employee, more than 3 years",Calcutta,,,"Nothing is going currently, everything needs to change","Everything right now, need a lots of changes",Show more
5.0,25 Aug 2023,SUITABLE POST IN FIRST CLASS MINES MANAGER,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW79481688.htm,Manager - mines,Current employee,,,,My objective is to be a successful & distinguished engineer in the challenging & self satisfactory professional environment with a giant to learn continuously. My innovative ideas & thought will help me to create a new dimension in my profession,"I introduce myself as a Mining Engineer Graduate. Presently I am working as a Manager ( Mines) in Ambuja Cement Ltd. Darlaghat Distt., (Solan) and actively involved in carrying Drilling, Blasting, Development, and Production.",Show more
4.0,1 Dec 2023,overall good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW82238256.htm,Senior engineer,"Former employee, more than 3 years",Bhātāpāra,Best place at that time,Nothing need to improve work life balance,,,
3.0,10 Nov 2023,Working culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW81728266.htm,Mechanical engineer,"Former employee, more than 3 years",Mumbai,Good Environment and developing the skills.,Overall Good in working with the company,,,
1.0,31 Oct 2023,Worst Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW81414466.htm,shift incharge,"Former employee, less than 1 year",Kodīnar,,,"There are no pros .There is no zero rating, otherwise I would have given zero ratings.","Everywhere there are politics ,even workers are involved in politics. No respect for the employers. Upper management members are filled with egoist persons.",Show more
2.0,10 Oct 2023,WORST WORK LIFE BALANCE AND COMPENSATION STRUCTURE,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW80815944.htm,Deputy manager,"Former employee, more than 1 year",Purba Medinipur,,,Brand name was the main reason for opting it,Very poor compensation structure and no work life balance,Show more
4.0,26 Oct 2023,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW81290658.htm,Management trainee,Current employee,Calcutta,Filed knowledge from team leads,Not open to cross division discussions,,,
1.0,8 Nov 2023,Worst experience ever,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW81642066.htm,Dgm finance,"Former employee, less than 1 year",Ahmedabad,,,Nothing worst work culture not recommended to work,Bosses are very rude No work life balance Worst working conditions,Show more
5.0,8 Oct 2023,Good Learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW80769773.htm,Operations,"Former employee, more than 1 year",Mumbai,"Good Learning Experience, Supportive Work Environment",Pay Could be slightly better,,,
2.0,11 Sept 2023,Company Characteristic,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW79936930.htm,"Sr manager, maintenance","Current employee, more than 10 years","Chandrapur, Maharashtra",,,Medium level work environment - neither excellent nor pathetic,New management after Adani takeover is insensitive to employees,Show more
4.0,13 Jul 2023,Highly System driven company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW78214206.htm,Maintenance,Current employee,,,,1. Company has robust structure for every function 2. There is lot to learn in the company 3. Company is heading towards achieving higher efficiencies 4. Company is 100% legally compliant.,1. Performance management system could have been better 2. Focus towards career growth of employees need to be strengthened,Show more
2.0,6 Oct 2022,underpaid,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW69868138.htm,Graduate engineering trainee get,"Current employee, more than 3 years",Mandwa,,,regular maintainance job so get time to do enough along with job. No new challanges in daily routine. Relaxed job.government job.,"underpaid till adani overtakes it.
Discriminated between local workers and outstation workers.
very rare IIT( indian institute of technology) talent in your company and there is no sense of intrapreneurship in company.",Show more
4.0,9 Sept 2023,Site Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW79905278.htm,"Civil engineer, site engineer","Former employee, more than 1 year",Calcutta,Good working culture is there,not that much of a cons,,,
3.0,1 Sept 2023,Average Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW79696777.htm,Graduate engineering trainee get,Former employee,Bhātāpāra,Food and accommodation were inclusive,Remote location was a problem,,,
1.0,19 Oct 2023,not good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW81111489.htm,Medical officer,"Former employee, more than 1 year",Jalpāiguri,nothing good about it at all,everything was bad about it,,,
3.0,16 Aug 2023,Sales,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW79184903.htm,Asm (area sales manager),Current employee,Ahmedabad,Good salary and benefits Learning,365 days working even u r on leave or sunday,,,
3.0,17 Jul 2023,Average,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW78319163.htm,Marketing executive,"Former employee, more than 3 years","Gurgaon, Haryana",Will learn a lot in the cement industry,"No work life balance, will treat you like machine",,,
3.0,27 May 2023,Not a bad place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW76843815.htm,Assistant manager,"Former employee, more than 8 years",,,,"Good policies for employees and their families, Your work life balance depends on the nature of HOD you get to work with.","Local level office politics is more, localite HOD'S prefer their own localised persons for giving annual increment.",Show more
