review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,13 Sept 2024,Great,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW90982533.htm,System developer,Former employee,Mumbai,Great Great Great Great Great,Time based work punch in out,,,
3.0,24 Jul 2024,Once Awesome Now Average Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW89456962.htm,Asst manager (unit head - sales),"Former employee, more than 10 years",Pune,,,"1. Good monetory benefits 
2. Good & financially caring policies 
3. Strong brand name & market leader 
4. Very comprehensive and clear systems & process 
5. Futuristic & innovation driven
6. Continuous exposure to learning even after 10-12 years 
7. Skillset development & good training after a certain level of paygrade
8. Job security & IJP
9. Market handling practice are very competent 
10. A good & talented resource pool","1. Very poorly valued Work Life balance. They do not care for your personal life. Most of the things are always urgent.
2. Unrealistic & out of the reach targets chasing each passing week.
3. Totally boss culture company. All employee highly dependent for their work life on Manager's mood & nature 
4. Very slow & non clear career growth plans
5. No scope for accepting healthy criticism, Very few people can stand against wrong approach of their hierarchy & then office politics starts with them
6. Top management is partial with premier B school holders & desires to please to only couple of persons 
7. Work is so much occupied in your heads that you can't think any other life 
8. No families engagement or involvement activities 
9. TRIED TO ACT GLOBAL NOW BEHAVIOUR IS MORE OF LOCAL COMPANY that why said once awesome now a average company
10. Each 2-3 years location transfers that is also in non alignment of employees especially even they have personal problems",Show more
2.0,9 Oct 2024,No Work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91783614.htm,Anonymous employee,Current employee,New Delhi,Salary is at par with market,No work life balance in AP,,,
4.0,8 Oct 2024,Nothing one,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91738456.htm,Execuitve,Current employee,Mumbai,good work life balance for work,location might be a problem,,,
3.0,4 Oct 2024,Okayish,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91613577.htm,Brand manager,"Current employee, less than 1 year",Mumbai,,,"Good Perks and leave policies 
Flexible team for work from home","Little learning on the job 
Work life balance is not that good",Show more
5.0,4 Oct 2024,Good experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91631753.htm,Hr and admin officer,"Former employee, more than 3 years",Calcutta,,,"Friendly environment 
No micromanagement 
Flexible timings
Good colleagues",Less compensation as per work pressure,Show more
2.0,22 Sept 2024,No work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91247507.htm,Territory sales executive,"Current employee, less than 1 year",Warangal,,,Good pay and allowances But you will regret,"Worst worklife balance,
No support from peers when you join, everything should be learnt by yourself, unreal targets, you should work until 12AM 10-15 days every month. Typically here a person work more than 70 hours every week.",Show more
2.0,22 Sept 2024,Career Trap,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91235835.htm,Executive-2,"Current employee, more than 3 years",Solan,,,Nothing pros after 4 years realized i lost what i even knew before,"Work Life balance
Worst management 
Division based on lies 
No mission and vision
management is baseless
Corrupt
No learning
No growth 
Favoritism",Show more
2.0,19 Sept 2024,Zero work life balance - It's like selling your soul to the devil,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91181741.htm,Assistant management trainee,"Current employee, less than 1 year",,,,"Good salary and other perks and benefits like - reimbursement for market visits, getting to stay in luxury hotels etc.","No work life balance at all. 
Sales and number pressure is there.",Show more
3.0,3 Oct 2024,salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91577256.htm,Project sales executive,"Former employee, more than 5 years",Mumbai,good pay and incentives for executive,work life balance and long workinh hours,,,
4.0,17 Sept 2024,a mostly positive experience at AP,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91102626.htm,Summer intern,"Former intern, less than 1 year",Bengaluru,,,"- emphasis on field work and market visits 
- office culture is conducive to employee well being 
- immediate POCs and project guides are helpful","- you rarely get to interact w/ your super seniors, who are in ultimately in charge of your final review",Show more
3.0,1 Oct 2024,Overall good work experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91513892.htm,Account executive,"Current employee, more than 1 year",Mumbai,Good salary and work experience,Work pressure and ok WLB,,,
2.0,30 Sept 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91468270.htm,Tso officer,Former employee,"Jammu, Jammu and Kashmir",,,Salary & incentive or Carrier growth,Work life balance improvement need or,Show more
5.0,26 Sept 2024,Asian paints,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91399320.htm,Territory sales executive,Current employee,New Delhi,Pay and learning is good,Work life balance is on the average side,,,
4.0,23 Sept 2024,Fast Paced high productivity role,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91283323.htm,Asm (area sales manager),"Current employee, more than 1 year",Bengaluru,,,Good responsibility and respect from network,"High work pressure, long hours",Show more
4.0,23 Sept 2024,Explore endless,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91257216.htm,Principal executive,"Current employee, more than 3 years",Mumbai,You can work on any problem given or observed. You will get the support.,You have to self learn everything.,,,
4.0,20 Sept 2024,CES A,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91211779.htm,Customer experience specialist,"Current employee, more than 3 years",Chennai,,,Good culture and helping employees for their career growth,Work pressure and work life balance,Show more
5.0,24 Sept 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91321147.htm,Manager,Current employee,Mumbai,Everything is great here in AP,Nothing to say about this,,,
3.0,23 Sept 2024,Average,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91256702.htm,Sales executive,"Current employee, more than 5 years",Ghaziabad,Good Salary and Incentives at Ground Level Position as well,"Rest are Cons, long working hours and Work Pressure",,,
2.0,22 Jun 2024,"A lot to learn , yet no peace",https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW88496858.htm,Asm (area sales manager),"Former employee, more than 5 years",,,,"> Learning and growth opportunities 
> Quick promotions due to heavy attrition 
> Pay ( not sure if it is anymore because i have heard they have made bonus is variable these days,) & Perks during travel like good hotel stay & car with driver","> No work life balance 
> Early morning & late night meetings with no additional pay 
> Unhappy shopkeeper network & dumping
> Perception based promotions
> HR is irrelevant, no importance given to company culture, absolutely no festive celebrations or engagement activities 
> You will work on all your holidays and weekends , people don't respect your leaves 
> Unrealistic growth targets",Show more
3.0,22 Sept 2024,Good incentive structure,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91229707.htm,Sales executive,Current employee,Pune,Good company and nice culture,Work life balance is not good,,,
3.0,10 Aug 2024,Fast growth has pros and cone,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW89962387.htm,Brand manager,"Former employee, more than 1 year",Mumbai,,,"1. Steep learning curve.
2. Intelligent, ambitious colleagues.
3. Good pay.
4. Good lunch, pantry avl. Occasional parties, dealer visits to good locations, etc.
5. Quick promotions for good performers","1. Work-life balance is poor. Expected to work long hours, and on many weekends.
2. Could get unlucky with manager (yelling, unrealistic expectations)
3. Fairly regular mild sexual harassment cases across the organisation.
4. Dealers' bad behaviour will always be excused. Employees just have to deal with it with a smile.",Show more
3.0,18 Sept 2024,Currently its not good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91129953.htm,Assistant manager,"Current employee, more than 5 years",Mumbai,,,"Good salary, Learning and training","work life balance , Favouritism on top",Show more
3.0,17 Sept 2024,Good overall,https://www.glassdoor.co.in/Reviews/Employee-Review-Asian-Paints-RVW91091438.htm,Manager,Current employee,Mumbai,Good pay is there and perks,Culture is very hard and tough,,,
