review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,5 Oct 2024,Great bank to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91657553.htm,Relationship manager,"Former employee, more than 3 years",Mumbai,Timings culture is good and healthy,They need to improve thr infrastructure and IT,Show more,,
1.0,4 Sept 2024,The name should be changed to Axis MANAGEMENT TRAINEE BANK,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW90705893.htm,Assistant vice president,"Current employee, less than 1 year",Mumbai,"UTI culture, total government culture, laid back people","Their only focus is Management Trainees. They give equal salary to a management traineee fresher and to a lateral hire with 8-10 years of work experience. Total third class HR policies. If they cannot afford salaries of lateral hires and want to focus only on Management Trainees, then there is no point of lateral hires. Management Trainees are so laid back, no seriousness of work. Infact, recently the HR has indicated another 30-40% hike for Management Trainees, which will way above surpass the salaries of lateral hire with 8-10 years of experience.
If you are a lateral hire, do not ruin your career by joining this organisation. 
Such laid back culture, people come to office at 11-11:30am on regular basis including the HR and no action is taken. Completely unprofessional behaviour. Also, there are a lot of employees in the organisation for more than 10-15 years in the organisation like a termite and they do not allow new people to grow in the organisation. Their preferred behaviour with the older employees is very common in this organisation.",Show more,,
5.0,28 Aug 2024,Hybrid working model at axis bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW90517888.htm,Quality assurance analyst,"Current employee, less than 1 year",Mumbai,"Professional Growth: Axis often provides opportunities for career advancement and professional development. Many employees appreciate the training programs and resources available to help them grow.

Innovative Environment: The company is known for its focus on innovation and technology, which can be exciting and rewarding for those interested in working on cutting-edge projects.

Diverse Workforce: Axis tends to value diversity and inclusion, creating a work environment that respects and celebrates different perspectives and backgrounds.

Competitive Compensation: The salary and benefits packages at Axis are generally competitive within the industry, which can be a significant advantage.

Supportive Management: Many employees find the management team to be supportive and approachable, fostering a collaborative and positive work environment.

Work-Life Balance: Depending on the role and department, Axis often offers flexible working arrangements and a good work-life balance.Limited Remote Work Options: Depending on the role, there may be limited flexibility for remote work, which could be a drawback for those who prefer working from home.","Corporate Culture: As with any large organization, the corporate culture may not be a perfect fit for everyone, and some employees might find it challenging to align with the company’s values or practices.",Show more,,
3.0,12 Oct 2024,Axis Bank AML,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91871306.htm,Senior manager aml compliance,Current employee,Navi Mumbai,Pay is decent and bonus for higher ratings is also good,Working culture can be improved,Show more,,
4.0,10 Oct 2024,good projects,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91817597.htm,Product manager,Former employee,Mumbai,"good projects, encouraging team, decent work life balance",pay is not the best in the market,Show more,,
3.0,9 Oct 2024,Axis,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91775061.htm,sales manger,"Current employee, more than 1 year",Bengaluru,Good for learner .. Good to learn,Good for learn and start,Show more,,
3.0,11 Oct 2024,Naah,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91853992.htm,Product manager,Current employee,Bangalore Rural,,,,"Good life, no tension fr",Sarkari pace of work afaik
1.0,7 Oct 2024,Overall Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91688949.htm,Data engineer,"Current employee, more than 3 years",Navi Mumbai,No Pros and this iisn'ta hate review just a disappointed employee who worked for Axis for more than 2 years.,"1- No Appraisal. Seriously, Nothing for 2 years.
2- Overworked
3-Heavily Underpaid. the least compensation in the market.
4-Not even verbal praise or motivation
5-Seniors decide everything ie who gets promoted, and when etc HR s are just mute spectators. Seniors are toxic to a level of mental breakdown.

Worst place to be for an employee.",Show more,,
3.0,10 Oct 2024,Good bank to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91822848.htm,Branch sales manager,"Current employee, more than 3 years",Baddi,,,,Work culture is better thab other private banks,Process and IT is little weak
5.0,5 Oct 2024,Post 9 yrs of multiple loan products now have contributed my 4 yrs experience in Rural lending Agri products,https://www.glassdoor.co.in/Reviews/Employee-Review-Axis-Bank-RVW91656812.htm,Deputy manager - operations,"Current employee, more than 3 years","Aurangābād, Maharashtra",Very good platforms for work here team as well very bright future in axis bank,Happy to work with regional team,Show more,,
