review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,2 Oct 2024,Good organization with balance life,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91575802.htm,Manager,"Current employee, more than 3 years",Pune,"Regular time hours
Good hike every year
Good campus","High workload
Flat organization structure",Show more,,
3.0,11 Oct 2024,Line Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91844039.htm,Line engineer,"Former employee, more than 5 years",Pune,"Good place to learn and acquire skills and knowledge
TPMs, Kaizen, Punctuality.","Bad management, Work Demanding, Work life balance is off",Show more,,
4.0,19 Sept 2024,Good learning opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91153685.htm,Manager,"Current employee, more than 1 year",Pune,"nature of job is such that there is ample amount of learning on the job due to ownership-driven culture. promotes having command over one's work end to end. in less time, you will learn a lot in this company than in other counterparts in the same or different industry for the role you are in. the pay given by the company reflects this practice as it is one of the best aspects of the job","work from home is not available, leaves are not as generous as fmcg or tech companies, some policies can be improved",Show more,,
4.0,11 Oct 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91836779.htm,Electrical engineer,Former intern,Pune,,,,Good for new work life,Some bad salary for student
4.0,7 Oct 2024,A good mature company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91698471.htm,Country manager,"Current employee, more than 3 years",Pune,,,,Stong processes and a good paymaster in automobile industry,No comments for the cons
3.0,7 Oct 2024,help the employee,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91683686.htm,Sr. mgr. product management,"Former employee, more than 10 years",Pune,"great , considerate and forward looking management",very slow and sluggish product development,Show more,,
4.0,8 Oct 2024,Good learning opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91722067.htm,Summer internship,"Former intern, less than 1 year",Pune,"Good management 
Work life balance","Highly bureaucratic
Okayish Pay and Projects",Show more,,
2.0,3 Sept 2024,Toxic Management Culture and Employee Neglect at Bajaj Auto Ltd,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW90664874.htm,Territory business manager,"Former employee, more than 3 years",Ghaziabad,Pay is slightly better than other competitors,"As a Territory Service Manager at Bajaj Auto Ltd, I found the company's management to be highly self-serving, with a clear focus on their own financial gains rather than employee welfare. The working environment is suffocatingly top-down, with little regard for the well-being or professional growth of employees. The HR department is unresponsive and unhelpful, further amplifying the toxic work culture. Employee care is practically nonexistent, making it a challenging and demotivating place to work.",Show more,,
3.0,2 Oct 2024,Cam engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91573448.htm,Technical executive,"Current employee, more than 5 years",Pune,It is a Stable job.,In recent time most of facilities for employees has been changed by HR.,Show more,,
4.0,5 Oct 2024,Good exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91644842.htm,Graduate engineer,"Former employee, less than 1 year",Pune,,,,Large company with long legacy,Needs better management organization in the company
4.0,22 Aug 2024,"Chetak technology, the EV R&D wing is a good organization to work in",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW90329755.htm,Manager r&d,"Current employee, more than 5 years",Pune,"1. Competitive culture
2. Focus on inhouse architecture, hence exposure to cutting edge technologies
3. Flat hierarchy, open door policy, freedom in execution of projects.
4. UTSAH: good recreational facility with indoor sports, gym etc.
5. Finally, competitive salary compared to industry benchmark.","1. More Manager centric than rule based approach. 
2. Lack to innovation and usage of new Project management tools.",Show more,,
5.0,30 Sept 2024,Excellent workplace,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91469108.htm,Divisional manager,"Former employee, more than 1 year",Pune,,,,Amazing place to learn and grow,Nothing of substance as such
2.0,23 Sept 2024,Work life at Bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91286399.htm,Manager,"Current employee, more than 1 year",Pune,Work from Office from Monday to Friday with fixed timings.,"Old fashioned policies, no good work culture, no proper management",Show more,,
3.0,25 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91365360.htm,Assistant manager,"Current employee, more than 3 years",Pune,Learning opportunity. Good Induction Process. 2 days off.,"Black Box approach for bonus component, employee rating system. No leaves. 47.5 weekly working hours",Show more,,
4.0,26 Sept 2024,Depends mostly on your team and manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91391137.htm,Anonymous employee,"Former employee, more than 3 years",Pune,,,,"Freedom to experiment, good work-life balance",Annual performance rating system is bad
5.0,15 Sept 2024,About company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91027364.htm,Trinee engineer,"Former employee, more than 1 year",Chākan,"Seriously it's very nice company, and it's environment is good even that is the first company I joint for work and it's greate experince for me and the work is strees free.",In my point of view there is no cons in the company.,Show more,,
5.0,28 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91432196.htm,Sales associate,"Former employee, more than 1 year",Pune,Good and reliable for future endeavours,Good but working hours bad,Show more,,
4.0,22 Sept 2024,Bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91249271.htm,Engineer,"Former employee, more than 10 years",Pune,"Good Technical knowledge people, facilities more",importance only for NIT & IIT,Show more,,
3.0,24 Sept 2024,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91293912.htm,Line engineer,"Current employee, more than 5 years",Rudrapur,,,,Learning is good for new joiner,Always do same work no growth
5.0,20 Sept 2024,Good company to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91189041.htm,Sales manager,Current employee,,"Good culture
Sat Work from home",No cons as such in company,Show more,,
4.0,19 Sept 2024,Nice,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91161173.htm,No titles,Current intern,,,,,Good company for learning in industry,Work culture is okay not so good
4.0,18 Sept 2024,Great Place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW91132168.htm,Asssisant manager,"Former employee, less than 1 year",Damoh,"Salary Is good
Work life balance",No cons as such to be honest,Show more,,
