review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,25 Aug 2024,Numerouno nbfc,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90399003.htm,Senior lead,"Current employee, more than 10 years",Pune,Best pay master in nbfc sector,Tough timeline and pressure to perform,Show more
3.0,3 Oct 2024,Good but no work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91608550.htm,Sales officer,"Former employee, more than 3 years",Hyderābād,"This job good for entry level employees because of its brand value and fast pace work culture 
It was always challenging improve of new skills in sales field and new technology and recently management made desicion for salary hike for employees",There are amendments in loan sales process per every month . sometimes which is created unnecessary confusion in executing.there is no work life balance apart from work every one hour received calls from management and online group meetings also . people are want to work who agree with long working hours.,Show more
1.0,21 Aug 2024,Read the negative review carefully as working here is subject to no days off,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90278585.htm,Senior unit manager,"Current employee, more than 1 year",,"Big name, Job stability as SMTs do not subscribe to layoffs. But your mid-managers will harass and scream at you enough to make you quit so their jobs are secure due to docking of attrition bonus by senior heads. Unit and cluster managers will be abused for more workload. On paper policies look good, but is a hollow promise","Toxic and treacherous work culture. Your colleagues secretly want things to fail, the office stands on the backs of juniors - hardworking employees lured by incentives which are toyed with by mid-managers. Obsequious and bootlickers get favours and promotions. Long term employees feel too comfortable and know they can switch teams with IJP",Show more
4.0,9 Oct 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91755526.htm,Sales,"Current employee, more than 5 years",Pune,,,
4.0,8 Oct 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91724005.htm,Area credit manager,Current employee,Hyderābād,"Good culture, growth , opportunities",Have to be on toe,Show more
4.0,2 Oct 2024,Lead for platform,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91543100.htm,Tech lead,"Former employee, more than 1 year",Pune,"the salary is good 
bonus which is paid quarterly","Can be challenging work 
some times the pressure is high , but its to expect in finance",Show more
5.0,4 Oct 2024,Good for money but not mind,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91642900.htm,Management trainee,"Current employee, less than 1 year",Pune,,,
3.0,6 Oct 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91662212.htm,Sales associate,"Former employee, more than 1 year",Noida,,,
4.0,5 Oct 2024,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91644750.htm,Financial analyst,"Current employee, less than 1 year",New Delhi,"Supportive coworkers and management, with decent Autonomy",There's a lack of structured freedom,Show more
3.0,3 Oct 2024,BFL Workplace,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91587740.htm,Unit manager,"Former employee, more than 3 years",Pune,"Quarterly incentive
Contest incentive
Monthwise tenure for promotion","Hectic work schedule
Delayed working hours
Working on holidays
No respect and lots of shouting",Show more
5.0,21 Sept 2024,Great company with opportunities to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91221949.htm,Unit manager,"Current employee, less than 1 year",Noida,"Great experience till date,there might be instances where pressure will be more but everything will reward you money here ,more work= more money job security is there better than these fancy startups","No cons yet apart from any aspect, they look for business and reward you accordingly,no money no honey",Show more
1.0,10 Oct 2024,Waste culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91817522.htm,Bajaj finserv,"Current employee, more than 1 year",Pune,,,
3.0,9 Sept 2024,Good to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90864317.htm,Sr unit manager,"Current employee, more than 5 years",Pune,"Good incentive structure. Stable company.
Good CEO & MD","Company has hit it's sealing roofs and is at stabilization zone, so company & employee growth opportunities are questionable.

Organisation is filled with married couples & relatives so hindrance for new talents & career growth of existing employees, but what someone can do in capitalistic structure.",Show more
