review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,28 Sept 2024,Good company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91446765.htm,Senior manager,Former employee,Vijayawāda,Good opportunity to learn and earn,No adverse to point out,,,
1.0,20 Sept 2024,Average Bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91194648.htm,Business associate,"Former employee, more than 3 years",Ghaziabad,,,Job Security and Salary is the only positive.,"Bad promotion policy, not tech-friendly, most branches are understaffed, no incentive for smart/hard work, laziness is rewarded with less work and same salary, transfers are random and can happen at anytime regardless of your tenure or dependent on mood of your RM/GM/DRM, ethics are a myth, physically and mentally unhealthy mindset, professional ethics are limited to papers only and many more downsides are there.",Show more
4.0,5 Oct 2024,Good Bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91651797.htm,Chief manager i,"Current employee, more than 10 years",Mumbai,Good Bank to work with.,Good Bank for all the staff,,,
2.0,20 Sept 2024,challenging work environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91207141.htm,Manager,Current employee,Bhīlwāra,,,"1- vast organisation
2- works on knowldge development and learning","1- Not at all employee friendly 
2- very demanding work culture 
3- no appreciation for performance 
4- HRs are inhumane",Show more
2.0,24 Sept 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91321611.htm,Manager,"Current employee, more than 10 years",Pune,,,"Decent salary
Benefits are good","No methods, unnecessary pressure
Late working hours
No leadership only bossism",Show more
2.0,22 Sept 2024,Bob review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91246518.htm,Manager finance,"Current employee, more than 8 years",Mumbai,,,PSB hence job is secured,"No work life balance 
No fare transfer policy
Postings away from home
No adequate staff
Senior management treatment",Show more
3.0,17 Sept 2024,Salary package,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91080770.htm,Senior credit manager/credit director,"Current employee, more than 8 years",Bangalore Rural,Job security as this is a government job,No fixed timings and even horse and donkey are paid the same.,,,
4.0,19 Sept 2024,Nice,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91152526.htm,Officer,"Current employee, more than 5 years",Naini Tāl,Stable and job security good salary,Frequent transfers and pressure too much,,,
3.0,3 Sept 2024,Bank of Baroda,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90672542.htm,Officer,"Current employee, more than 5 years",Mumbai,,,"Perks like petrol, house maintenance , leased home or quarters , annual free health checkup etc",Work pressure is intense at branch level . Targets given are impossible,Show more
4.0,14 Sept 2024,Excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW91016994.htm,Data analyst,Former employee,Goregaon,Great work culture and great people,No cons everything was good,,,
4.0,7 Sept 2024,Public sector bank salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90809518.htm,"Chief manager credit, risk management","Current employee, more than 10 years",Vadodara,"Growth opportunities, Industry best perks","No work life balance, Frequent change of location",,,
3.0,6 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90791987.htm,Project manager,"Current employee, more than 3 years","Jaipur, Rajasthan",,,"Good salary
Good staff good promotion opportunities","Work pressure 
No work life balance",Show more
5.0,2 Sept 2024,Data entry,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90652795.htm,Yes! agent,Current employee,,,,My Name is a Pushpendra Parmar,Rajasthan dungarpur   study  of medical health,Show more
3.0,4 Sept 2024,good opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90695840.htm,Manager,"Current employee, more than 8 years",Mumbai,good opportunity at Information tech roles.,"work culture, politics, non transparent HR policy",,,
2.0,1 Aug 2024,Why PSU bankers are Underpaid,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89697218.htm,Treasury manager,"Current employee, more than 8 years",Mumbai,,,Job Security is one of the main reason to work at any PSU in India . If you are more keen to take risk and be prepared to take more stress then this place is not for you.,Innovation and new ideas are not taken well here.,Show more
3.0,11 Jul 2024,Banking job,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89078704.htm,Branch head,"Current employee, more than 8 years",Ajmer,,,It is better to work in public sector bank than that of pvt Bank. As we recieve higher salary than pvt Bank but high salary also comes with higher responsibility.,You can be posted anywhere in India although bank provides you lease and other benefits but it is not easy task for one who continuously wants to visit his home place due to distance and not getting adequate leaves to travel. You will lose work life balance.,Show more
4.0,26 Aug 2024,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90446599.htm,Credit manager,"Former employee, more than 5 years",Bengaluru,,,A large public sector bank,Limited exposure in terms of structural products,Show more
2.0,24 Aug 2024,No work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90391090.htm,Assistant manager,"Current employee, more than 5 years",Bengaluru,,,"So much work pressure.
Multiple job role performed by 1 person only.
No values","No work life balance
HR is not good",Show more
3.0,23 Aug 2024,Employee experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW90353457.htm,Manager,"Former employee, more than 8 years",New Delhi,Stable job govt consistent job,Taxing hours for women at work.,,,
3.0,1 Aug 2024,Bank with potential,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89715705.htm,Risk management,"Current employee, more than 10 years",Mumbai,,,"Opportunity to learn and take initiatives.
Management is open in trying new ideas.","Long working hours
No work from home",Show more
5.0,4 Aug 2024,Great organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89772160.htm,Chief manager in psb,Former employee,,Pan India presence and India 2nd largest PSB and more than 100 International Branches,No incentive and out of turn promotion,,,
3.0,29 Jul 2024,Ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89579344.htm,Chief manager i,Current employee,,,,"1. Dealing with wide variety of people including customers, superiors, subordinates, regulators. 
2. Managing several things at once.",1. Slow moving work. No one is really interested to get things done.,Show more
5.0,15 Jul 2024,Best place,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89155877.htm,Senior manager,Current employee,,,,"Job security, gender parity, lots of good benefits","No work life balance, only way for promoting internal staff is through written exams",Show more
3.0,31 Jul 2024,Okay,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89667768.htm,Officer,"Current employee, more than 5 years",Bengaluru,Job security and scope of promotion,Pressure transfer unfixed job role,,,
3.0,27 Jul 2024,marketing officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89540476.htm,Marketing officer,"Current employee, more than 5 years",Calcutta,"job security, psu job, govt job","pure sales, pan india transfer, less promotion opportunity",,,
5.0,25 Jul 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89481438.htm,Assistant manager,"Former employee, more than 1 year",Chennai,,,Rewards and appraisal for the employees are good,"No work life balance
Work Overload",Show more
3.0,13 Jul 2024,Job Security,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW89113991.htm,Senior manager it,"Current employee, more than 8 years",Hyderābād,Job security with retirement benefits,Frequent and unexpected transfers. No surity of working in your area of choice,,,
5.0,3 Jul 2024,Best PSU BANK,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88812495.htm,Senior manager,"Current employee, more than 5 years",Navi Mumbai,Good learning with exposure to multiple departments,No downside to mention n,,,
3.0,18 Jun 2024,Manager - Joint Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88377509.htm,Account manager,"Current employee, more than 8 years","Sāngli, Maharashtra",,,Permanent Job and good salary,Slow horizontal and vertical progress rate as career point of view,Show more
5.0,18 Jun 2024,It's good staff is very good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88354646.htm,Associate,"Former employee, less than 1 year",Mālād,,,"Balance work life 
And good environment",No cons it's a good bank,Show more
4.0,19 Jun 2024,Great exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88397459.htm,Credit manager,"Current employee, more than 1 year",Chennai,Great exposure in commercial banking,Work culture and work life balance,,,
3.0,8 Jun 2024,Very cooperative staff,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88072051.htm,Manager,"Current employee, more than 10 years","Ayodhya, Uttar Pradesh",,,Nice staff and friendly people,Too much work pressure and late sitting,Show more
3.0,11 Jun 2024,Salary of assistant Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88153933.htm,Assistant manager,"Former employee, more than 5 years",Bengaluru,,,Structured policies snd good infrastructure.,Increasing cross selling day by day,Show more
4.0,7 Jun 2024,Work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88029203.htm,It manager,"Current employee, more than 1 year",Mumbai,,,Work life balance in head office,"Bad location options
Too much paper work for administration things",Show more
1.0,10 Jun 2024,Stressful situation,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88104015.htm,Chief manager i,"Current employee, more than 10 years","Jaipur, Rajasthan",,,Nothing best at present in bank of baroda.,"Long distance transfers
Very much pressure for business
Punishments for minor mistakes of employee.",Show more
4.0,3 Jun 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW87881870.htm,Senior manager compliance,"Current employee, more than 10 years",Jorhāt,,,Good PSU to work for,"Monotonous job role, lengthy meetings and pressure",Show more
4.0,9 Jun 2024,Mixed,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88076523.htm,Chief manager human resources,Current employee,,Good company to work with,Post amalgamation bigger and issues,,,
1.0,25 Jun 2024,work cuture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW88555614.htm,Manager,"Current employee, more than 5 years",Ahmedabad,,,nothing good in the entire organization,worst place to work at,Show more
3.0,29 May 2024,.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW87742717.htm,Fixed income dealer,Current employee,Mumbai,Resources are quite good here,Excessive work pressure in the organization,,,
3.0,22 May 2024,Bank of baroda salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW87554766.htm,Officer,"Current employee, more than 5 years",Mumbai,Amenities provided by the bank is nice,No work life balance. Too much pressure.,,,
2.0,24 Apr 2024,Worst HR policy,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW86658748.htm,Officer,"Current employee, more than 8 years",,,,Good compensation at par with other PSB. Only lagging with SBI,"1.Worst HR policy among all PSB's
2.Erratic transfers
3.Useless IT infrastructure and support
4.Higher management never listen to the issues of its employs",Show more
3.0,2 Apr 2024,Zero work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW85942435.htm,Manager credit,"Former employee, more than 8 years",New Delhi,,,Salary is as per industry standards,"work culture is deteriorating with each passing day. No work life balance, undue pressure to do work without completing compliance part",Show more
5.0,12 May 2024,Good environment.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW87197284.htm,Branch receivable manager,Current employee,,,,Happy with my job role.,Handling A good team size.,Show more
4.0,7 May 2024,Job security,https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW87050053.htm,Senior manager,"Current employee, more than 5 years",Ahmedabad,,,Job security is there in company,No one worry about your ideas,Show more
3.0,7 Apr 2024,"If you can do bootlicking, this organization is for you",https://www.glassdoor.co.in/Reviews/Employee-Review-Bank-of-Baroda-RVW86083352.htm,Senior manager,"Former employee, more than 10 years","Shāhjahānpur, Uttar Pradesh",,,"Competitive perks, Decent Salary. Respect because of government job","Pathetic work life balance
Unethical work culture
Autocratic Leaders
Nepotism
Favoritism
No transparency
No transfer policies
No study leaves",Show more
