review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,31 Aug 2023,Great Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW79677215.htm,Deputy regional manager,Current employee,Public Sector Enterprise and stable working atmosphere,Not much to complain with years of work done.,,,,
3.0,13 Sept 2024,Lateral from outside company should think well before joining,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91004288.htm,Manager,"Current employee, more than 10 years",,,Bengaluru,"Stable job till retirement, but for good people lots of burn out.","Existing people have settled here and maximum donot want to work effectively or not fit to contribute. But somehow projects have to run. So to mitigate that new people in entry level and sometimes lateral from outside companies will be hired. Once joined here , one will come to know the reality. You will be suppressed even though you are efficient. The internal politics is too much. You will feel like you are stuck here badly after joining. So think well before taking up the opportunity. Look into all aspects. Timing is very stringent. Timing is more important than performance. Uniform is compulsory. Pay is moderate.",Show more
2.0,3 Oct 2024,"Good for settling down, bad for growth",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91609932.htm,Senior engineer,"Current employee, more than 5 years",,,Bengaluru,"1. Great work life balance
2. Nobody is fired
3. 9 to 5
4. Peaceful environment
5. Good facilities","1. No growth
2. Not to industry standard
3. No R&D is happening, only integration and middle man work
4. Extremely low hikes (3%) and promotions",Show more
5.0,6 Oct 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91678663.htm,Student intern,"Former intern, less than 1 year",Very good company to work,Less pay for student intern,Bengaluru,,,
5.0,4 Oct 2024,Great Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91617387.htm,Senior engineer,"Former employee, more than 3 years","Dependable, Low work load, awesome work life balance","Crazy seniors, sometimes overtime work",Ghaziabad,,,
5.0,2 Oct 2024,good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91555947.htm,Apprentice,Former intern,good worklife balance and good learning,slow pace of work and flexibility,Bengaluru,,,
2.0,22 Aug 2024,Electronic team member,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90323310.htm,Electronic team member,Current freelancer,,,Nandurbār,Writing a professional piece involves a clear and concise approach. What specific topic or type of professional writing would you like assistance with?,"Writing to outline cons, or disadvantages, involves focusing on the potential drawbacks or negative aspects of a situation, decision, or proposal. Here’s a general structure you can follow:

1. **Introduction**: Briefly introduce the context of the discussion and explain why it's important to consider the cons.

2. **List of Cons**: 
 - **Con 1**: Start with the most significant downside, explaining it clearly.
 - **Con 2**: Follow up with other disadvantages, providing examples or scenarios where they could be problematic.
 - **Con 3**: Continue listing other relevant cons, ensuring each point is detailed enough for the reader to understand the potential impact.

3. **Considerations**: Discuss any mitigating factors or ways to address the cons, if applicable.

4. **Conclusion**: Summarize the cons and re-emphasize why they should be taken seriously in decision-making.

If you have a specific situation or subject in mind, I can help craft a more tailored piece!",Show more
5.0,27 Sept 2024,Good Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91414030.htm,Software designer,"Current employee, more than 3 years",Good company with good colleagues,Sometimes the superiors take time to answer questions,Calcutta,,,
5.0,27 Sept 2024,Positive,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91420672.htm,Intern,Former intern,"Good culture, Supportive, very informational",None that I can think of,,,,
1.0,2 Oct 2024,"No growth, Only integration work",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91573643.htm,Senior engineer,"Current employee, more than 5 years",,,Bengaluru,"1. Work life balance is good
2. No fear of firing","1. No growth
2. No actual R&D
3. Hike is 3%",Show more
