review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
4.0,6 Aug 2024,Established,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW89839198.htm,Customer service,"Former employee, less than 1 year",Singapore,Some staff are very accommodating and supportive of their colleagues.,"There’s a noticeable seniority culture, with long-tenured staff often resistant to change and not very open to new ideas.",Show more,,
4.0,18 Oct 2023,Good colleagues,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW81050493.htm,Warehouse worker,"Current employee, more than 3 years",Singapore,,,,"Good colleagues, friendly and helpful.",Equipments and Building quite old already.
4.0,3 Oct 2024,Good experience,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91605259.htm,Anonymous employee,"Current employee, more than 1 year",,,,,"Felxible shifts, food at 2 nd shifts only, no dressing code","Bad management, more politics, no festival holidays"
4.0,5 Oct 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91642903.htm,Senior technical sales officer (tso),Former employee,Bhubaneshwar,,,,Good for work culture in depot,"Nothing much, work pressure high"
3.0,28 Sept 2024,Berger paints,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91440013.htm,Senior sales officer,"Current employee, more than 1 year","Jalandhar, Punjab",,,,Good product quality in industry,Bad work life balance in industry
4.0,24 Sept 2024,ASM,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91307338.htm,Asm (area sales manager),"Current employee, more than 1 year",New Delhi,"Aggressive and Hard core sales, Job security, Good Brand Name, Quality and supportive leadership",Always prefer to be different in Market,Show more,,
4.0,21 Sept 2024,good colour and paints material,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91226538.htm,Paint sales associate,Current employee,,,,,good option for future and it is very good earning business,investment in this filed you got more money and fast earnings
4.0,13 Sept 2024,Good Place to Work,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW90994487.htm,Assistant area sales manager,"Current employee, more than 1 year",Chennai,"Good Hike on every year and if we perform well, we will get next level quickly",As this is paint company we have to work till midnight for atleast 4 days a month .. Have a pressure as like other company,Show more,,
3.0,25 Sept 2024,Sales,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91331969.htm,Sales officer,Former employee,Kollam,,,,Good incentives are given then.,Too stressful for the pay
3.0,18 Sept 2024,TSO,https://www.glassdoor.sg/Reviews/Employee-Review-Berger-Paints-RVW91131444.htm,Technical sales engineer,"Former employee, more than 3 years",Bengaluru,,,,"Good established company to work with., Good product line",old age thought process of management
