"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","12 Sept 2022","Good Place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68946084.htm","Zonal sales manager","Current employee, more than 1 year","","",""
"5.0","23 Aug 2022","Great organization to work with!","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68223587.htm","Human resources transformation lead","Current employee, more than 10 years","10 years with the organization and everyday is as exciting as the first one. 
I have been fortunate to able to contribute to meaningful projects which impact PAN India employees. The freedom and on-the-job learning opportunities provided at Airtel are immense.","With multiple high stake projects on-going at same time, work life balance becomes challenging cyclically.
However, management is flexible and supports incase of any requirements.","Show more"
"5.0","15 Aug 2022","Distribution team","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67951982.htm","Distribution head","Current employee, more than 5 years","Excellent company to explore and take your career to next level.....hard work is paid and you get appreciation","Nothing as such, I feel slight more interaction with employees at circle level by PHRO would help","Show more"
"4.0","19 Apr 2022","Transport Quality Head","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW62953845.htm","Manager","Current employee, less than 1 year","Vertical Carrier growth & Process Oriented","Employee safety must be adhere during pandemic.","Show more"
"4.0","15 Aug 2018","Head Decision support","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21992348.htm","Anonymous employee","Former employee","- lot of independence to  work. 
-Good colleagues / people around who put the company first
- dynamic environment - lots of challenging assignments","culture where late sitting  and working long hours is perceived as hard work. 
Premium given to outsiders  who seem to fit well basis CV / JD but may not be culturally fit","Show more"
"3.0","11 Jan 2016","A WIP Management Trainee Program","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW9145403.htm","Anonymous employee","Former employee","If you are at the right time at the right place, you can get a really good project/role. There are instances of big budget projects being handled by young employees.","The trainee program was not very stable with trainees being shuttled out of the regular career path for short term requirements. I believe, the program is much more structured these days.","Show more"
"5.0","12 Jan 2022","Excellent Place to Work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57846549.htm","Assurance","Current employee, more than 3 years","Excellent culture and way of working..
Management is good and learning is too good","Not any yet but I am Airtel, So I can make it perfect","Show more"
"4.0","31 Jan 2019","Young Technical Leader","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW24468162.htm","Anonymous employee","Former employee","You get to learn in and outs of Telecom industry. 
High paced growth.","Do not expect a very good work life balance.","Show more"
"4.0","27 Sept 2018","YTL Program","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW22700139.htm","Anonymous employee","Former employee","","",""
"3.0","16 Apr 2021","bad experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45606496.htm","Programme analyst","Current employee","","",""
"4.0","14 May 2018","Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW20569379.htm","Anonymous employee","Current employee","","",""
"4.0","22 Sept 2024","Great Learning Experience and Supportive Management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91248241.htm","Executive network operations","Former employee, more than 1 year","Exposure to a vast and complex network: Bharti Airtel has an incredibly large network, providing ample opportunities to work on multiple technologies. This exposure allowed me to enhance my skills and broaden my knowledge in the telecommunications industry.

Supportive management: The management team at Bharti Airtel was highly supportive and readily available to address any concerns or challenges faced by the employees. They fostered a collaborative work environment and encouraged professional development.","Salary expectations: While Bharti Airtel offers excellent learning opportunities, the salary package provided was not as competitive as expected. It would be beneficial for the company to review and align compensation with industry standards to attract and retain top talent.","Show more"
"4.0","7 Oct 2024","Good experience but please focus on advice to remove the stress level.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91683038.htm","Network account manager","Current employee, less than 1 year","There are lots of learning in Airtel environment as multiple products are involved. work culture is good. Love to work here, but needs to focus on some areas, so please refer advice management tab.","There is no Event and party in Airtel Bharti, no hybrid mode.","Show more"
"4.0","10 Oct 2024","Salary and Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91829436.htm","Deputy manager","Current employee, less than 1 year","Work load, in time salary","internal politics, salary, promotion, no value for experience.","Show more"
