review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
4.0,29 Nov 2021,Work at BPCL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW55959911.htm,Graduate apperentice trainee,Former employee,"Good work.
Good work life balance.",Location of working plants is a constraint majorly.,Show more,,,
3.0,17 Mar 2016,Looking forward,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW9959582.htm,Anonymous employee,Current employee,Pay package and good management team,Transfer and slow hike rate,Show more,,,
3.0,24 Sept 2024,Toxicity,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91320122.htm,Assistant executive,"Current employee, more than 1 year","Diverse experience range,Salary, more Responsibility from early on","Toxicity, Anxiety, travel time to your workplace(>=1 hrs)",Show more,"Haldia, West Bengal",,
4.0,26 Sept 2024,Overall,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91392062.htm,Assistant manager,"Former employee, more than 3 years","Great Salary
Good work colleagues
Vast exposure to multiculture",Random transfer every 3 years,Show more,,,
5.0,21 Sept 2024,Good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91228872.htm,Dgm finance,"Current employee, more than 8 years",,,,Mumbai,Fabulous perks like free housing car furniture etc,Transfers on all India basis
5.0,16 Sept 2024,Best experince passionate engineer can get,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91051673.htm,Student intern,Former intern,,,,Cochin,Good atmosphere with a well experienced guides,"None, everything was so good for a fresher"
4.0,16 Sept 2024,Great place to start,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91059943.htm,Assistant manager,"Current employee, more than 5 years","Learning, Exposure, Status, Perks, Travel",Growth might be slow as compared to your peers,Show more,Mumbai,,
4.0,19 Sept 2024,nothing,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91154228.htm,Anyonymous employee,"Current employee, less than 1 year",nice and easy helpful hardworking helpful,bad sad not helping difficult,Show more,Delhi Cantonment,,
4.0,13 Sept 2024,Salary at bpcl,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW90985415.htm,Graduate appreciate trainee,"Former employee, more than 1 year",Good working environment for starters,Freshers are only recruited through College placement,Show more,Cochin,,
5.0,15 Sept 2024,fine,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91024161.htm,Electrical supervisor,Current contractor,,,,Cochin,good plant experince for global recruitment process,no work life balance here at plants
1.0,27 Sept 2024,Ok,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW91407134.htm,Graduate appreciate trainee,Former employee,,,,Warangal,Every month we get stipend,No learning and lot of work
4.0,10 Sept 2024,Good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW90874314.htm,Engineer,Current employee,,,,Cochin,Very learnable once decent good happy,Bad not happy not private salary is high
2.0,9 Sept 2024,BPCL work culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW90838685.htm,Planning officer,"Former employee, less than 1 year",,,,Indore,"Good starting salary, lot of travel","bad work culture, hierarchy and self-obsessed people."
3.0,19 Aug 2024,Projects,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW90215416.htm,Ch. manager,"Current employee, more than 10 years",Security and Good compensation with good exposure,No proper employee assesment and no clear promotion policy some time it remain on paper,Show more,Mumbai,,
