Britannia Industries Ltd 2
glassdoor (1),,,,,,,,,,,
review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,31 Jul 2024,Good policy,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89659907.htm,Area sales executive,"Former employee, more than 1 year",Ahmadnagar,Good working and helpful hr,Nothing bad regarding policy and working,Show more,,
3.0,18 Sept 2024,Too much work with very low salary and respect,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW91134737.htm,Mis executive,"Current employee, less than 1 year",Bengaluru,,,,Company campus is good and better for other job role,Salary is worse and team is more worse and no respect
3.0,16 Sept 2024,Employee Motivation,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW91050465.htm,Production officer,"Current employee, more than 1 year",Ranjangaon Ganpati,Overall Pkg is good .Lots scope to learn,Lack of motivation of employee .,Show more,,
2.0,9 Sept 2024,..,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW90835882.htm,Data scientist,"Current intern, more than 1 year",Bengaluru,,,,Work life balance and good projects,Higher management people are involved in so much politics
4.0,2 Sept 2024,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW90638262.htm,Production officer,"Current employee, more than 1 year",Pune,"Good Management
Friendly staff
Close to Pune.","Poor Food facility 
Starting phase so but of challenges.",Show more,,
5.0,22 Aug 2024,.,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW90309191.htm,Summer intern,"Former intern, less than 1 year",Indore,One of the good fmcg company and having a good experience working with it,Dairy products of britannia is less popular,Show more,,
5.0,18 Dec 2023,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82686331.htm,Management trainee,Current intern,,"Brand Recognition: Britannia is a well-established and reputed brand in the Indian food industry. It has a long history and a strong presence in the market.
Diverse Product Portfolio: The company offers a wide range of products, including biscuits, bread, cakes, dairy products, and more. This diversity can contribute to stable revenue streams.
Market Leadership: Britannia has been a leader in the biscuits category in India. Being a market leader can provide advantages in terms of market share and pricing power.
Innovation: The company has shown a commitment to innovation by introducing new products and adapting to changing consumer preferences. This can be crucial for long-term success in the dynamic food industry.
Distribution Network: Britannia has an extensive distribution network, allowing its products to reach a large number of consumers across the country.","Competition: The food industry is highly competitive, and Britannia faces competition from both domestic and international players. Intense competition can affect market share and profit margins.
Dependency on Raw Materials: As a food company, Britannia is dependent on the consistent availability and pricing of raw materials, such as wheat, sugar, and milk. Fluctuations in commodity prices can impact the company's costs.
Regulatory Challenges: The food industry is subject to various regulations and quality standards. Adhering to these standards and dealing with regulatory changes can be challenging and may increase compliance costs.
Consumer Preferences: Changing consumer preferences and health trends can impact the demand for certain products. The company needs to continually adapt to these changes to remain competitive.
Global Economic Conditions: Economic conditions, both in India and globally, can influence consumer spending patterns. Economic downturns may lead to reduced consumer spending on non-essential items, impacting the sales of premium products",Show more,,
3.0,22 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW90321254.htm,Systems administrator,"Former employee, more than 8 years",Hyderābād,"Work Environment
Friends
NA
NA
NA","NA
NA
NA
NA
NA",Show more,,
4.0,11 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89979684.htm,Ehs officer,Current employee,,Job satisfaction with good experience,"Good to work 
Nice culture",Show more,,
3.0,17 Jul 2024,Complete start up atmosphere,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89255505.htm,Supply chain manager,"Current employee, more than 1 year",Bengaluru,"1. Highly aggressive for the business 
2. Unlimited horizontal growth opportunities 
3. Higher responsibility in less experience","1. High working hours
2. Low work life balance 
3. Vertical growth through Godfather only",Show more,,
5.0,24 Jul 2024,Great company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89471014.htm,Asm (area sales manager),"Former employee, more than 5 years",Ahmedabad,,,,Good culture and employee friendly,Sales pressure is high in dairy
3.0,12 Jul 2024,Slow salary growth process,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89084260.htm,Assistant manager,"Current employee, more than 3 years",Bengaluru,,,,"Good learning and exposure, decent perks","Opaque, misleading and slow growth process, unhelpful and insecure management"
5.0,13 Jul 2024,Sales,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW89117706.htm,Sales associate,"Current employee, more than 3 years",Calcutta,Good for career for growth,No cons at all here,Show more,,
3.0,4 Jul 2024,Company profile,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW88865046.htm,Planning officer,"Current employee, more than 3 years",Pune,,,,This is a good company to work,Salary structure is not good at junior level
