glassdoor (1)
review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,15 Sept 2024,Chief manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW91022021.htm,Project finance,Current employee,"Good work culture
More to learn","Multi tasking
now a days Frequent transfers",Show more,,,
2.0,29 Sept 2024,Don't join canara bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW91449010.htm,Officer,"Current employee, more than 1 year","Job Security
Good Pay Scale",Everything is bad and dangerous here,Show more,"Sirsi, Karnataka",,
3.0,27 Sept 2024,Okay,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW91425604.htm,Loan officer,Current employee,Nothing pro to work here,More work pressure targets pressure,Show more,Bengaluru,,
1.0,26 Sept 2024,Not good for dynamic people\ govt is good for job security,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW91372678.htm,Officer,Current employee,Job security and public sector perks,"Hectic work life balance, slow pay growth, old age management",Show more,Bengaluru,,
4.0,10 Sept 2024,Average place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90866722.htm,Bank teller,"Former employee, more than 8 years",,,,Kerala Estate,Good to have a regular income and stable job,?Dont know what to say
5.0,8 Sept 2024,Good for highly driven employees,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90819735.htm,Junior manager,"Current employee, more than 3 years",,,,Dindigul,"Good compensation, good reputation,job security","Less work life balance,high stress"
4.0,6 Sept 2024,Good Starting Pay,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90786478.htm,Officer,"Former employee, more than 3 years",,,,Thāne,Job Stability is one of the best,Pay is less compared to the efforts required in job
3.0,9 Sept 2024,most hectic,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90838113.htm,Deli clerk,Current employee,,,,Hyderābād,good work life balance vjsv,no break in between through
3.0,28 Aug 2024,Pathetic HR policies,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90499064.htm,Officer,"Former employee, more than 8 years","Job security
Decent pay
Loan facility at concessional rate","Frequent transfers 
Work pressure 
No concept of work life balance",Show more,Ahmedabad,,
2.0,31 Aug 2024,Toxic AF,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90590223.htm,Branch manager,Current employee,,,,,Home Loan for employees veey reasonable,Toxic toxic toxic work culture
5.0,7 Jul 2024,"Customer Focus, Technological Advancements and Strong Reputation",https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88916638.htm,Bank teller,"Former employee, more than 8 years","Being a public sector bank, Canara Bank benefits from government backing, which instills confidence among customers regarding stability and reliability. Focuses on customer satisfaction and has implemented various customer-centric initiatives to improve service quality and convenience. The bank has invested in digital platforms and technologies, offering internet banking, mobile banking, and other digital services to enhance convenience for customers.","While Canara Bank has international branches and services, its global footprint and presence may be less extensive compared to some multinational private banks.",Show more,Chennai,,
3.0,6 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89831801.htm,Customer support agent,"Current employee, less than 1 year",Benefits is there as customer Support like there will no pressure that nice thing is their,Salary was less 13k is not enough for us just whoever want experience to gain there can join here those people expecting salary do not join look for another job,Show more,Bengaluru,,
2.0,19 Jul 2024,Worst place to Work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89320350.htm,Officer,"Current employee, more than 5 years","Salary and Perks, Most of the colleagues are nice.","Unrealistic Target setting by the top management.
Harrassment from the superiors.
No work life balance at all. Even Holidays you have to attend the office for one reason or another.
Severe Staff shortage in branches.
You cannot take your eligible leaves. Staff accountability policies are terrible. Overall your life will be spoiled.",Show more,Bengaluru,,
3.0,20 Aug 2024,Officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90243585.htm,Officer,Former employee,"Good salary
Good customer base
Service oriented 
Good perks
Good allowances","Pressure
Targets
Not so good work life balance",Show more,Bengaluru,,
4.0,16 Aug 2024,Good to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90146055.htm,Business analyst,"Current employee, more than 10 years",,,,Pune,"Good work environment, Freedom to express.","Transferable job, Late sitting culture"
