review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,18 Sept 2024,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW91117806.htm,Quality assurance,Former intern,Guindy,work Pressure will b less,i dont think any of that,,,
1.0,10 Oct 2024,No time punctuality,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW91814029.htm,Operations,"Current employee, more than 1 year",,,,Dnt even expect to work .. suffer alot,"No time for family who ever join the company work as a slave on Sunday's festivals, public holidays, etc",Show more
1.0,30 Aug 2024,Worst decision ever of joining this hell,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90589866.htm,Credit officer,"Current employee, more than 1 year",,,,Nothing is good there.dont join this company bhad me bhej do is company ko bhad ko bhi barbad kr denge ye chaman log,"Full of toxic people my experience is about indore branch location 
Toxic work environment 14 hours working in closing and no appratistion Bhai log kabhi join Mt krna is company ko pachtaoge uper se niche tak murkhon ki foz hai sb bs operation and credit team ko blam krte hain",Show more
4.0,15 Sept 2024,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW91032227.htm,Credit operations,Former employee,Pune,good experience at this co.,Dont have cons here per say,,,
5.0,13 Sept 2024,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90994927.htm,Quality analyst,Current employee,Chennai,Very Good work life balance,Every company will have the same cons,,,
2.0,4 Sept 2024,Work life depends on team you are assigned,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90694973.htm,Product manager,"Former employee, more than 1 year",,,,"Medical benefits
Food available at affordable costs","No proper team
No professional growth
Poor senior management",Show more
4.0,1 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90615257.htm,Regional legal manager,"Current employee, more than 1 year",Guwahati,,,Bonus Parks Liberty to take decision,Hectic work schedule and work life balance,Show more
4.0,31 Aug 2024,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90600518.htm,Regional credit manager,"Current employee, more than 1 year",Hyderābād,,,"Good salary 
Profit sharing
Good for long term","Sales pressure
Infra challenges
Work life balance",Show more
1.0,16 Sept 2024,Too Much pressure,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW91064189.htm,Hr-executive,"Current employee, less than 1 year",New Delhi,Nothing as such as of now,Workload and pressure and politics,,,
2.0,23 Aug 2024,Work Culture  in not that good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90362327.htm,Bbm,"Former employee, more than 1 year",Cochin,Pay is Good comparing with Market trends.,"No Work-life balance, unwanted pressure.",,,
2.0,18 Jul 2024,Good company but lacks principle and not an employee friendly,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW89263856.htm,Senior executive,"Current employee, more than 3 years",Bengaluru,,,"Ontime salary and bonus
Learning opportunities 
Medical facilities are provided","Useless HR
Less salary
Huge work pressure
Too much of con-calls
High targets in terms of business, insurance and charges.
No work life balance
Employees are supposed to work round the clock on month ends.
Working on Sunday and Saturday",Show more
5.0,13 Aug 2024,its good company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90035094.htm,Associate relationship manager,Former employee,,chola business is the one of the finest finance co in the india,salary is very less in  this co and carrier growth is not good,,,
5.0,30 Jan 2024,Ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW83868849.htm,Business banking mortgages manager,Current employee,,,,"Effective Sales Manager with 9+ years of work experience in Banking, Finance and Mortgage Industry. Proven ability to lead sales team effectively and manage to overachieve the individual targets. Have sound knowledge on range of mortgage products and policy. Seeking for manager level role in Banking and Financial Industry, where I can put all my experience and manage the team, work closely to generate the revenue for the organization.","Profile Description:
• Directly source the files from the market  
• Collect required document from the customer for login  
• Will login the file , and will initiate for Legal and  Technical  
• Evaluated the financial statements and determine the customers' financial status  
• Validation of Savings, CA, OD and  CC Bank statements & Find the Avg Balance and  Avg credit  
• File will be handed over to credit department for further process
• Ensure that the loan disbursals on are happening based approved policies and procedures
Experience in Document Checking & Verification:
• KYC Check list of the parties as per Kyc policy
• Ensure The Registered and Equitable Mortgage docs
• Ensure the additional Collateral Docs
• Ensure the Invoices and  insurance, MMR Related docs  
• Ensure the Lc docks and its operations
• Ensure there are no Fraudulent docs and Fraudulent proposals
• Ensure and Timely Process the PDD Documents
• Ensure and Timely Process and Follow up the the PDC documents",Show more
4.0,16 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90144838.htm,Associate general manager,"Current employee, more than 8 years","Patna, Bihar",,,"Better salary and incentives ,and better work life balance","So many con calls , office is open on Sundays",Show more
5.0,21 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW90277738.htm,Angular developer,"Former employee, more than 1 year",,its good company to work,not much work load there,,,
