"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","29 Sept 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91465587.htm","Ca industrial trainee","Former employee","Mumbai","Everything is great here in Cipla","Nothing to mention as cons","","",""
"4.0","1 Oct 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91518241.htm","Manager","Current employee, more than 3 years","Mumbai","Great set up and people. Good place to work","Compensation needs to be improved","","",""
"2.0","1 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91503338.htm","Business analyst","Current contractor, more than 1 year","Mumbai","Salary is good and comes on time","Work culture is not good","","",""
"4.0","30 Sept 2024","Good Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91467391.htm","Intern","Former intern, less than 1 year","Mumbai","Good Working Culture and Environment","Slow paced industry, limited learning","","",""
"5.0","29 Sept 2024","5 star","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91450660.htm","Senior executive","Current employee, more than 5 years","Goas","","","It's is good company..good employee culture.","Appreciation less for real employee.","Show more"
"2.0","19 Sept 2024","Toxic work culture at Cipla Kurkumbh plant","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91165340.htm","Manufacturing science and technology","Former employee, more than 3 years","","","","Good for 1 year for learning","1. Too much micromanagement by senior managers and above. There is always a policing attitude of leadership in this plant. 
2. HR dept at Kurkumbh plant is pathetic. They even fail to explain policies properly to employees.
3. Toxic work culture, no flexibility in work.","Show more"
"3.0","29 Sept 2024","Long work hours","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91451100.htm","Junior officer","Current employee, less than 1 year","Indore","Cipla is a Big brand.","Long working hours, long travelling hours.","","",""
"5.0","23 Sept 2024","Good organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91284552.htm","Deputy manager safety","Former employee, more than 1 year","Navi Mumbai","","","Good to join organisation. All facilities available. Alternate five day week available. Good work life balance. Bus facilities available","Location is quite distant from mumbai. You need to relocate to work over here.","Show more"
"4.0","27 Sept 2024","Nothing","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91408013.htm","Graduate engineering trainee get","Current employee","","Being a pharmaceutical it is a good company","For core instrumentation scope is less","","",""
"1.0","30 Sept 2024","Too much toxic work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91482256.htm","Senior executive","Former employee, less than 1 year","Pune","","","Not job security at all","Full harrassment in cipla and senior torture","Show more"
"3.0","25 Sept 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91347563.htm","Assistant manager","Current employee, more than 8 years","Kurkumbh","Various formulations available at various locations","The Commute is very difficult","","",""
"3.0","7 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW90799667.htm","New product development engineer","Current employee, more than 1 year","Vikhroli","","","8 hour shift
Good working environment","Some are new departments and need to take care while joining in this department such as Medical device department. 
As a new department lack of streamline working process, too much work pressure, and you will not get work in your core area.
Some mangers are doing nepotism in the department. Selecting people from there region.","Show more"
"4.0","23 Sept 2024","None","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW91264655.htm","Assistant manger","Current employee","Mumbai","Very Good working at Cipla","No cons as such, it's good working here.","","",""
