"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","8 Sept 2024","Great Company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90814510.htm","Anonymous employee","Current employee","Compensation and work Life Balance","Mining Hazard, Remote work location","","","",""
"5.0","26 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW91372688.htm","Management trainee","Current employee","Good salary and gov jao","Remote loc and pollution problem","Nāgpur, Maharashtra","","",""
"5.0","19 Sept 2024","Great Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW91163552.htm","Manager","Current employee, more than 10 years","","","Calcutta","Good Pay Structure
Less Accountability","Poor Infrastructure in Work Place.
External Political Influences Higher Management for placement of workmen in comfort zone.","Show more"
"4.0","13 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90980381.htm","Manager","Current employee, more than 8 years","very good company for working","remote places working is disadvantage","Rānchī","","",""
"5.0","6 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90769137.htm","Sales intern","Former intern","great place to work at coal india","nothing what I have experienced","Sambalpur, Orissa","","",""
"3.0","5 Sept 2024","Coal","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90737878.htm","Anonymous employee","Current employee, more than 1 year","Less work and it is good","More work but it is ok","Mumbai","","",""
"5.0","27 Aug 2024","vndvf","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90459755.htm","Engineer","Current contractor","Everything everytime all at once","Same at here not that bad","Asfabad Chaman","","",""
"4.0","13 Aug 2024","Great company to work which given goof compensation and work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90034480.htm","Manager-hr","Current employee, more than 10 years","","","New Delhi","Work Life Balance
Job Security
Good Exposure and learning","Job Locations are in remote areas","Show more"
"5.0","19 Aug 2024","30","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW90218746.htm","Management trainee","Current employee","Good work life balance and work culture","No cons as of now","Calcutta","","",""
"2.0","29 Jul 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW89593072.htm","Dy manager","Current employee, more than 5 years","Flexibility of time for on site job","Dominance of non ex in daily work","Singrauli","","",""
"4.0","5 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW88879403.htm","Dy manager","Current employee, more than 5 years","","","Singrauli","Respect at your work place. Quick learning","Poor Work Life Balance. Remote location","Show more"
"4.0","5 Jul 2023","Coal India Junior Level Executive Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW77986578.htm","Deputy manager","Current employee","","","","Since I'm serving consultancy subsidiary of Coal India named CMPDI posted at Ranchi (only 5% of total executives gets posting) , it's a sort of white collar job with 2 days weekly off. However, job nature is very widely exposed covering all the facets of mining industry from planning, processing to execution stage which gives a very minute as well as detailed knowledge to carry out a project into operations. Basically deals with Conceptual Reports, Project Feasibilty Report, Coal Gasification, Contract Management, Mine Planning, NIT preparation on various modes, Evaluation of Tenders etc CMPDIL work culture is excellent. Coal India's salary is compatible when compared to other Maharatnas. Those who are posted in field in other subsidiaries gets a very vast exposure of managing human resources as well as gets experience of process as well as maintenance of open cast or undercast mine/Washery/CHP operations which can be very much beneficial to lead the team in future as well as provides great experience to those looking for parallel sector switching jobs.","Work nature is a bit difficult as well as challenging in fields due to remote location postings esp in MCL, SECL & NCL subsidiaries. There the main concern is to meet out the daily/weekly/monthly production targets by overcoming the day to day maintenance & inventory challenges and maintaing IR issues. Dust exposure can't be avoided, certain issues with the quarters of the field, some places have lack of good connectivity as railway station is a bit distant from the work place.","Show more"
"5.0","24 Jun 2024","Nothing","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW88547791.htm","Data entry clerk","Former employee, more than 8 years","","","Calcutta","It's amongst the best employer in India in every aspect","Nothing but great company to work for","Show more"
"5.0","28 Jun 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW88668477.htm","Management trainee","Former employee","Very good company with good opportunities","Remote location can be a problem for some","Bilāspur, Chhattisgarh","","",""
"3.0","29 Dec 2023","My experience in my employer company","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82917890.htm","Chief manager(e-procurement)","Current employee","","","","You are not constrained by tough time limit so frequently. There is enough scope of learning from peers. Being a publuc sector enterprise under Govt of India you need not worry about job security. Timely and satisfactory salary payment is another important attraction.","Being a mining company, other allied departmental employees do not get that much importance as the mining department employees do. One should be ready to work in coalfields with unsatisfactory and unhygienic condition under heavy air pollution due to coal and other dusts. Mostly, you have to be ready to serve in remote places except if posted in cities where the company headquarters and sales liaisoning offices are present. You may have to deal with illiterate or less literate mining workers. Being a mining industry, my company has to face frequent shifting of mines which requires land occupation from government, forest  and even residential areas. This results in dealing with the agrieved mass population who may create disturbance with strikes and stalling the company's working.","Show more"
"4.0","30 May 2024","Heavy Earth Moving Machine maintenance","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87806530.htm","Deputy manager","Former employee, more than 5 years","Secured central public sector job with attractive pay and perquisites.","Remote and harsh working environment since its coal mining industry.","Sonbhadra","","",""
