"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","9 Aug 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW89962025.htm","Deputy manager marketing","Former employee, more than 1 year","Hyderābād","Good people to work with","Systems, processes are still very old","","",""
"4.0","20 Sept 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW91195436.htm","Senior sales officer","Former employee, more than 1 year","Calcutta","","","Good FMCG company to work for a long time","Nothing as such but it is for those who can handle pressure","Show more"
"3.0","15 Sept 2024","Quiet Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW91024015.htm","Product specialist","Former employee, less than 1 year","Ghaziabad","It provides various employee benefits.","The immediate seniors and fellow colleagues are not so good","","",""
"4.0","10 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90877800.htm","Sales officer","Former employee","Indore","Iconic Brands and very good acceptance in Rural Market","Need to improve on training part of employees","","",""
"3.0","12 Sept 2024","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90954464.htm","Sales officer","Current employee, less than 1 year","Ratlām","Not Much things are well","Much sales pressure and illogical numbers","","",""
"1.0","12 Sept 2024","Working conditions","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90970600.htm","Graduate engineering trainee get","Former employee, more than 5 years","Rudrapur","","","Hard work will improve your skill","No work life balance.
Extra work is expected but overtime is not paid.
Dirty politics","Show more"
"4.0","29 Jul 2024","Good for internship, they dont offer ppo to freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW89590390.htm","Marketing intern","Former intern","","","","- competitive fast paced environment
- lot to learn if you take initiatives and have good excel and powerpoint knowlege","- if you struggle with certain basics, they will refrain from giving you work or give you just research work","Show more"
"3.0","18 Aug 2024","Life of an ASM","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90192223.htm","Asm (area sales manager)","Current employee, more than 1 year","Mumbai","","","freedom
more power
Brand Equity
Beat Team","Brand equity less in west
Marketing Support Sucks","Show more"
"3.0","18 Aug 2024","Asm dabur","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90194588.htm","Asm (area sales manager)","Current employee","New Delhi","Salary is very competitive compared to market","No work life balance and culture","","",""
"1.0","23 Aug 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW90358392.htm","Brand manager","Former employee, more than 3 years","Ghaziabad","No red tapping, everything needs to be started from scratch in most of the case.","No proper functioning, no process and no strategy","","",""
"5.0","3 Aug 2024","Excellent company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW89750872.htm","Territory manager","Current employee","","Good salary, work life balance","Target pressure, and multiple task to perform in one time","","",""
"3.0","30 Jul 2024","Work load","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW89648663.htm","Exexcutive assistant","Current employee","New Delhi","Less work load, great work culture","Nothing for employee engagement, no proper cafeteria, no hygiene","","",""
