"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","11 Jun 2024","Good place to work for build the career with the high quality growth.","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW88168496.htm","Engineering supervisor","Current employee, more than 1 year","Visakhapatnam","Divis can make the people perfect at work.","There no downsides in Divis. The company allowances are quite awesome.","Show more","",""
"3.0","2 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW89745874.htm","Supervisor","Former employee","Choutuppal","","","","Good leadership and management skills","Rules were strict inside the organisation"
"4.0","12 Jul 2024","A Good place to work !","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW89086589.htm","Mechanical maintenance engineer","Former employee, more than 3 years","Visakhapatnam","Company provides Lunch and good environment to work","much more amenities needed for employees in terms of food.","Show more","",""
"2.0","23 Jul 2024","h","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW89399480.htm","Production trainee","Former employee","Chippada","good for work
strong life","low work life balance 
management","Show more","",""
"3.0","26 Jun 2024","Divis","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW88609346.htm","Shift supervisor","Former employee, more than 1 year","Visakhapatnam","","","","Job security, Technology for learning","Bad management and administration rules"
"4.0","12 Jun 2024","Best increment","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW88173079.htm","Chemist","Current employee, less than 1 year","Visakhapatnam","Best work culture and best salaries","No values in production department","Show more","",""
"3.0","14 Apr 2024","Having good carrier options for long term also with inciments","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW86294230.htm","Qc analyst i","Current employee, more than 1 year","Visakhapatnam","Good for fresher due to low salary stage here you can save some due to accommodation available. Good to learn about all equipments and experiences due to good work culture.","You will never got that much priority and have to follow too much unnecessary rule and regulations.","Show more","",""
"3.0","23 May 2024","Divis","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW87565870.htm","Supervisor","Current employee","Choutuppal","Good salary and good work life balance","Slow Growth and respect employees","Show more","",""
"4.0","19 Apr 2024","Training head","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW86499157.htm","Training head","Former employee, more than 3 years","Hyderābād","","","","Generally professional people, friendly employees, interested in learning new things etc","Community driven company, almost everybody is a relative of somebody in the company. Slow management"
"2.0","1 Apr 2024","1900s work mentality","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW85875877.htm","Anonymous employee","Current employee, less than 1 year","Hyderābād","","","","Less likely to get layed off","Overwork without compensation. No extra pay for extra work or any encouraging action. Work first life next mentality."
"4.0","28 Feb 2024","API","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW84835833.htm","Maintenance engineer","Former employee, more than 3 years","Visakhapatnam","good scope for aspirants want to get overall knowledge on what happens in a Pharma facility","too many teams operating hard to meet right point of contact","Show more","",""
"3.0","21 Mar 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW85556598.htm","Supervisor","Former employee, more than 1 year","Visakhapatnam","","","","Good company,on time salary and fixed increments","Mobiles are not allowed at work place"
"5.0","29 Jan 2024","Amazing","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW83837339.htm","Production supervisor","Former employee, more than 1 year","Hyderābād","","","","Good hikes and best environment","Nothing to mention as everything best."
"3.0","17 Nov 2023","Is it good to work at divis","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW81892000.htm","Analyst","Current employee","","","","","Good team work and also no mental stress after the work","Partial feelings among them and also no recognization for the efforts"
"2.0","27 Nov 2023","Production chemist in Divis Lab","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW82134493.htm","Chemist","Current employee","Hyderābād","You will get hired without any experience
They are providing food and accommodation","Working atmosphere is not good","Show more","",""
"3.0","25 Nov 2023","good learning environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW82082457.htm","Analyst","Current employee","","People with good knowledge sharing","working style need to change","Show more","",""
"3.0","15 Nov 2023","it's is good api company","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW81832722.htm","Quality assurance","Current employee","","","","","this company gives a good increment","this company's environment is not good"
