"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"1.0","2 Jul 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW88777616.htm","General manager","Current employee, more than 1 year","Gurgaon, Haryana","Gurugram is good metro and working at DLF you are in cyber city","Management is not predictable
No job security","Show more","",""
"4.0","12 Jun 2024","AM Safety","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW88179344.htm","Assistant manager safety","Former employee, more than 1 year","New Delhi","","","","Overall Good experience with DLF","Nothing much to say about DLF"
"5.0","10 Jun 2024","Excellent Workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW88101327.htm","Human resources business partner hrbp","Current employee","Gurgaon, Haryana","Good work ethics
Process oriented","There are no downsides of working for DLF","Show more","",""
"3.0","9 Jun 2024","politics","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW88084735.htm","Training manager","Current employee, more than 1 year","Gurgaon, Haryana","","","","DLF as a Brand name holds value .","Favouritism, not a process oriented segment"
"4.0","25 May 2024","Great Place to work in all aspects","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87629424.htm","General manager","Former employee, more than 1 year","New Delhi","","","","Lot of learning with varied nature of works and inter departmental interactions.","Sometimes long working hours and very dynamic work culture."
"5.0","27 May 2024","gud","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87663139.htm","Software tester","Current employee","","gud everything is goodd.
intresting
help the me[loyee","there 
are 
no 
cons
its
good","Show more","",""
"4.0","24 May 2024","DLF salary","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87613465.htm","General manager marketing","Current employee, more than 1 year","Chennai","","","","Big Brand in real estate industry","Not much scope to learn ."
"2.0","8 May 2024","Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87088412.htm","Manager","Former employee, more than 3 years","Gurgaon, Haryana","Pays on 1st. That's it.","Even after ppts, you'll take print outs.
Lamest HR dept. Can't even hire someone.","Show more","",""
"1.0","16 May 2024","Toxic environment, too much interference from promoter","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87336474.htm","Sales manager","Former employee, more than 3 years","Gurgaon, Haryana","offers good pay hike, but very tax unfriendly structure","Toxic environment, too much interference from promoter. Top-down, absolutely no respect for employees","Show more","",""
"3.0","12 May 2024","Dlf","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW87206684.htm","Manager procurement","Former employee","Navi Mumbai","Good company
Strong hr
Strong policy","Nothing that I could encounter","Show more","",""
"4.0","2 May 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW86888454.htm","Project manager","Current employee, more than 1 year","Hyderābād","1. Well organised.
2. The management is most experienced.","1. Salary increment % very low","Show more","",""
"1.0","15 Dec 2023","DLF Wellco Pvt Ltd, DLF Thrive is a political junge","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82639124.htm","Anonymous employee","Former employee, less than 1 year","Gurgaon, Haryana","Company has a lot of money","No work life balance- phone calls and messages start at 6 in the morning before work and go on till 10 in the night after work 
Too much dirty internal politics- top management has negligible experience in the field, so resort to dirty tricks and politics that eventually everyone has to be a part of hence business suffers. Hence, DLF Thrive as a gym is losing insane amount of money
Systems are very bureaucratic- multiple approvals required even for minor tasks
Favouritism, one of the top management guys was overtly friendly with an internal employee, so the balance was messed up.

Freelancers were paid 90-120 days late, vendors paid 6 months late","Show more","",""
"4.0","12 Apr 2024","Accounts","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW86249713.htm","Account executive","Current employee","Gurgaon, Haryana","","","","Best company to work in dlf","Not so much opportunity to work"
"4.0","9 Apr 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW86133921.htm","Manager","Former employee, more than 3 years","Gurgaon, Haryana","","","","Good work life balance here","At time need to stretch yourself"
"5.0","1 Apr 2024","Payscale","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW85888660.htm","Assistant manager","Current employee, more than 8 years","Gurgaon, Haryana","","","","All is good at work.","There is nothing to figure out"
"4.0","9 Mar 2024","Great Company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW85173107.htm","Head design","Former employee, more than 8 years","Gurgaon, Haryana","","","","Experience would be unparalleled and full of growth","You need to be very competitive"
"4.0","10 Mar 2024","project engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW85193571.htm","Project engineer","Former employee","New Delhi","","","","Good company for project engineers.","Worklife balance for employees to learn , wide exposure"
"3.0","17 Feb 2024","Good Salaries, Poor Management","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW84465430.htm","Senior manager, marketing","Current employee, more than 3 years","Gurgaon, Haryana","","","","On-time salary credits on 1st of every month","Management is poor and unprofessional"
"1.0","28 Feb 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW84839978.htm","Guest relations manager","Current employee, more than 1 year","Gurgaon, Haryana","","","","good luck with you thanks","bad management and benefits for employees"
"4.0","7 Jan 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW83119650.htm","Gm f&a","Current employee, more than 8 years","Gurgaon, Haryana","professionally managed company with brand value","All is well at DLF","Show more","",""
"5.0","5 Dec 2023","Very good working experience with DLF","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82353967.htm","Sql developer","Current employee, less than 1 year","Gurgaon, Haryana","All good, 
work life balance, managers are very good, lots of learning environment, free hand learn anything","there are no any cons","Show more","",""
"5.0","9 Dec 2023","Great working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82465447.htm","Fire & safety officer","Current employee","","","","","Safe working environment . All supporting persons.","Great opportunity to work here. It's right place to work."
"2.0","17 Dec 2023","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82660932.htm","Deputy manager","Current employee, more than 1 year","Gurgaon, Haryana","","","","Work life balance, top in real estate","No promotion, no incentives for employees"
"4.0","3 Dec 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82289949.htm","Deputy manager","Current employee, more than 1 year","","","","","Work life balance is good","Team outing is very less"
"1.0","4 Dec 2023","Bad Management","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW82302346.htm","Admin executive","Current employee","","","","","No time extension at work","Third party payroll they will keep you,Rotational shift"
"4.0","5 Oct 2023","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW80710860.htm","Assistant manager","Current employee","Gurgaon, Haryana","","","","Good environment and learning for freshers","Salary is low as per market standards"
"1.0","26 Oct 2023","Watch out for your mental health!","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW81282813.htm","Anonymous employee","Former employee, less than 1 year","","","","","Absolutely nothing to say here","Employees are treated like slaves No work life balance Very poor culture and no weekends"
"2.0","11 Aug 2023","Slow n old school, bad work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW79073253.htm","Anonymous employee","Former employee, more than 1 year","Gurgaon, Haryana","Good work life balance. Salary on time","Managers are biased No career development No performance management Dictator HR Team Non empathetic","Show more","",""
