"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","30 Sept 2024","Best place to start career","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91500178.htm","Anonymous intern","Former intern","Best place to start career","Everything was good and inspiring","","","",""
"3.0","2 Oct 2024","Good place to begin your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91542208.htm","Senior user experience designer","Current contractor, more than 1 year","","","Hyderābād","The design team being fairly new has its advantages. You get to speak to the users and the business stakeholders. The team is young.","Design maturity of the company needs improvement","Show more"
"3.0","2 Oct 2024","Good company with nice values but poor managers","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91570732.htm","Human resources business partner hrbp","Current employee, more than 1 year","Good leadership and bias for action","Internal politics and no support from msnagers","Hyderābād","","",""
"5.0","27 Sept 2024","Great place to work at!","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91431045.htm","Regional medical advisor","Current employee, more than 1 year","","","Mumbai","Work Culture is highly imbibed with core human values.
Policies are designed from the perspective of employee’s well being.
Managers always try to make your life easier.","As such no major cons.
For some, salary may be below their expectations & Workload may be quite high sometimes.","Show more"
"5.0","30 Sept 2024","Good work culture and learning opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91479671.htm","Demand planner","Current employee, more than 3 years","","","Hyderābād","Good work culture
Decent pay
Work life balance
Growth opportunities","Not any to share or suggest","Show more"
"3.0","25 Sept 2024","Good learning but bad culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91333594.htm","Hrbp manager","Former employee","","","","Compensation, learning and development, org exposure","Toxic culture, lack of respect and integrity","Show more"
"5.0","24 Sept 2024","EXCELLENT WORK Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91295247.htm","Team lead","Current employee","","","","Vision
Respect for Individual
Empowerment
Freedom to experiment 
Digital savvy
High ethics","In rat race now , Slowly loosing the brand image as ""Employee friendly""","Show more"
"4.0","24 Sept 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91321746.htm","Associate director","Former employee, more than 5 years","","","Hyderābād","Professional company
Good Working culture
Less opportunity for vertice growth","Less concentration on employee delightness","Show more"
"4.0","14 Sept 2024","Internship revolves around analytics","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91010545.htm","Digital and analytics intern","Former intern","","","Hyderābād","Work at Mnc
Peaceful culture, good work life balance","Quality of work can vary based on team alloted","Show more"
"3.0","21 Sept 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW91213309.htm","Analytical scientist","Current employee, more than 1 year","","","Hyderābād","Always keep it as last option","Not emp friendly 
toxic work culture","Show more"
