"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","8 Apr 2024","2 yrs in Eicher","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW86128378.htm","Manager","Former employee, more than 1 year","Pithampur","Good salary . . . .","Bad Work life balance .","Show more","",""
"3.0","12 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW90031373.htm","Administration","Current contractor, more than 1 year","Indore","","","","Good environment and good work culture","No response to off role"
"4.0","5 Apr 2024","Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW86026901.htm","Finance intern","Former intern","Pithampur","","","","Iconic brand,Innovation,strong values, work-life balance","limited growth opportunities, hierarchical structure,Location constraints"
"3.0","15 Mar 2024","Deputy Manager at VECV","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW85356905.htm","Deputy manager (sales & marketing)","Current employee, more than 1 year","Guwahati","1. Flexible work hours
2. Home location generally given","1. Culture is not good
2. Very slow growth prospective","Show more","",""
"3.0","19 Mar 2024","Role at Eicher","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW85483253.htm","Deputy manager","Former employee, more than 3 years","Gurgaon, Haryana","","","","Learning on the job is great","Management is not the best"
"5.0","8 Feb 2024","Eicher tractors","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW84212378.htm","Retail executive","Current employee, more than 1 year","Patna, Bihar","Good work life balance indeed","Very bad work life balance sometimes","Show more","",""
"4.0","3 Nov 2023","overall company is good providing many facilities.","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW81532034.htm","Mig welder","Current employee","","I was begineer so I learned many things about the weling process in this company and all management was very good.","working hours were long. somtimes I can't spend times to lovedones.","Show more","",""
"5.0","29 Dec 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW82912882.htm","Senior manager","Current employee, less than 1 year","Dewās, Madhya Pradesh","Best clean and good place to work at","There are no leaves casually","Show more","",""
"5.0","7 Jan 2024","Good oppoturtunity","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW83123382.htm","Supply chain manager","Former employee, more than 3 years","Pithampur","Job security , OEM culture","Working pressure is quite high","Show more","",""
"4.0","30 Oct 2023","Internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW81392151.htm","Anonymous intern","Former intern","","","","","The work culture is good. It is a good company to learn and grow.","No fixed working hours and heavy work pressure."
"4.0","14 Sept 2023","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW80069555.htm","Anonymous contractor","Current contractor, less than 1 year","Thāne","Good company for freshers, nice work balance","No increment No promotion It was a not much bad","Show more","",""
"4.0","25 Sept 2023","-","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW80373234.htm","Product manager","Former employee, more than 3 years","Indore","","","","Tier 2 city. Bus service","No planning Poor ambience Dated HR policies"
"4.0","7 Sept 2023","Nice environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW79862145.htm","Intern","Former intern, less than 1 year","Gurgaon, Haryana","","","","Nice people good work life balance","Floor carpet not cleaned often"
"3.0","13 Jul 2023","Acceptable to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW78212461.htm","Channel sales manager","Current employee","","Timely salary and hike. Less micromanagement","Work life balance is very tough. Work environment is not so good.","Show more","",""
"3.0","13 Jun 2023","Industrial Design Internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW77317126.htm","Industrial design intern","Former intern","Pithampur","","","","Pretty good food Huge manufacturing plant","Frequent work overload Plant located in city outskirts"
"3.0","28 May 2023","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW76848874.htm","Anonymous contractor","Former contractor, more than 1 year","","","","","Good salary for design engineer","No corns as per my experience"
"1.0","14 Apr 2022","Worst culture, LALA culture, no empowerment, foul language used at work place, no respect for women","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW62775204.htm","Human resources manager","Former employee, more than 3 years","Gurgaon, Haryana","None. This brand has a fake perception outside. May be because they feel volvo Eicher is same but the truth is they are two different worlds altogether. Volvo is much progressive with great and bold leaders who don’t just say yes sir yes sir. They have spine. Things at Eicher  have changed 360 degrees from last 3 to 5 years. Nothing good now except the fact that they are an established brand","Lala culture, MD controls everything - HR has ZERO say. 
Top team only says YES sir and cannot influence or have say in anything
Dictatorship 
For women , no respect no policies nothing. So miser they are that they cannot afford sanitary napkins for women at toilets. Women have to beg desk to desk to arrange it.
They don’t trust employees
Abusive language at workplace 
.freshers and laterals are treated same way
Highly male shovinist culture
Miser way of providing increments, no bonus, no Diwali gifts , they tell you to buy only sweets mithai worth 750 and claim it like expense. They don’t care to make employees feel special. Attrition is always high . Even in HR. 
Worst place to join","Show more","",""
"4.0","14 May 2023","great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW76408134.htm","Head of dealer development","Former employee","Chennai","","","","good team work in all departments","No work life balance there"
"5.0","7 May 2023","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW76199829.htm","Machine operator","Current employee, more than 10 years","Pithampur","","","","Nice always it always support thier employees","Nothing to be very honest"
"4.0","18 Mar 2023","Review working at eicher","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW74652307.htm","Junior manager","Former employee, more than 3 years","Indore","Good working culture, supportive fellows.","Work pressure is there rest everything is good.","Show more","",""
"5.0","17 Jan 2023","Eicher Motors","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW72724780.htm","Workshop manager","Current employee, more than 3 years","Jaipur, Rajasthan","Eicher is a good company Compny rule and regulations are very easy and secure and eicher motor in growth fast","Not downside in Eicher Motors","Show more","",""
"4.0","15 Jan 2023","Growing Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW72636328.htm","Company secretary","Current employee, more than 8 years","Gurgaon, Haryana","","","","Growing Company, Lots of new initiatives and learning","Nothing as such because Company is growing and enough opportunity for hard working person"
"5.0","25 Jan 2023","Good Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW72970697.htm","Vice president","Former employee, more than 10 years","Gurgaon, Haryana","","","","Relaxed working. Not too much of work pressure.","Not modern work culture. Bureaucratic atmosphere."
"4.0","26 Dec 2022","very good place","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW72119452.htm","Quality engineer","Current employee, less than 1 year","Thāne","","","","very good wnvi and people are good","no bad thing at place"
"2.0","18 Oct 2022","Stable little company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW70246894.htm","Customer service","Current employee","","- Good and timely payouts - friendly ecosystem can approach any one any time no barriers","- No defined/confusing systems leading heavy workload for what they pay and 24x7 calls/work - unable to find any info even for the products despite insider","Show more","",""
"2.0","6 Sept 2022","Nothing great about the company","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW68787070.htm","Digital transformation","Former intern, less than 1 year","","Decent work culture in Head offices but worse in Regional offices. No Reimbursement is provided. Company's ecosystem is not at all inline.","No Reimbursement is provided. Company's ecosystem is not at all inline.","Show more","",""
"4.0","19 Sept 2022","Comment","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW69194679.htm","Junior manager","Current employee, more than 3 years","Indore","Best MNC company in Madhya Pradesh","Working culture in production line is very bad here","Show more","",""
"4.0","6 Oct 2022","Very less Competency","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW69832133.htm","Customer service specialist","Former employee","","","","","Less Work Load and experiemced staffs","rare merit and making permananet is a slow process"
"5.0","22 Sept 2022","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW69363029.htm","Intern","Former intern, less than 1 year","Indore","","","","I had a good experience as an intern. Nice work environment","No downsides for working in this company"
"4.0","18 Sept 2022","Service Activities","https://www.glassdoor.co.in/Reviews/Employee-Review-Eicher-Motors-RVW69181289.htm","Channel service manager","Current employee, more than 5 years","Guwahati","Good work culture, & Friendly.","Appraisal not good and manpower retention is very less.","Show more","",""
