"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","26 Sept 2024","Best company in public sector","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW91384132.htm","Sr. manager, operations","Current employee, more than 10 years","Kānpur, Uttar Pradesh","Stable growth with good perks","Work can become monotonous at times","","",""
"5.0","4 Aug 2024","My designation is site supervisor and here I have done work of motor maintenance and repair HT and LT .","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW89780784.htm","Site supervisor","Current contractor","","","","""My experience at GAIL has been truly rewarding and enriching. I've had the opportunity to work on challenging projects and contribute to the growth of India's energy sector.","The company culture is supportive and encourages innovation, teamwork, and professional development. I've learned a great deal from my colleagues, and I'm proud to be a part of an organization that prioritizes safety, sustainability, and excellence.","Show more"
"5.0","31 Aug 2024","Intern at GAIL","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW90592539.htm","Management trainee","Former intern, less than 1 year","Vijāpur","Good training for mechanical engineers","remote location away from main city","","",""
"5.0","22 Aug 2024","Good salary with perks","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW90327347.htm","Senior officer","Current employee, more than 1 year","Alīgarh, Uttar Pradesh","Full medical coverage for parents and children and spouse","Boring work pattern and mundane job, outdated technologies","","",""
"5.0","22 Aug 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW90340765.htm","Manager","Current employee, more than 10 years","Vijaipur","","","Very good company to work","There are no dislikes for the company","Show more"
"4.0","10 Aug 2024","Corporate Communications","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW89972697.htm","Dgm marketing","Current employee, more than 8 years","New Delhi","","","healthy environment towards working. Job security","Lack of professional growth and development","Show more"
"5.0","4 Aug 2024","Vocational Training Review","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW89766797.htm","Intern","Current intern, less than 1 year","Auraiya","","","Good work environment
Vast Exposure to industry","Remote
An employee has to relcate himself","Show more"
"3.0","31 Jul 2024","Good company but with limited manpower","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW89681821.htm","Manager, contracts and procurement","Current employee, more than 8 years","Noida","Pay package at par with peer Oil PSUs","Work stress is high as compared to other PSUS","","",""
"5.0","22 Jul 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW89359824.htm","Manager","Current employee, more than 8 years","Bhikaji Cama Place","Salary and perks are amazing","Increment is less but still manageable","","",""
"4.0","24 Jun 2024","Avg Govt Job","https://www.glassdoor.co.in/Reviews/Employee-Review-GAIL-RVW88520057.htm","Graduate engineer trainee","Former employee","Gurgaon, Haryana","Depends on your luck, for a field job or a desk job","You might be in a location, where you are not even able to utilize the pay","","",""
