"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","30 Sept 2024","HR Business Partner","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW91501709.htm","Hr business partner","Current employee, less than 1 year","Mumbai","People Centric organization that trusts and empowers you to bring your unique self to the organization","No such cons experienced so far","","",""
"4.0","25 Aug 2024","Internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW90402759.htm","Fragrance advisor","Former temporary employee, less than 1 year","Bengaluru","Certificate after completing the internship, which was unpaid","It was an unpaid internship","","",""
"4.0","24 Jul 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW89438132.htm","Associate hrbp","Current contractor, more than 1 year","Vikhroli","","","Supportive seniors, work-life balance, overall good place to work.","They don't take you on their payroll","Show more"
"4.0","19 Jul 2024","The company's work environment is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW89298144.htm","Chemical engineer","Former intern","","If you are a girl working in chemical industry godrej is one of the best options as it fulfills all the safety requirements.","Rotational shift is one and the only con","","",""
"5.0","30 Jul 2024","3+ years at GCPL Mumbai","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW89620574.htm","Audit manager","Former employee, more than 3 years","Mumbai","","","Good company culture
Professionalism
Employee benefits
Job security","Slow stagnant growth 
Less pay compared to industry standards","Show more"
"4.0","17 Jul 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW89224773.htm","Field officer","Current employee, more than 1 year","Jodhpur, Rajasthan","","","Best culture for work things are understood by seniors","Nothing all over good still things are controbale in market","Show more"
"5.0","26 Jul 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW89538532.htm","Sales","Former employee, more than 3 years","Calcutta","","","Excellent work culture
Women friendly
Job security","Salary is less than market","Show more"
"4.0","24 Jun 2024","Amazing experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW88522940.htm","Ca industrial trainee","Current intern, more than 1 year","Mumbai","","","Got the best exposure at consol level, able to learn big things","The pay is not satisfying and HRs are not respondent properly","Show more"
"4.0","20 Jun 2024","Decent payment opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW88435050.htm","Manager","Current employee, more than 8 years","Mumbai","","","Good work culture. And work life balance. Better benefits.","Decent compensation. People have stayed longer.","Show more"
"2.0","6 Jun 2024","Salary Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW88011043.htm","Hr assistant","Former employee","kāraikāl","Good salary for a fresher","Worst way to treat a junior by senior","","",""
"3.0","24 May 2024","Good to go","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW87610469.htm","Product supply manager","Current employee","Mumbai","","","1) work culture
2) work life balance
3) job security","Preference to top b school employees","Show more"
"5.0","3 May 2024","Excellent work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86932093.htm","Officer purchase","Current employee, more than 10 years","Guwahati","","","Good work environment and friendly","Now this company shifting to another state","Show more"
"3.0","28 Apr 2024","Good to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86770559.htm","Production","Former employee, more than 3 years","Mumbai","","","Can learn new things.
Good policies.","Salary slab not avaialble. Non manager & Manager position have huge facility difference. 
Career Growth is slow.","Show more"
"4.0","28 Apr 2024","Senior Area Sales Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86752053.htm","Senior area sales executive","Current employee, more than 1 year","Calcutta","","","Good Brands, pay average, unlimited sick leave","Management not good, huge undercut,","Show more"
"5.0","8 Apr 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86110418.htm","Logistics specialist","Former employee, less than 1 year","Mumbai","","","Very supportive & good working culture","Nothing in my working experience there.","Show more"
"4.0","4 Apr 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86024287.htm","Purchase executive","Current contractor, more than 1 year","Mumbai","","","Best flexibility of time, Switch Department & growth","No bad review for employee.","Show more"
"3.0","8 Apr 2024","not a good paymaster","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW86095970.htm","Assistant manager ecommerce","Former employee, less than 1 year","Mumbai","Company culture is decent. Not very aggressive.","team culture wasnt that great.","","",""
"5.0","16 Mar 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW85387476.htm","Assistant manager","Former employee, more than 5 years","Mumbai","Policy and benefits of the organization","stretched working hours leads to sometime work life imbalance","","",""
"5.0","28 Feb 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW84818180.htm","Intern","Former employee, less than 1 year","Mumbai","Helpful employees and a great work environment.","It isn't easy to assess the future at the company in terms of PPO.","","",""
"4.0","8 Mar 2024","good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW85125969.htm","General manager","Current employee","","competitive and employee friendly policies","difficult to bring your own point of view","","",""
"4.0","18 Feb 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW84483412.htm","Intern","Former employee","Mumbai","Good place to work at.","Dont pay as per competitors.","","",""
"1.0","12 Mar 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW85274387.htm","It consultant","Former employee, more than 8 years","Mumbai","Employee-friendly policies and good office space","Back working culture. Culture of abuse and getting work done by hook and crook means","","",""
"5.0","31 Jan 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW83923111.htm","Sfo","Current employee","","","","Nice organisation to work free to work as per our thoughts","Undercut issue with senior  on piller","Show more"
"4.0","16 Jan 2024","work culture is best","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW83412374.htm","Billing officer","Current employee, more than 1 year","Mumbai","work form home, free working time","Not get value as per our work","","",""
"5.0","19 Jan 2024","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW83528566.htm","Zonal sales manager (zsm - north sales)","Current employee, more than 10 years","New Delhi","Fantastic culture, good products ,","Nothing as such to mention","","",""
"4.0","20 Dec 2023","Asst Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW82743322.htm","Asst manager","Current employee","Chennai","good company. iconic compnay. famous.","okayish pay . okayish atmoshpete","","",""
"3.0","2 Dec 2023","Working as production officer in Distilled fatty Acid manufacturing plant.","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW82263575.htm","Production officer","Current employee, more than 1 year","Malānpur","","","MNC company
Diverse range of Products","Mediocre work culture, Moderate Salary","Show more"
"5.0","28 Nov 2023","Good Company to retire","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW82151930.htm","Project manager","Former employee, more than 3 years","","","","Flexible time,
employee frendly
good culture","too work pressure, 
that's it . can't think of anything else","Show more"
"5.0","24 Oct 2023","Amazing work environment!","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW81209710.htm","Graphic designer","Former employee","Mumbai","A perfect job for those who are into a secure work-line and want to opt for sometime long-term.","Can be tricky for those who come from an experimental field","","",""
"4.0","20 Nov 2023","Godrej","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW81948293.htm","Management trainee","Former employee, less than 1 year","Mumbai","Good work culture in the company","Location is not feasible for me","","",""
"5.0","22 Oct 2023","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW81173078.htm","Modern trade - sales","Current employee, less than 1 year","Mumbai","","","Great management, ready to explore, ready to experiment","No cons at this time","Show more"
"4.0","21 Oct 2023","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Godrej-Consumer-Products-RVW81147773.htm","Sales","Current employee, more than 3 years","Bengaluru","","","Brand equity ,media, marketing activities","Hectic life, Required understanding between management and employees consideration","Show more"
