"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","15 Sept 2024","Maintenance Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW91029986.htm","Assistant manager","Current employee","Nagda","Great working culture
Good company","Everything ok....
Good HR policy","Show more","",""
"4.0","25 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW91344961.htm","Instrumentation intern","Former intern, less than 1 year","Nagda","great work environment
great people
average facilities","Bad location, below average city","Show more","",""
"5.0","15 Sept 2024","review as intern","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW91028873.htm","Corporate responsibility management and marketanalyst","Former intern, less than 1 year","Sonbhadra","","","","very helpful manager and staff. learnt a lot and also learnt new things","people were busy as organisation is very bid"
"5.0","3 Sept 2024","kmk","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW90658699.htm","Territory sales manager (tsm)","Current employee","Cochin","","","","Good company with good values","field work so somone will not like it"
"1.0","23 Jul 2024","Not welcoming Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89395791.htm","Territory sales manager (tsm)","Current employee, less than 1 year","","Good for only who can do politics and good in buttering.

Good for HR as thier is no such workload to them

Good for experience paint industry people","Not welcoming job for fresher

You will be confused what you have to do nobody will teach you.

Your Manager itself dont know anything but he will think you should know everything 

Salary is not that good 

You will be helpless here","Show more","",""
"3.0","18 Aug 2024","Management Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW90186158.htm","Management trainee","Current employee, less than 1 year","Bharūch","Brand name of Aditya Birla Group.
Opportunities are there to learn.","Low pay.
Heavy work load and late sittings.
Very few holidays.","Show more","",""
"4.0","20 Aug 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW90257498.htm","Assistant manager","Former employee, more than 3 years","Bharūch","","","","Good to have worked there","Promotions and himes not as per expectations"
"4.0","16 Aug 2024","Better company in Andhra Pradesh, in private sector.","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW90149476.htm","Assistant engineer","Former employee, more than 3 years","East Godavari","","","","Timings are flexible to work.","Transport is the major issue."
"5.0","8 Aug 2024","Mnc work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89920603.htm","Deputy manager","Current employee, more than 3 years","Kalyan","","","","Hybrid work and stable environment","Slow career growth and less progress"
"4.0","25 Jul 2024","Had Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89477925.htm","Internship","Current intern, less than 1 year","Nagda","Great work place culture 
Opportunity to learn","Place far from city
availability of commute","Show more","",""
"5.0","18 Jul 2024","Very good place to work at","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89267407.htm","Corporate insurance manager","Current employee, less than 1 year","Mumbai","","","","Scope for growth is wide as it's a good brand","Nothing as such which can be noticed"
"2.0","12 Jul 2024","Management of nagda is corrupt","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89081943.htm","Assistant manager","Current employee, more than 10 years","Nagda","Nothing special in working plant. No maintenance after covid","Everything 
They deduct and earn from conveyance and mess and school hospital to show profit to head office.","Show more","",""
"4.0","21 Jul 2024","grasim","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89338180.htm","Manager","Former employee","Bharūch","","","","good compnay to work for for year","less merit increase compared to others"
"5.0","9 Jul 2024","Lit bit slow office but good environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW88991467.htm","Intern","Former employee","","Give good pay for your work
No much work load","I don't think so any","Show more","",""
"5.0","15 Jul 2024","Good management","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89173629.htm","Assistant manager","Former employee, more than 3 years","Bharūch","","","","All good all good all good","Nothing nothing nothing nothing nothing"
"4.0","10 Jul 2024","Good workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW89019296.htm","Senior engineer","Current employee, more than 1 year","East Godavari","","","","Good workplace with better career growth opportunities","Location is isolated from nearby city"
"5.0","20 May 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87474283.htm","Assistant vice president","Current employee, more than 5 years","Mumbai","Culture of receptivity
Good HR practices and processes
Freedom to work","Being a large organisation at times decision making can come across as being slow to colleagues who join from smaller/single chain of command organisations","Show more","",""
"5.0","4 Jun 2024","A good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87913147.htm","Agm-r&d","Current employee, more than 1 year","Taloje","Very good employee friendly company.
Salary is as per market standards
Very good Cafeteria and canteen","Nothing specific, everything is just appropriate","Show more","",""
"2.0","16 Jun 2024","Less Pay as an intern at Grasim","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW88306600.htm","Process engineer","Former intern, less than 1 year","Nagda","","","","Great staff and very helpful mentors","Very less pay to no pay sometimes as an Intern"
"4.0","30 Apr 2024","review","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86816750.htm","Hr","Former employee, more than 3 years","Mumbai","good company to work with as you will get a chance to move/transfer within the business/location/units. Good employee benefits, employee engagements apart from salary","the work pressure will depend on the team/department/manager you are working with","Show more","",""
"4.0","21 May 2024","Workers' safety first anything next","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87516785.htm","Machine operator","Current temporary employee","","","","","This company first preference is workers safety but growth is very less chance","I am satisfied this company but I changed future purpose  and not used this company my future goals"
"4.0","2 May 2024","Working with Grasim Industries Ltd","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86898793.htm","Asst vice president","Current employee, more than 3 years","Mumbai","Great place to work at Grasim industries Ltd. Secured job and opportunities to perform.","Old school thoughts, traditional work policies","Show more","",""
"1.0","4 Jun 2024","Bad review","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87946466.htm","Engineer","Former employee, more than 1 year","Bharūch","There are No pros in this company","Toxic work culture for engineers as bottom subordinates don't care for the company while the top management has only chance of pressurizing engineer","Show more","",""
"1.0","19 Jun 2024","Worst organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW88412513.htm","Territory sales manager (tsm)","Current employee, less than 1 year","Dharmapuri, Tamil Nadu","","","","Bad work culture in my career","Nothing is there,only thing is salary no good culture"
"4.0","20 May 2024","Good Culture work","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87446572.htm","Manager","Current employee","Hālol","Very Nice culture.Management is very supportive.","Budget provision is always low.","Show more","",""
"3.0","20 May 2024","Good opportunity with its own drawnacks","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87445826.htm","Human resources business partner hrbp","Current employee, more than 1 year","","Opportunities
Brand
Pay is fine
Learning","Working at paints plant
Needs improvement to culture","Show more","",""
"4.0","19 May 2024","Working scenario","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW87421668.htm","Internship","Former intern, less than 1 year","Nagda","","","","Flexible working hours and unique projects","Location is in some rural area"
"4.0","4 May 2024","its good","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86967815.htm","Internship","Current intern","Bharūch","","","","i had one of the good time and got a good learning with the employees","i have no experience of cons during my internship"
"3.0","20 Apr 2024","Good Work life balance but too less salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86510570.htm","Research associate","Former employee, more than 1 year","Navi Mumbai","","","","Work Life Balance is good, good office culture and office and nearby location is beautiful.","Less to learn, salary and growth opportunities are less"
"4.0","30 Apr 2024","a place to be working","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86847856.htm","Intern","Former intern","Ganjām","","","","great safety, great harmony and great people","far from the civilization and great food"
"2.0","5 Apr 2024","Grasim work experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW86035308.htm","Front line officer","Current employee, more than 3 years","Nagda","Location is good with good connectivity all over the India.","Salary is very low , upper management is very rigid.","Show more","",""
