"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","7 Oct 2024","Great place to gain practical ideas and skills","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91679943.htm","Summer intern","Former intern","Koraput Town","Supportive Environment 
Skilled Superiors and Staff","More investment on Innovation
Everything else is good","Show more","",""
"5.0","3 Oct 2024","Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91578394.htm","Internship","Former intern, less than 1 year","Koraput","","","","The work culture as well as the nature around it what makes worth working here","You have to be punctual"
"5.0","29 Sept 2024","Internship at Hindustan Aeronautics Limited","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91458099.htm","Vocational trainee","Current intern, less than 1 year","Koraput Town","Skill Development and Training, Research and Development Opportunities.","Location and Remote Setting, Limited Career Flexibility.","Show more","",""
"5.0","20 Sept 2024","For those those who are interested to work in aerospace, HAL is the best place to do internship/apprenticeship.","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91187887.htm","Internship","Former intern, less than 1 year","Bengaluru","","","","You can learn a lot of things in aerospace.You will learn Discipline& time management by working here","Timings of the company is different"
"5.0","8 Sept 2024","Good place to work.. you can lot of things about aerospace","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW90814952.htm","Graduate apprenticeship trainee","Former employee, more than 1 year","Bengaluru","Who are interested in Aerospace. You can as Graduate apprenticeship training at Hindustan Aeronautics Limited. it's is the easy way to enter into the aerospace field","Nothing is there related to downside of the company. For freshers it is good company to work. After completing Training you can go for MNC Aerospace company. Based on your experience","Show more","",""
"4.0","16 Sept 2024","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91067455.htm","Internship","Former intern, less than 1 year","Lucknow","I worked under many talented scientists there who had so much knowledge to deliver.","Facilities are a little not up to the mark","Show more","",""
"4.0","18 Sept 2024","Web developer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW91125800.htm","Internship","Former intern","Sunabeda","","","","Good workplace, peace and good infrastructure.","No mobiles are allowed. Much restriction."
"4.0","26 Aug 2024","HAL Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW90416359.htm","Data analyst","Former intern, less than 1 year","Bangalore Rural","I have gained industrial experience in HAL. I have worked under the perfect guidance of the HAL employee. I am very greatful for their guidance which enhance my career.","I have worked in HAL for 6 months. I did not explored any cons throughout my working days. Each and every day I have learnt new skills there.","Show more","",""
"3.0","11 Sept 2024","Interned at IT Department","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW90917715.htm","Internship","Current intern, less than 1 year","Bengaluru","","","","Good working environment , lot of greenery in campus","Internet issues , No mobile allowed"
"3.0","15 Aug 2024","17+ years of design experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW90125372.htm","Senior manager - design","Current employee, more than 10 years","Bengaluru","1. Scope for interesting design work, travel in India for testing and interaction with armed forces.
2. See full breath of development from design to fabrication and service exploitation with customers.","Politics at office and opaque appraisal / promotion policies are major turndowns.","Show more","",""
