"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","20 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90261878.htm","Sr manager, marketing","Current employee, more than 8 years","Noida","Very good in all aspects","Nothing much as con.. all pros","","",""
"3.0","12 Oct 2024","Average Employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91861155.htm","Senior manager-hr","Current employee","Ahmedabad","","","Good Pay range
Clear accounting processes","No Flexi Pay
Lack of EEG Policies","Show more"
"3.0","11 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91846195.htm","Software development engineer (sde)","Former employee","Bengaluru","Best Technology to Work in India","The Schedule is hectic here","","",""
"4.0","9 Oct 2024","Havells workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91767758.htm","Engineer","Current employee, less than 1 year","Dehradun","","","*reputed 
*work life balance in company","*low salary 
*slow growth in company","Show more"
"5.0","9 Oct 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91758690.htm","Internship","Former intern","Noida","everything is pretty great here.","nothing at all is wrong here.","","",""
"4.0","29 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91456653.htm","Field service engineer","Former employee, more than 5 years","Noida","Good environment to work here","Promotion is very slow and sallary increment is average","","",""
"4.0","10 Sept 2024","Good Company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90897683.htm","Joint general manager","Current employee, more than 5 years","Noida","","","Work life & personal life balance atmosphere. Sense of ownership is very high among employees.","Increments & Promotions process needs improvement to be designed better.","Show more"
"3.0","6 Aug 2024","Cash Rich Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW89854888.htm","Deputy manager sales","Former employee, more than 8 years","Kānpur, Uttar Pradesh","","","Provide salary on time, incentives, expenses. Very much to explore yourself.","Very Bad Politics at Kanpur Branch. People are sitting on senior position more than 20 years. The Promotion for middle management is not easy. Manangnent mind set of kanpur branch is like lala typrle. One of the very senior person has been retired form company more than 2 years. But he is not leaving the office. He is coming daily to office and doing bad politics at every level. He is good for nothing.","Show more"
"4.0","12 Sept 2024","Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90945898.htm","Product marketing","Current employee, more than 1 year","Noida","Its a good work culture. Maintains work life valance","Most of the employees are above 40. Lack of diversity","","",""
"1.0","18 Sept 2024","Fake Company with Fake Policies and Unprofessional","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91134754.htm","Software engineer","Former employee, less than 1 year","","","","No Pros at such a useless place","Lot of politics. Bad Manager and worst team. People dont have manner to behave professionally. 
9hrs stay for nothing and waste of career and your life","Show more"
"5.0","12 Sept 2024","Good Professional Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90973501.htm","Manager","Former employee, more than 10 years","Baddi","","","Good Salary
Focus on Professional Growth","Nothing negative here can work work long term.","Show more"
"1.0","25 Sept 2024","Worst work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW91346582.htm","Sales and marketing","Former employee, more than 3 years","Mumbai","Nothing ! worst culture, typical Indian MNC","Egoist higher management. Toxic work culture.","","",""
"4.0","10 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90881596.htm","Manager","Current employee","Noida","Good company and salary is good","No major cons it's good to work","","",""
"4.0","9 Sept 2024","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90864531.htm","Engineer","Current employee, more than 1 year","Noida","A Good work life balance","No WFH or Hybrid work policy🥲","","",""
"3.0","2 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90651500.htm","Asm (area sales manager)","Current employee","Vijayawāda","Work Culture and training and Development","No Growth and Very low incentive","","",""
"1.0","4 Sept 2024","work-life balance would be hard to manage,all havells are strict with rules.","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90708604.htm","Engineer","Current employee, less than 1 year","Tada","","","salary
diversity
exposure
inclusion
ethics","work life balance, so less leaves, working on sundays","Show more"
"3.0","31 Aug 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Havells-India-RVW90590450.htm","Designer","Former employee, less than 1 year","Noida","Glimpse of Professional and System Change","Long way for world-class company","","",""
