"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","6 Sept 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90778184.htm","Vrm virtual relationship manager","Former employee, more than 1 year","New Delhi","Growth 
Stability
Learning 
Exposure
Technology","You have to compromise with working hrs","Show more","",""
"1.0","29 Sept 2024","Extremely Toxic Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91448828.htm","Senior manager","Current employee, less than 1 year","Mumbai","Job Security
Learning how to do Jugaad","Manual working style
Tech is not updated at all
Employees are pressurized to get the business
Dual reporting
Expectations of results despite the lack of resources and tech
Ask to come to the office daily even though you can deliver the same sitting in some other location near to your home
It's not a written rule but every weekend is working, and every holiday is a working holiday, also no overtime compensation
You do not get the complete entitled holidays after probabtion of 6 months is over rather you must work for 1 year to get those
The minimum number of PLs to be applied is 3, you cannot apply for 1 PL, also if you apply for PL on Friday, Monday and Tuesday - Saturday will be considered - like a sandwiched holiday. This clearly shows that even the HR tech is not updated.","Show more","",""
"4.0","2 Oct 2024","Relationship Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91573254.htm","Virtual relationship manager","Current employee","New Delhi","Best Retail Bank in India. People who like banking and sales.","You should rebuild your portfolio and connections to achieve sales target. Join only if your understanding of local know how is better","Show more","",""
"2.0","29 Sept 2024","High work pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91465736.htm","Management trainee","Former employee, more than 1 year","Gurgaon, Haryana","Nobody askes you why are you taking leaves
You won't be easily fired until and unless you have done something serious.","Everything boils down to how your branch manager is and apart from that work pressure of sales is their
Less work life balance","Show more","",""
"2.0","27 Sept 2024","Worst culture","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91427016.htm","Customer service representative","Former employee, less than 1 year","Surat","If want to waste your life","Soo many cons you can read new many employees dies at Bank do suicide and videos of unfair treatment.","Show more","",""
"4.0","1 Oct 2024","Good company, culture","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91513380.htm","Manager-human resource business partner","Current employee, more than 1 year","Mumbai","Within my field we have a good culture, good team, stability","The hike percentages are low compared to industry standards,
Slow growth rate","Show more","",""
"3.0","1 Oct 2024","Customer Care Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91526819.htm","Customer care executive","Current employee, more than 1 year","Bhubaneshwar","","","","Good work place environment and staff","Salary is very low compared to the work"
"4.0","1 Oct 2024","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91534482.htm","Marketing coordinator","Former intern, less than 1 year","New Delhi","","","","Work culture and flexibility of opportunities","Growth and promotion can be issue sometimes"
"5.0","30 Sept 2024","Great Place for Work","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91475572.htm","Imperia relationship manager","Former employee","Farīdābād, Haryana","Great place for work and to learn","nothing as such it's good","Show more","",""
"4.0","30 Sept 2024","Nice organization with lots of workload","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91476100.htm","Deputy manager","Former employee","Patna, Bihar","","","","Nice policy for employees betterment","Too much workload. Timings are extended mostly"
"3.0","30 Sept 2024","wowowow","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91471543.htm","Relationship manager","Current freelancer, less than 1 year","Bangalore Rural","","","","awesome place for a fresher to work","to fast, low salary, too much pressure"
"5.0","30 Sept 2024","-","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91468792.htm","Project trainee","Former contractor, less than 1 year","Thiruvananthapuram","","","","good opportunity for a trainee","can't think of any cons"
"2.0","30 Sept 2024","data analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91475338.htm","Data anlysts","Current contractor, less than 1 year","Mumbai","","","","Money gives you happiness, yes","dont know anything about it fresher"
"4.0","29 Sept 2024","great experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91466605.htm","Personal banking associate (pba)","Former employee, more than 3 years","Rampura Phul","","","","great learning experience,pressure handling, customer service","nothing as such , late working hours"
"2.0","30 Sept 2024","hdfc","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91482516.htm","Vrm virtual relationship manager","Former employee, less than 1 year","Bangalore Rural","","","","salary is a decent figure","The job pressure is hectic"
"1.0","2 Oct 2024","TOXIC DON'T JOIN","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91562982.htm","Business analyst","Former employee","Mumbai","","","","No pros apart from on time salary","Full on boot licker employees, management is BCOM pass and having SVP designation which is useless"
"5.0","25 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91351010.htm","Senior auditor","Current employee, less than 1 year","Mumbai","Good Company good enivromenr good people","Bad work life balance, stric with rules","Show more","",""
"3.0","26 Sept 2024","Credit Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91378266.htm","Credit manager","Former employee","Jaipur, Rajasthan","Helpful team members
Snacks, pantry service","No work life balance
Long working hours
Low pay compared to industry","Show more","",""
"2.0","26 Sept 2024","…","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91370387.htm","Assistant manager","Current employee, more than 1 year","Raipura, Madhya Pradesh","Nothing nothing nothing nothing nothing","Pay, no work life balance too much overload","Show more","",""
"2.0","26 Sept 2024","Hdfc work pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91370897.htm","Relationship manager","Current employee","Lucknow","","","","To much work pressure pushing for sales.","6 lpa Good salary for lucknow"
"2.0","25 Sept 2024","Secure Job, however, inetrnal politics is too much","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91344267.htm","Avp-it","Current employee, more than 1 year","Mumbai","","","","Job Security, Loan facility, Brand Name,","Politics, People’s attitude, old guard attitude"
"5.0","25 Sept 2024","Worth working","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91364279.htm","Pb- sales","Former employee, more than 5 years","Greater Noida","Good salary and compensation
Helping hands to learn things","No work life balance
Too much sales pressure","Show more","",""
"5.0","20 Sept 2024","wonderful experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91185818.htm","Sales executive","Current employee","","valuable experience and support provided during my time at HDFC BANK LTD.","it has been honor to work here.","Show more","",""
"5.0","24 Sept 2024","…","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91308132.htm","Personal banker","Former employee","New Delhi","","","","Networking growth sales people custlmer","Pressure is very much in banking Industry"
"4.0","7 Sept 2024","Huge organization, crazy scale, but has its fair share of issues","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90793965.htm","Avp","Current employee, more than 1 year","Mumbai","Great Bank to work with in India. The business opportunity due to the sheer size of its balance sheet is unfathomable. Annual increments are in the early single digits, bonus/incentive is decent.","Turf wars, Archaic IT/systems/processes. Things take time to execute. Issues pretty much with any organization that has grown too large.","Show more","",""
"4.0","13 Sept 2024","Good Company to be with","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90981064.htm","Senior vice president audit","Current employee, more than 3 years","Mumbai","Job Security 
Learning & Development
Good Benefits (Medical, ESOP)","Work Life Balance (Internal Audit)
No Hybrid Models (from 2024)","Show more","",""
"3.0","24 Sept 2024","Good job location","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91294346.htm","Cleark","Former employee","Mumbai","","","","In financial capital of India","Tight deadlines and work stress"
"4.0","23 Sept 2024","good role","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91251648.htm","Relationship manager","Former employee, more than 3 years","Hyderābād","","","","can learn a lot and grow","work life balance can be mproved"
"4.0","20 Sept 2024","Very good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91201892.htm","Back office management -hdfc bank","Former employee","","Careers growth
 more learning 
Good staff dealing 
Good customer service 
Good brand","No any cons may be my life","Show more","",""
"2.0","21 Sept 2024","Worst work culture.","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91220497.htm","Legal officer","Former employee, more than 1 year","Coimbatore South","","","","The salary they provide is the best","Everything other than salary is a con about working there"
"4.0","22 Sept 2024","Ok ok","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91233811.htm","Data analyst","Current employee","Bengaluru","","","","Work life balance is good","Not sure if there is any cone"
"5.0","20 Sept 2024","Good Bank","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91202977.htm","Avp-operations","Current employee, more than 1 year","Mumbai","","","","Steep learning curve at length","No major benefits offered to employees with respect to banking products"
"3.0","20 Sept 2024","Credit Analyst Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91191117.htm","Intern","Former intern","Ghaziabad","","","","Development of Technical Skills and Expertise","Long working hours particularly during monthly closing"
"4.0","16 Sept 2024","good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91042443.htm","Internship","Former intern","New Delhi","","","","-EEG work is pretty interesting, no prior knowledge required as such at an intern level","-nothing really, probably better structure of the internship"
"2.0","19 Sept 2024","Cashier","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91165031.htm","Bank teller","Current employee","Chennai","Work life balance
Strict timing, 6 days working, alternate Saturday off","It requires travel within the city","Show more","",""
"3.0","12 Sept 2024","Okay to Bank with but need more IT Robust structure","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90961233.htm","Avp-government affairs","Former employee","New Delhi","All Okay but need improvement","Back up is always required","Show more","",""
"5.0","6 Sept 2024","Relationship Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90766608.htm","Relationship manager","Former intern","Nashik","Relationship Manager Relationship Manager Relationship Manager","Stress: RM can be a demanding job that involves managing client relationships, meeting sales targets, and dealing with complex financial matters. 
 
Salary: Some say that RM salaries are lower than industry standards and don't increase with new roles or responsibilities.","Show more","",""
"2.0","1 Sept 2024","Myopinion","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW90612278.htm","Relationship officer corporate salary","Former employee, more than 1 year","Coimbatore","Nothing best to say on advantages","Here only disadvantages are needed to say
1) Both Manager and Customer will torture sales person
Manager - what is Today business
Customer - Acc charges unknowingly
2)Like a bait in between
3)You are supposed to work even on Sunday unknowingly because of completion of forms
4)people are running like headless chicken","Show more","",""
"4.0","19 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91152290.htm","Manager","Current employee","Mumbai","","","","Best reasons to work with HDFC Bank","None that I can think of"
"4.0","19 Sept 2024","Nice bank","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91173059.htm","Senior manager","Current employee, more than 8 years","Mumbai","Nice bank to work with","Not having any cons in general","Show more","",""
"1.0","25 Sept 2024","m not  satisfied with the hireachy","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91329824.htm","Assistant manager","Former employee, more than 3 years","Bengaluru","it is a big brand","work environment is manipulative , not realistic","Show more","",""
"5.0","18 Sept 2024","Good work and culture","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91113698.htm","Management associate","Current employee","Mumbai","","","","Good work and the team is also nice","Maybe some more food benefits at canteen"
"5.0","16 Sept 2024","Excellent bank to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91072722.htm","Anonymous employee","Former employee","","Best of Digital Technologies deployed.
Good culture and people
Better employees benefits","Nothing to be highlighted. No cons","Show more","",""
"3.0","15 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91030589.htm","Credit manager","Current employee, more than 1 year","Patna, Bihar","Nothing as such but good place to learn things here","Many cons are there i think","Show more","",""
"5.0","18 Sept 2024","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91126507.htm","Kyc officer","Former employee","Mumbai","","","","Work life balance for freshers","There are no cons as such"
"3.0","18 Sept 2024","Salary review","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Bank-RVW91133029.htm","Sales manager","Current employee, more than 1 year","Kamrup","","","","Job security, medical facilities, leave policy","Post merger with HDFC LTD Business pressure increased."
