"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","11 Oct 2024","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91855919.htm","Key account executive","Former employee, less than 1 year","Ghaziabad","Good Working culture 
Good People 
entire process is digitalized","There is nothing which is not good","Show more","",""
"5.0","8 Oct 2024","really nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91718525.htm","Software engineer","Current contractor, more than 1 year","Mumbai","","","","Good work culture, amazing team balance","No con at all, it is a really great company"
"4.0","6 Oct 2024","Working at Unilever","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91667579.htm","Senior brand executive","Former employee, more than 1 year","Mumbai","","","","Fast-paced, dynamic, people-first mentality, medical support","can be challenging during multiple events & activations, leadership can be partial sometimes"
"3.0","7 Oct 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91690861.htm","Finance manager","Former employee","Mumbai","","","","Good industry to gain experience in","Too much politics in the company"
"3.0","1 Oct 2024","Work life balance is an issue other than that you get to learn a lot","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91504282.htm","Production executive","Current employee","Rājpura, Punjab","","","","Work life balance is an issue other than that you get to learn a lot","Work life balance is an issue"
"4.0","25 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91348799.htm","Executive","Former employee, more than 3 years","Andheri","Best exposure to work. You get to handle real life problems. Amzing architecure you will love going to.offce everyday campus is awesome","Bad politics but depends on your manager. There are few good people too","Show more","",""
"5.0","14 Sept 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91008326.htm","Key account executive (kae)","Former employee, more than 5 years","New Delhi","You will get everything - exposure , money , work life balance .","Unfortunately If you are not from IIM or not from other premier B school - will be tough to get promote or reach at a managerial position","Show more","",""
"2.0","30 Sept 2024","It depends upon which departnent u r in","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91479043.htm","Research associate","Former employee, more than 1 year","Mumbai","","","","Good company..big name.. good oppurtunity","It deoends upon how ur boss is..if he is good then u r good"
"4.0","26 Sept 2024","Supply chain intern at HUL","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91384255.htm","Supply chain manager","Former employee, less than 1 year","Kāndla","","","","Exposure, people, learning, experience and interaction was best.","Working location was too far from main city."
"4.0","25 Sept 2024","Over workload","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91334595.htm","Electrical executive","Former employee, more than 1 year","Orai","","","","Package is good and also have a overall development.","I was suffer with Over work load and non supporting senior."
"4.0","24 Sept 2024","Engineering manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91322428.htm","Assistant engineering manager","Current employee, more than 8 years","Mumbai","Exposure , Salary , medical benefits, freedom to work , training","No cons as of now","Show more","",""
"5.0","24 Sept 2024","Brand Promoter","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91292984.htm","Brand promoter","Former intern, less than 1 year","Bengaluru","Interaction with customers 
Reg Updates
Reaching the target","Working in stores after doing an MBA","Show more","",""
"4.0","25 Sept 2024","Working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91363199.htm","Engineer","Former employee, more than 3 years","Mumbai","","","","Autonomy in work, best place","Nothing, systems can be better"
"4.0","16 Sept 2024","Great place to work, but cut throat","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91060733.htm","Assistant manager, consumer insights","Current employee, more than 3 years","Mumbai","The learning is unparalleled
The campus and facilities are great","Competition is intense 
Growth opportunities are very limited
Pay is moderate","Show more","",""
"4.0","19 Sept 2024","Good facility","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91157696.htm","Exceutive assistant","Former contractor, more than 5 years","Mumbai","","","","Good facility for employees, but not as good for contract","no amenities for Contract employees"
"5.0","18 Sept 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW91116477.htm","Marketing coordinator","Former employee, more than 1 year","Mumbai","","","","Lunch, insurance, travel allowances and good work culture","The work culture gets workaholic so not for everyone"
"4.0","10 Sept 2024","Review of HUL as an employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW90875444.htm","Assistant area sales manager","Current employee, more than 1 year","Mumbai","Work culture in HUL is great
Work-Life balance
Saturdays off","Focused only on core categories.","Show more","",""
"5.0","12 Sept 2024","Aspirational place","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW90946699.htm","General manager","Current employee","","","","","Culture, Quality of work and brands","None, its a great place"
"2.0","4 Sept 2024","Not recommend working here if you are not a management trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW90692313.htm","Assistant manager marketing","Current employee, more than 5 years","Mumbai","Fast paced work environment 
Brand name","Very bad work culture, politics, toxicity, people's careers are in the hands of managers","Show more","",""
"3.0","1 Sept 2024","okay company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW90608152.htm","Supply planning executive","Current employee","","Lots of learning, possibility of switch different roles and teams.","Lots of pressure if you work. Some people chill and they are only able to chill","Show more","",""
"5.0","2 Jul 2024","My experience at HUL","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88763956.htm","Senior communication executive","Current employee, less than 1 year","Mumbai","Positive Work Environment: Hul provides a great environment that makes you feel comfortable and not overly stressed, enhancing the work experience.
Networking Opportunities: The campus allows you to interact with people from various brands within the same company, broadening your professional network.
Collaborative Atmosphere: Working alongside different brands fosters a collaborative atmosphere, encouraging the sharing of ideas and innovations.
Personal and Professional Growth: Exposure to a diverse range of people and projects can lead to significant personal and professional development.","Getting into Hul can be challenging, but you can approach third-party (3P) companies as a pathway. Securing a permanent position may be difficult initially, but with perseverance and proving your capabilities, you can eventually attain a permanent role.","Show more","",""
"3.0","8 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW90813395.htm","Management trainee","Current employee","Mumbai","","","","Long lasting brands in the company","No one has time to discuss anything"
