"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","13 Oct 2024","Work experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91874217.htm","Senior data analyst","Current employee","Hyderābād","Good culture 
Work life balance","No as such found good to work here","Show more","",""
"2.0","10 Oct 2024","Employee review","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91813048.htm","Business analyst","Current employee, more than 1 year","Hyderābād","Job security and supporting coworkers","Useless non-tech manager with zero understanding of technicality involved in work nor does he want to understand.

Keeps howling at employees only asking for updates, updates in morning call which is another useless thing that happens every working day.

Come to office on odd Saturday as well and if needed be ready to work on Sunday as per this chutiya manager and available on production issues call with support team in midnight.

The most useless and utter nonsense thing of this company is the senior managements holding the AGM, tech lead, tech head positions. They don't have any technical knowledge apart from some excel shortcuts which is the only thing they have learnt in there 17 years of experience. They think that they are god of themselves.","Show more","",""
"3.0","17 Sept 2024","Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91088229.htm","Deputy manager i","Former employee, less than 1 year","Perundurai",">Collaboration with multiple departments and learning all the bank products.
>Knowledge of all banking operation processes.
>Bank offers a wide range of benefits, including healthcare, insurance, and compensations.
>Bank is at the forefront of adopting technology and innovation, giving employees the chance to work with cutting-edge banking solutions.
>Holidays.
>One can work in any other banks, if the person survives here for 2 straight years.",">Target-driven environment. Employees, especially in sales and customer-facing roles, often experience high levels of stress due to strict performance expectations.
>Long working hours, especially in sales and relationship management roles, which can lead to work-life imbalance.
>High attrition, particularly among junior and mid-level employees.
>Frequent changes in roles or departments disrupt their career trajectory, making it harder to specialize in a particular field.","Show more","",""
"3.0","5 Oct 2024","overall average experience.","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91643302.htm","Relationship manager","Former employee, more than 1 year","Mumbai","Decent salary package compare to other companies.","Its all about sales. Don't expect work life balance, as i was in retail branch, so its a 9am to 9pm job.
sales pressure is immense.","Show more","",""
"3.0","13 Oct 2024","Good place to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91890477.htm","Chief manager i","Current employee, more than 8 years","Mumbai","","","","If you want to explore Banking industry, ICICI Bank will give you good exposure. Work pressure depends on your boss.","Annual increment is poor. HR intervention for grievances is negligible. Standard evaluation, no ratings."
"4.0","8 Oct 2024","It is good and bad depending on your profile","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91733871.htm","Analyst","Current employee, more than 1 year","Mumbai","1.Stable job
2. Not much load in tech department","1. No reviews which is demotivating for employees who work hard
2. After a certain point there is nothing much to learn
3. No growth
4. HR Team never works in your favour, nobody knows what they do and show themselves as busy","Show more","",""
"4.0","13 Oct 2024","Everything is good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91877336.htm","Government relations","Current employee, more than 10 years","Shimla, Himachal Pradesh","Very good friendly environment. Every 3 years automatic grede promotion","No competition no self motivation","Show more","",""
"3.0","14 Aug 2024","My review is based on the last 1 year of experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW90094873.htm","Phone banking officer","Current employee, less than 1 year","Hyderābād","As a phone banking officer you get to learn a lot about the product and process but apart from that there is nothing you can get and seniors always pressurise you by giving unachievable sales target.
But there are few senior manager who don't do like that and they understand the work pressure so they don't give additional pressure from thier side but the sad part is these type of senior manager have resigned.","Work pressure should be reduced on the employee because already we are facing a rage of customers on the call because they have issues with their money so ofcourse they will scold on you but seniors don't understand this and they just give all the blame on you for each and everything","Show more","",""
"4.0","13 Oct 2024","Icici dm2","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91881593.htm","Dm2","Current employee, less than 1 year","Gurgaon, Haryana","","","","Good working culture and environment","Hike is not that good"
"5.0","11 Oct 2024","Ndj","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW91856510.htm","Analysts","Current employee, more than 1 year","Hyderābād","Good work culture and outing time is precious","None what I found in last one year","Show more","",""
