"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","27 Sept 2024","Company Review","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91403936.htm","Assistant manager","Current employee, more than 1 year","Bhopal","Good appraisal in the annual appraisal","Too much pressure on weekends","Show more","",""
"2.0","12 Oct 2024","Not employee centric","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91866366.htm","Customer success manager","Former employee, more than 3 years","Noida","Timely salary and you learn a lot of unethical and smart cheat codes while dealing with customers.","Non ethical company zero value for employees.","Show more","",""
"2.0","24 Sept 2024","Good company but management is pathetic","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91290088.htm","Quality analyst","Former employee, more than 3 years","Vāshi","Company is good, good cafeteria and increment for those who ranked 1 or 2","Management is pathetic including HR, ER. Open politics which you can see but cannot do anything","Show more","",""
"1.0","30 Sept 2024","Avoid joining Data Science Team","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91501710.htm","Data scientist","Former employee, less than 1 year","Mumbai","Used to have good projects in past.","No AI/ML projects. If you are thinking that you are gonna build some fancy ML projects then you are very wrong here. They hire Data Scientist just for the sake of name. You will be doing everything except data science work. Too much micromanagement. Managers will shout at you without caring about the fact that others are listening too. If you are experienced avoid joining this company. You will be doing everything sales related.","Show more","",""
"3.0","8 Oct 2024","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91722523.htm","Technical lead","Current employee","Mumbai","","","","Good culture, lots of thing to learn","As of now no cons aa it's best suit for all freshers as well as experienced person."
"1.0","2 Oct 2024","Avoid joining Data Science Team","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91543750.htm","Data scientist","Current employee, less than 1 year","Mumbai","Nothing good i can think of","There is literally no AI/ML projects. Not a single innovative project. You will only be doing mundane works. Learning will be zero. They hire data scientist just for the name sake. Managers are worst. They will do so much micromanagement that you will end up yourself in frustration. Avoid joining the team if you are experienced one. Freshers think carefully before coming here. You will end up in a lot of mess.","Show more","",""
"5.0","10 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91812193.htm","Anonymous employee","Current employee","","","","","Good company for the all","Very good work lyf banking"
"2.0","30 Sept 2024","Not great","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91472574.htm","Senior manager","Current employee","Hyderābād","You will revieve business in the market due to company good will.","Micro management at peak
No support from team nor HR
Negative atmosphere","Show more","",""
"3.0","30 Sept 2024","Work driven company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91498292.htm","Consultant","Current employee, more than 1 year","Mumbai","Great exposure in insurance world in India,","There's no fair share treatment for employees on on roll and off roll basis","Show more","",""
"4.0","5 Oct 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW91647940.htm","Devops engineer","Current employee, more than 1 year","Mumbai","","","","Good learning is there in the org.","extra hours of work is expected."
