"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","11 Oct 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91839061.htm","Financial services consultant","Current employee, less than 1 year","Very supportive TL and managers","It's very good company and growth future","Show more","","",""
"4.0","5 Oct 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91644729.htm","Business trainee","Current employee, less than 1 year","It is good company to work for self development and to gain more knowledge. the company has made issuance of policy easy which was very satisfying","There is no proper and timely response from operation team","Show more","Panaji","",""
"5.0","20 Sept 2024","Overall my experience was good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91186276.htm","Financial services consultant","Current employee, more than 1 year","You can work here without having fear of loosing your job everyday!
My manager was supportive and understandable person you just need to be honest with your him/her.","I was not happy with my super boss's behaviour he always used to disrespect and torture me and my manager too.
As usual in sales there is always a pressure is on.","Show more","Indore","",""
"4.0","9 Oct 2024","It's good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91789809.htm","Area sales manager","Current employee, more than 3 years","Good
Good
Good
Good
Good","Senior management not supporting 
Long working hours
Too much pressure
Compensation not as per work load
Less benifits","Show more","Jalandhar, Punjab","",""
"4.0","19 Sept 2024","It's good ,not bad.","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91168315.htm","Financial sales consultant (fsc)","Former employee, less than 1 year","Everytime I was thinking about insurance I get an idea with the mentorship given, just to be helpful for the people who knows less about their future of investments in spite of securing early they distracts on their own like if this happens what I have and if that happens what I have to support.","Protection and coverage against any disastrous situation to overcome with if nothing is there to choose kind of elements are precursory for our day to day living and dreaming.","Show more","Raipur, Chhattisgarh","",""
"5.0","11 Oct 2024","Good working environment","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91829768.htm","Senior financial service manager","Current employee, more than 3 years","Good working environment and incentive structure","nothing at all, one of the best experiences","Show more","Ahmedabad","",""
"2.0","9 Oct 2024","Not good company as it was earlier","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91791474.htm","Relationship manager","Current employee, more than 3 years","We should not join this company","Nothing good to mention, Very bad company","Show more","Alīgarh, Uttar Pradesh","",""
"5.0","9 Oct 2024","It was the great opportunity Gave me..","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91760990.htm","Financial services consultant (fsc)","Current employee, more than 1 year","","","","Ujjain","Good job security, management satisfactory","Working culture is in under pressure.non supportive manager."
"5.0","11 Oct 2024","very good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91831283.htm","Business development manager","Current employee, more than 1 year","","","","Budaun","company culture is very good","Good Experience, Good company ICICI Prudential"
"5.0","9 Oct 2024","agency","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW91792808.htm","Unit manager","Current employee, more than 1 year","Good atmosphere to work in this company","nothing seems to be negative about this company","Show more","Bengaluru","",""
