"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","17 Sept 2023","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW80153196.htm","Assistant manager","Former employee, more than 1 year","Gurgaon, Haryana","Great place to work. Good team, good employee benefits.","Management rotation is frequent. Need to stabilise.","","",""
"3.0","11 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW90904623.htm","Captain a320","Current employee, more than 8 years","New Delhi","Stable organisation with bright future","Hectic schedule with high pressure work environment","","",""
"4.0","26 Jul 2024","A friendly company for beginners","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW89512295.htm","Cabin attendant","Former employee","New Delhi","","","1. If you are starting out as Cabin attendant career, Indigo is a good place to learn the essence of aviation industry
2. the colleagues you will find everyday are helpful and kind","1, The pay is less in relation to the amount of input that you'd be giving
2. The work hours are crazy specially for short sector hauls.","Show more"
"3.0","1 Aug 2024","Customer Support Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW89688083.htm","Customer service","Former employee, more than 3 years","Mumbai","","","Staff travel facilities
Meeting different kind of customers every minute","Hectic schedule
Difficulty to obtain leave","Show more"
"4.0","8 Jul 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW88931900.htm","Senior executive","Current employee, more than 1 year","Gurgaon, Haryana","","","No pressure on timing
Salary normal 
Stability","Not give hike
Toxic culture","Show more"
"4.0","20 Mar 2024","My honest review","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW85518559.htm","Flight instructor/commercial pilot","Current employee","","Very organised airline with all procedures in place .","Flying can be hectic most of the times . Limited types of contracts available now .","","",""
"4.0","24 Jan 2024","Life in Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW83708564.htm","Airline pilot","Current employee","","","","Management and line operation general communication","Work life balance
Minimum rest operations","Show more"
"3.0","23 Sept 2023","...","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW80338767.htm","Senior executive","Current employee, more than 5 years","Vāranāsi","Staff travel Trainings Meeting new people","No work life balance No festivals to celebrate No proper breaks","","",""
"4.0","14 Sept 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW80054325.htm","Security officer","Former employee","","It was a good job role","I did not felt any Corns while working there","","",""
"3.0","28 Apr 2023","Customer service","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW75941476.htm","Customer service officer","Current employee","","","","Iwant travel concession for you and family to roam around you can go for this job, If it is first job then go enjoy with corporate culture and chances you may see celibrity.","Night shift, rotational shifts, last minute pullout may be and no hikes for years, pressure and school like questions for employees. Very sensitive work should be vigilant all the time or else you are answerable you can't do work just like that","Show more"
"2.0","11 Sept 2023","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW79941374.htm","Manager","Current employee, more than 8 years","Gurgaon, Haryana","Travel benefits Stability in job","No work life balance More work Low salary","","",""
"4.0","3 Jul 2023","Stable job, need to be very very hard working","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW77917459.htm","Inflight supervisor","Former employee","New Delhi","","","+ it was good to work with Indigo if you’re working as a senior but they don’t value juniors","- If you are a junior, prepare to be hard working","Show more"
"3.0","3 Jul 2023","Officer - Security","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW77908928.htm","Security officer/security guard","Former employee, more than 1 year","Coimbatore","","","Flight ticket is free for employee","One day week off not it in weekdays. You have to work in sun and rain. Stressful management & managers. No leave are not approved. Don't have a correct package for the working person","Show more"
