"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","29 Aug 2024","Compensation & Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90528869.htm","Senior manager","Current employee","Work life balance & proper leaves..","Lethargic processes , untrained employees & compensation and salary not upto the market standards.","","","",""
"5.0","10 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90871825.htm","Senior business development manager","Former employee, less than 1 year","","","Cochin","Good salary, Posh Office, Nice staff","Long working hours and Saturdays are not always off.","Show more"
"4.0","10 Sept 2024","Overall good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90877142.htm","Assistant relationship manager","Former employee, more than 1 year","","","Ahmedabad","Supporting team and enjoyed working","No technology advancement and TAT is very high","Show more"
"3.0","3 Sept 2024","only learning and no earning","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90670153.htm","Legal","Current employee, more than 3 years","","","Mumbai","You get good learning and you get to explore different areas of work","There is no earning within the organisation and legal department. Favoritism is played within organisation","Show more"
"2.0","7 Sept 2024","Decent salary","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90795679.htm","Campaign manager","Current employee, more than 5 years","","","Gurgaon, Haryana","Fix Sat sun off
Hybrid system","Highly agressive culture no work life balance","Show more"
"3.0","6 Sept 2024","Job security","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90776771.htm","Senior systems analyst","Current employee, more than 1 year","Secured job in current market standards","No tech skill improvement training provided","Chennai","","",""
"5.0","6 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90782108.htm","Assistant manager","Former employee, more than 3 years","","","Mumbai","Good work environment 
Friendly managers","Pay is very less
Bonus is meager","Show more"
"3.0","4 Sept 2024","Branch manager AVP","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90697347.htm","Branch manager","Former employee, more than 3 years","Less pressure compared to other banks","Hike is low bonus is pathetic","Coimbatore","","",""
"2.0","28 Aug 2024","Work pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90487623.htm","Relationship officer","Current employee, less than 1 year","Full of field work no restrictions to stay in bank","Per month 8 current account should done ip for opening account is very gigh to this ranipet area","Vellore","","",""
"4.0","27 Aug 2024","Freedom to operate","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90459676.htm","Product marketing manager","Current employee, more than 1 year","Absolute freedom to operate if you’re on top of the numbers","Systems are outdated and speed of getting things done is slow","Mumbai","","",""
"4.0","30 Aug 2024","Good job security","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90589024.htm","Deputy manager","Current employee, more than 3 years","","","Mumbai","Job security
Less management hierarchy 
Learning opportunities","Small office
Not fun work culture","Show more"
"5.0","26 Aug 2024","Great work place","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90446360.htm","Assistant manager","Former employee","Work life balance, supportive seniors","Less pay, no incentives, slow growth","Mumbai","","",""
"1.0","3 Sept 2024","Dont join this organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90670173.htm","Assistant vice president","Current employee, more than 1 year","Hybrid work culture only till DVP level","No growth, pathetic work culture, no extra benefits to employess","Gurgaon, Haryana","","",""
"3.0","25 Aug 2024","Product manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90410306.htm","Product manager","Current employee, more than 3 years","Got the opportunity to work on big project","You get multiple project where priority is defined","Mumbai","","",""
"3.0","20 Aug 2024","Business owner","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90273756.htm","Business owner","Current employee","","","Chandigarh","Variety of products to sell","No help whatsoever . They don't care","Show more"
"3.0","24 Aug 2024","Government banking group","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90376074.htm","Relationship manager","Former employee, more than 1 year","Good place to work, but process wise need to improve","Work life balance is good","Trichy","","",""
"3.0","22 Aug 2024","Good only for bankers","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90340458.htm","Relationship manager","Current employee, less than 1 year","Big company, brand name and people","Work environment, bad offices and strict policies","Hyderābād","","",""
"5.0","20 Aug 2024","good place","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW90251894.htm","Anonymous employee","Current employee, more than 1 year","demanding but you get to learn a lot","nothing as such to say","","","",""
