"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","3 Oct 2024","Good environment!","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91611860.htm","Da","Former contractor, less than 1 year","Mumbai","Good workplace, great canteen and the infrastructure is great!","There is no cons to enter!","","",""
"4.0","3 Aug 2024","I worked a web developer","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW89750343.htm","Software engineer(internship)","Former intern","","","","Working at Indian Oil Corporation Limited (IOCL) offers several advantages, including:

Job Security: IOCL, being a major public sector enterprise, provides stable and secure employment, which is highly valued, especially in turbulent economic times.

Competitive Salary and Benefits: IOCL offers competitive salary packages along with various allowances, medical benefits, and retirement benefits such as provident fund and pension plans.

Growth Opportunities: There are ample opportunities for career growth and professional development within IOCL. Employees can advance through promotions and skill development programs.

Work-Life Balance: Many employees at IOCL enjoy a balanced work-life environment. The company often promotes a culture that respects personal time and offers leave policies conducive to maintaining this balance.

Diverse Experience: Working in IOCL can provide diverse experiences due to its operations in various segments like refining, pipeline transportation, and marketing of petroleum products. This exposure can be valuable for career development.","While working at Indian Oil Corporation Limited (IOCL) has many advantages, there are also some potential downsides to consider:

Bureaucracy: As a large public sector enterprise, IOCL may have bureaucratic processes that can slow down decision-making and innovation. This can sometimes lead to frustration among employees.

Work Pressure and Stress: Depending on the role, especially in operational and managerial positions, the work can be demanding and stressful. Meeting deadlines and managing large-scale projects can be challenging.

Limited Flexibility: Public sector jobs often come with less flexibility in terms of work arrangements compared to some private sector companies. This might include rigid working hours and less opportunity for remote work.","Show more"
"3.0","4 Oct 2024","One of the best employer in terms of salary and perks in the public sector","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91632184.htm","Anonymous employee","Former employee, less than 1 year","","","","A good work-life balance for most of the roles, good salary and perks,","The job is highly transferrable, transfer happens every 3-4 years, and getting a home posting is difficult.","Show more"
"4.0","10 Oct 2024","Goods","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91809197.htm","Software engineer","Former employee","Gujar Par","Very good enviroment working ability","not flexible at time work","","",""
"4.0","7 Oct 2024","Exposure in various departments","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91681842.htm","Management trainee","Former intern, more than 1 year","Chennai","Get opportunities to participate in various department works and gain good exposure","not anything i can put into words","","",""
"5.0","2 Oct 2024","Internship Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91574905.htm","Finance intern","Current intern, less than 1 year","New Delhi","The internship was filled with learning and excitement","The internship is usually unpaid","","",""
"4.0","1 Oct 2024","Production manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91538951.htm","Production manager","Current employee, more than 8 years","Delhi Cantonment","","","Work life balance, security, diversity","Slow monetory growth, remote location","Show more"
"2.0","3 Jun 2024","Job only meant for low income group people","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW87878075.htm","Chief operations officer","Current employee, less than 1 year","New Delhi","","","1. 5 months training in 3/5 star hotels","1. No one in the organisation has any power except for the management who makes stupid decisions without considering anything 
2. No communication from management to employees
3. Treatment by management with employees like objects they can throw you anywhere and ask you to do anything since they are paying you
4. Zero work life balance
5. You cannot have a spouse working outside IOCL, if you do they will purposely post you to places where you will be forced to either quit your job, leave your spouse (many people in the organisation have committed suicide due to this)
6. The L&D team and HR team is a team full of jokers who openly promotes getting divorced if your spouse is not working in IOCL and tells you to build a home (get married to someone in iocl) where you are posted. They are senseless and non empathetic people","Show more"
"4.0","27 Sept 2024","test","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91413915.htm","Technician","Former intern","Mumbai","Great place to work life balance","none, none, none, none, none","","",""
"5.0","24 Sept 2024","Amazing , very cooperative","https://www.glassdoor.co.in/Reviews/Employee-Review-Indian-Oil-RVW91327125.htm","Engineering intern","Current intern, less than 1 year","Calcutta","Excellent support from guide and knowledge about engineering projects","Nothing was bad about my experience","","",""
