"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","2 Oct 2024","Amazing learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91574220.htm","Project manager","Current employee, more than 3 years","Bengaluru","True responsibility, direct exposure and top colleagues to learn from","If you look at working hours before work, it’s not for you","Show more","",""
"4.0","13 Oct 2024","Very Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91875697.htm","Area sales executive","Former employee","Calcutta","Very Good Culture and People","TOo much peeessure to handke","Show more","",""
"4.0","12 Oct 2024","Amazing work!","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91862765.htm","Kites intern","Current intern, less than 1 year","Calcutta","","","","Good exposure, great people, great work","Wlb screwed, but who cares when you are just starting"
"4.0","17 Sept 2024","""Dynamic Work Environment and Growth Opportunities at ITC Limited""","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91080732.htm","Management trainee","Current employee, less than 1 year","Noida","Diverse Learning Opportunities – ITC offers exposure to various sectors, which broadens your skillset and industry knowledge.
Strong Work Culture – The company promotes a collaborative and inclusive atmosphere, encouraging innovation.
Career Growth – ITC provides clear growth trajectories and multiple career advancement opportunities.
Employee Benefits – Competitive salaries and a comprehensive benefits package, including health coverage and wellness programs.","Work-Life Balance – At times, work demands can extend beyond regular hours, affecting personal time.
Bureaucracy – Decision-making can be slow due to hierarchical structures.
Adaptability Challenges – The size and diversity of the company may pose challenges for those unaccustomed to frequent changes in project direction.","Show more","",""
"2.0","12 Oct 2024","Company","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91867840.htm","Sales associate","Former employee, more than 3 years","Bengaluru","","","","Environmental Protection Minister David has been","Culture culture culturelle pathétique cons"
"3.0","11 Oct 2024","Good sales experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91840727.htm","Brand manager","Current employee, more than 5 years","Bangalore Rural","Excellent sales skills
Wide exposure","Pathetic work life balance
Have to travel a lot","Show more","",""
"4.0","11 Oct 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91847678.htm","Normal staff","Former employee, less than 1 year","Punwat","","","","very good place to work","not suitable for internal process auditor"
"2.0","24 Sept 2024","Worst work culture in Logistics Domain","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91293177.htm","Assistant manager","Former employee, more than 3 years","Calcutta","You will learn things limited to handling people at all levels but at the cost of your dignity and mental well-being","Multiple ones: work is very operational, technology adoption is low because of senior executives and work culture is abusive both verbally and mentally","Show more","",""
"3.0","7 Oct 2024","hello","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91696167.htm","Graduate engineering trainee get","Current employee","Bengaluru","","","","nice habitat and employee frinedly","none of them at this loaction"
"4.0","5 Oct 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91649335.htm","Marketing","Former intern, less than 1 year","Calcutta","great company and great people","weather in kolkata can be hrsh and language barrier","Show more","",""
"4.0","3 Oct 2024","ITC","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91585538.htm","Distribution sales","Former intern","North East","","","","The work won't be that much but there would be alot of walking","The weather might be or the incentives"
"4.0","5 Oct 2024","benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91651665.htm","Assistant manager","Current employee, more than 1 year","Calcutta","","","","benefits at ITC are great","nothing as such is there as con"
"4.0","4 Oct 2024","Good working with ITc","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91616124.htm","Scm analyst","Current employee","Bengaluru","","","","Culture in gud and gud learnings","Nothing as much as I knw"
"5.0","1 Oct 2024","The Work culture of the itc is good.","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91520472.htm","Marketing intern","Current intern","North West","","","","The team member is very supportive","The work culture is good"
"4.0","27 Sept 2024","Great interview","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91418915.htm","Internship","Former employee, less than 1 year","Bengaluru","Good work life balance
Good recognition for your work","Can be more systematic and updated with the market changes","Show more","",""
"4.0","1 Oct 2024","Hectic with rewarding benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-ITC-RVW91504114.htm","Manager","Former employee, more than 1 year","Bengaluru","good salary in manufacturing domain
employee engagement and growth
ownership","work life balance
hierarchical structure and process","Show more","",""
