"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","22 Aug 2024","Senior Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW90345028.htm","Senior manager","Former employee","Mumbai","Good org to work with","Less pay, ok medical insurance","","",""
"3.0","16 Sept 2024","Supportive Team Culture, but Work-Life Balance Needs Improvement","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91068244.htm","Assistant manager","Current employee, more than 1 year","Chennai","","","Working at Kotak Mahindra Bank has been a great experience in terms of learning and professional growth. The exposure to various banking operations, particularly in retail banking, is immense, and the company offers a solid foundation for building a career in banking. The team environment is supportive, and I found my colleagues to be collaborative and always willing to help. The company also offers a variety of training programs that can be beneficial for those looking to improve their skills.","Work-life balance can be a bit challenging, especially during peak periods when there are a lot of customer interactions. Additionally, there could be more focus on providing cross-functional training to help employees understand other areas of the business and improve internal mobility.","Show more"
"4.0","6 Oct 2024","Chill to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91676894.htm","Data analytics intern","Former intern, less than 1 year","Mumbai","","","This was my first internship in a corporate setting but the employees there know that as a student you don't know everything and gave enough time to learn the required things and explore how you want to work on the project assigned.","As an intern, I don't think there was anything negative during my time.","Show more"
"4.0","11 Oct 2024","Kotak Bank Benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91840419.htm","Investment advisor","Former employee, more than 5 years","Mumbai","Nice culture. Established Brand, Steep Learning.","Slow with developments. Limited non salary perks.","","",""
"4.0","11 Oct 2024","Analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91832828.htm","Analyst","Former employee, more than 1 year","Mumbai","luck enough to have a great team","work would be taxing at times,low salary","","",""
"5.0","10 Oct 2024","Collections","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91812643.htm","Manager","Former employee, more than 1 year","New Delhi","Good work life balance, nice people","None as i can remember","","",""
"2.0","24 Sept 2024","work culture is very harsh, everyone thing is target oriented","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91311776.htm","Anonymous employee","Current employee, less than 1 year","","","","if you have no ambitions, 
if you have no self respect, then it is for you","you will get downgrade day by day after gaining experience, even if you are decent at your work you will be awarded with under achiever rating","Show more"
"3.0","7 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91714172.htm","Deputy manager","Current employee","Connaught Place","","","Good for female employees. 
Priorities their needs","Working hours are not fixed 
Too much politics","Show more"
"2.0","8 Oct 2024","Overall okayish","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91720259.htm","Data scientist","Current employee","Mumbai","Nothing good about working at kotak","no good mentors assigned for guidance to freshers","","",""
"4.0","6 Oct 2024","Good bank to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91675877.htm","Credit manager","Current employee","Mumbai","Good work culture, approachable seniors","Salary is slightly on lower side","","",""
"4.0","4 Oct 2024","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91617793.htm","Sr manager mis","Current employee, more than 1 year","Goregaon East","Good work culture, opportunity to learn new things and good opportunity to learn new things","Using old time databases and software","","",""
"4.0","4 Oct 2024","Great!! Only thing is compensation need to improve.","https://www.glassdoor.co.in/Reviews/Employee-Review-Kotak-Mahindra-Bank-RVW91632537.htm","Associate","Current employee, more than 1 year","Chandigarh","Lot to learn. Best core systems","Manual work in some aspects","","",""
