"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","5 Oct 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW91658828.htm","Administrative assistant","Former employee, more than 3 years","Pune","it is low stress job","Frequent transfer, can't settled at one city","Show more","",""
"5.0","21 Sept 2024","Job as Development Officer in LIC OF INDIA","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW91214468.htm","Development officer","Current employee, more than 10 years","Tirupati","","","","Good Training, Good work Culture, Nice Atmosphere, Job Satisfaction, Curruption free","Work holic, Strict Rules, Old Infrastructure"
"2.0","23 Sept 2024","Commission agent","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW91255301.htm","Sales agent","Current employee, more than 3 years","Kānpur, Uttar Pradesh","Fair policy
Great support hierarchy
Work from home","Low remuneration
Deductions
Low salary
Unrealistic targets
No conveyance allowance","Show more","",""
"4.0","30 Aug 2024","Limited avenues for growth but very good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90569825.htm","Assistant","Former employee, more than 1 year","Patna, Bihar","If you’re looking for good work life balance with a decent pay. This is the best job for tier 2 cities.","The growth opportunities are very small and limited. The work culture is very unstructured. There is still a lot of red tapism. You will be posted in rural areas after promotion.","Show more","",""
"5.0","30 Aug 2024","I work as freelance on part time","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90561856.htm","Insurance advisor","Current employee, more than 5 years","Mumbai","Insurance Advisor for LIC of India on part time basis, hence want to earn more money working here to make both ends meet","Not getting jobs want to work from home as you have opportunities for people like us.","Show more","",""
"5.0","14 Sept 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW91006893.htm","Lic development officer","Current employee, more than 1 year","Mumbai","Freedom of time, Personality Development","Sales target, Insufficient Training, Daily attendance","Show more","",""
"5.0","10 Sept 2024","Efficient and Hassle-Free, LIC Ensures Financial Security with Exceptional Client Care.","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90865769.htm","Client services","Former intern","","Wide range of policies
Trusted and Government backed
High settlement ratio
Customer Support","high premium for certain policies","Show more","",""
"2.0","6 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90772350.htm","Administrative","Current employee, more than 8 years","New Delhi","Secure job good salary structure","No work life balance.. frequent transfer to remote location","Show more","",""
"5.0","25 Aug 2024","ASSISTANT is a clerical position in LIC","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90407447.htm","Administrative assistant","Current employee, more than 5 years","Calcutta","","","","Work life balance is good. Lots of scope to learn about insurance industry.","Lic is still technologically outdated"
"5.0","21 Aug 2024","Good job at LIC","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90288098.htm","Officer","Current employee, more than 10 years","Cochin","","","","Providing services to public at their difficult times","No down side in the nature of work"
"5.0","22 Aug 2024","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90317583.htm","Licensed insurance agent","Former employee","","Good and respectful job. Best with good strategy","Good strategy for earning more money","Show more","",""
"4.0","24 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90378200.htm","Claim settlement","Current employee, more than 10 years","Chandigarh","Good atmosphere. Better salary and benifits","Nothing bab. Everything is ok","Show more","",""
"4.0","22 Aug 2024","Lic pay","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90316544.htm","Senior business associate","Former employee, more than 10 years","Coimbatore","Best job for enthusiastic people","Very challenging. Hard to achieve results","Show more","",""
"4.0","22 Aug 2024","Great culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90338910.htm","Assistant manager","Former employee","Bengaluru","","","","People are nice and sweet here","It becomes repetitive and boring."
"5.0","18 Aug 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90199913.htm","Abm sales","Current employee, more than 10 years","Uttarkāshi","","","","Good work culture and good salary.","Marketing dominant and target driven."
"5.0","17 Aug 2024","Excellent Employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW90173656.htm","Officer scale iii","Current employee","Chennai","Quick promotion, fullest satisfaction and handsome package","Transfer policy in clerical cadre","Show more","",""
"5.0","28 Jul 2024","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89563358.htm","Administrative assistant","Current employee, more than 3 years","Calcutta","","","","Good pay structure, best in the industry","No cons no cons no cons"
"4.0","30 Jul 2024","Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89616971.htm","Insurance agent","Current employee, more than 1 year","Erode","Flexible timing 
Support from DOs","Traveling often 
Comission basis not salary","Show more","",""
"4.0","15 Jul 2024","Networking","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89178443.htm","Licensed insurance agent","Current employee, more than 8 years","Bengaluru","","","","If one has good people and networking skills then LIC offers good products to sell.","One needs to be patient with the staff in LIC."
"5.0","29 Jun 2024","Sales Marketing","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88709309.htm","Yes","Current employee, more than 10 years","Motīhāri","I working in lic of India. I choice field work and earn good Commission.","We can't success without hard work in life Insurance sector.","Show more","",""
"4.0","9 Jul 2024","for bread and butter","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88966915.htm","Sales associate","Former employee","","","","","that was not my type i was been working there for money.","i have to travel all day long morethan 300 km with bike."
"4.0","17 Jul 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89223380.htm","Financial advisor","Current employee, more than 8 years","Mumbai","","","","Ok ok kind of place to work.","Nothing special to. Mention. It's ok to work."
"5.0","4 Jul 2024","SALARY REVIEW","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88854085.htm","Software developer","Current employee, more than 8 years","Mumbai","Work Life balance, Good salary","Low growth in salary, low job satisfaction","Show more","",""
"5.0","11 Jul 2024","Its a great Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89058997.htm","Insurance advisor","Current employee","Amravati","","","","All benefits are given to the agent","Their is no cons about it"
"5.0","11 Jul 2024","na","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW89075989.htm","Executive assistant","Current employee","Vāranāsi","","","","great work life balance and pan india transfer","infrastructure is very average in office"
"5.0","24 Jun 2024","Best working","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88554125.htm","Administrative assistant","Current employee, more than 10 years","Jodhpur, Rajasthan","Office ambience great at office in LIC","Administrative staff is also expected to contribute in field work","Show more","",""
"4.0","26 Jun 2024","intermediate","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88611945.htm","Development officer","Current intern, less than 1 year","Mysore","","","","good salary and incentives in job","current market is tough need more patience due to high pressure in job"
"4.0","24 Jun 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88521001.htm","Executive assistant","Current employee, more than 1 year","Mumbai","","","","Work Culture is positive. Duration of work hours are convenient","There is a problem of time management"
"5.0","23 Jun 2024","Fantastic","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88509900.htm","Data entry clerk","Current employee, less than 1 year","New Delhi","","","","Fantastic, amazing ,outstanding ,helpful environment","No construction, specifically.. as an employee, everything is good"
"5.0","17 Jun 2024","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88314822.htm","Administrative assistant","Current employee, more than 3 years","Sasarām","Work life balance is best. 
Salary is best in industry","Everything is good in this organization.","Show more","",""
"5.0","17 Jun 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88309493.htm","Equity research analyst","Current employee","Mumbai","","","","Good Work Environment of the company","Location of branches is not easily accessible."
"5.0","14 Jun 2024","excellent organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88262157.htm","Development officer","Current employee, more than 5 years","Calcutta","","","","Good salary, incentives and arrears","there are no cons as of a government financial organisation"
"5.0","10 Jun 2024","Good environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW88102713.htm","Associate engineer","Current employee","Ahmedabad","Good Environment healthy environment super","Non non non non non","Show more","",""
"5.0","2 Jun 2024","Best employer with total security","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87855381.htm","Sdm manager","Current employee, more than 10 years","Calcutta","","","","Secured job with host of benefits","At times very lengthy office hours"
"5.0","18 Mar 2024","High Margin, Flexible Working hours, sales Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85465100.htm","Financial advisor","Current employee, more than 3 years","Jaipur, Rajasthan","1. Flexible working hours
2. High commision rates for each policy sale
3. You will continue to get 5% of the monthly premium paid by you customers even after years of the sale.
4. All kinds of health, loan , pension etc benefits","1. The effort to get a single sale is really high and it becomes a problem if most of you rcustomers are low ticket.","Show more","",""
"5.0","9 May 2024","great company  if you work hard","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87106294.htm","Agent","Current employee, less than 1 year","Āgra, Uttar Pradesh","","","","life long financial support from company","no fixed minimum income if you do not sell you won't last."
"3.0","11 May 2024","Just rude colleagues","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87173588.htm","Sales consultant","Former employee, more than 1 year","New Delhi","If you want a stable with good salary job work there","Cons are salary and timings","Show more","",""
"5.0","18 May 2024","Great Place","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87408230.htm","Financial advisor","Current employee","Thiruvananthapuram","","","","Good environment to work upon","No cons to be found"
"5.0","17 May 2024","Good salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87398655.htm","Administrative assistant","Current employee","Jodhpur, Rajasthan","","","","Nice working environment in office","No cons of working here"
"2.0","14 Apr 2024","Typical Government attitude, Admin not willing to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86294371.htm","Development officer","Current employee, less than 1 year","Vāranāsi","It's a good thing that this is government backed.","No one is willing to do work in LIC, Staff behaves rudely with DOs and Agents","Show more","",""
"5.0","6 May 2024","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86995174.htm","Advisor","Former employee","Mumbai","","","","Excellent work life balance many benefits","None all. Over it is good and beat company to work"
"4.0","7 May 2024","work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW87048168.htm","Salesperson","Former freelancer, less than 1 year","Bareilly","","","","one can get a healthy working environment","i dont think of any downsides"
"5.0","27 Apr 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86740342.htm","Sales & marketing","Former employee","","Supportive colleagues 
Enthusiastic Manager 
Good work culture","Slow & Delay in work process
Customer service","Show more","",""
"4.0","18 Apr 2024","Good working conditions","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86471016.htm","Data entry clerk","Current employee, more than 10 years","Jaipur, Rajasthan","Good career growth and good salary","Workload is more in some areas","Show more","",""
"5.0","14 Apr 2024","LIC- a major financial organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86310373.htm","Development officer","Former employee","","A very big brand image.
Number 1 in settling claims.
Organisation with good employee welfare schemes.
Very positive working atmosphere","There are no negative feedback","Show more","",""
"5.0","12 Apr 2024","nice job","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86273969.htm","Administrative assistant","Former employee, more than 3 years","Jodhpur, Rajasthan","great exposure with clients which is good for growing","its become monotous after a point of time","Show more","",""
"5.0","6 Apr 2024","Good unlimited income no fixed timing.","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86071586.htm","Insurance agent","Current employee, less than 1 year","Kamrup Metropolitan","Good and unlimited income no fixed timing.","You are your own boss to earn unlimited income.","Show more","",""
"5.0","6 Apr 2024","Customers must feel we only are around","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86058170.htm","Adminstrative office manager","Former employee","","Relationship and positive approach help create bond","A bond, bridge to reach and cross-over","Show more","",""
"5.0","10 Apr 2024","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86177266.htm","Assistant administrative officer","Current employee, more than 5 years","Uttarpāra","Good work management, good workload management","Slow growth, slow promotion, workload in sales","Show more","",""
"4.0","13 Apr 2024","excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86288837.htm","Sales advisor","Current employee","Mumbai","good company to work in Mumbai","time not fix anytime should work","Show more","",""
"4.0","11 Apr 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86244482.htm","Business development manager","Current employee, more than 3 years","Mumbai","","","","good environment around in the office","work culture can be improved"
"5.0","5 Apr 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86033104.htm","Manager","Current employee, more than 8 years","Mumbai","","","","Good working environment , quite a good experience","Large organisation, takes time to make changes"
"4.0","2 Apr 2024","Work Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85944531.htm","It administrator","Current employee, more than 1 year","Pune","","","","Work life is balance and good enviroment","Salary is less than market price"
"5.0","2 Apr 2024","Salary in lic","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85928004.htm","Manager","Former temporary employee","Mumbai","","","","Safe place to work here","Transferable job is difficult at times"
"3.0","5 Apr 2024","Okay","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW86056881.htm","Sales","Former intern","","","","","Good company to work with","Pressure of sales is very high"
"4.0","22 Mar 2024","good for earning extra income","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85595266.htm","Insurance agent","Former employee, more than 1 year","Ludhiana","","","","flexible working hours and can work from anywhere","target based job, have to complete targets"
"3.0","8 Mar 2024","Fast Fingers, Flawless Work: A Dream Typist!","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85127150.htm","Online typing work,","Former employee","","Accuracy & Attention to Detail
Speed & Efficiency
Cost-Effective
Meeting Deadlines","you can't go wrong with a good typist .","Show more","",""
"4.0","13 Mar 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW85291882.htm","Agent","Former employee, more than 3 years","Suryapet","","","","friendly environment, good experience, improved well.","less salary, no promotions and benifits"
