review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,,,,,,,,,
5,26-Jun-24,Great Place to Work,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW88630050.htm,Sr. dgm,Current employee,"Freedom, Learning, Growth, Challenges, Team","hierarchy, culture, 6 day week, no WFH",,,,,,,,,,,,,
3,19-Jul-24,Worst company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW89315022.htm,Diploma engineering trainee,"Former employee, less than 1 year",,,Meerut,"1) salary regulations 
2) prestigious company 
3) opportunity to work on mega projects 
4)you get knowledge about corporate world
5) Directly contact to HQ
6)Job security 
7)other facilities to employees
8) permanent job without third party involvement","1) Excessive long hours(minimum 12 hours,in case long distance it becomes 12-16 hours.
2) Holiday policies: no weekly offs, you are supposed to report on site even on public holidays, religious festivals and national holidays.you will also not get pl sl or cl as per offer letter easily.your boss will ask you to report on site by taking medicine for seek
3) Assignment in irrelevant departments: as a trainee, company can randomly assign you in any department without knowing your skills and you can not oppose for this.no rotation training is available.
4) Toxic work culture: you will get scolded by your boss even in notice period.they will behave like inhumane with you.totally abusive culture.i won't think they even deserve to be my boss
5) lack of basic facilitis : on the work area no amenities like drinking water, rest room, toilets and urinals are not available. On accommodation place no amenities are available & you can not complaint if you will then they will play with your ratings 
6) restrictions over higher education: company's policies disallowed trainees to pursue any kind of part time full time course.there is no guarantee to get company's sponsored education program 
7)less salary: for det salary is 20k in which he have to pay for mess charges upto 5k.living in metro cities with such a less salary is unjustified.
8)so many other reasons",Show more,,,,,,,,,
1,29-Sep-24,Toxic management and employees.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91449930.htm,Photographer,"Former contractor, more than 3 years",,,,Honestly nothing there to say... 👎👎,"They ask you to put in more hours but pay you less for it. As a contract employee, I have to complete all the paperwork by myself in order to get paid. There is no lunch provided, and no cab service, but they tell you to handle all the expenses yourself. They don't even act like people; they just show off one employee who purposefully left me out of my project and says things like ""It's our decision, we can in or out anyone it we want to do."" My sincere suggestion to any freshmen not to join this company is that everything is done on his own initiative. I regret wasting three years in this organization since there is no assistance for me from this guy.",Show more,,,,,,,,,
4,28-Sep-24,"L & T Hydrocarbons Engg Ltd-RUF VRMP (T.M FABRICATORS & ERECTORS), HPCL Vishakapatnam Plant",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91447391.htm,Piping supervisor,"Former employee, less than 1 year",,,Visakhapatnam,#NAME?,#NAME?,Show more,,,,,,,,,
5,07-Oct-24,the process of monitoring and managing online reviews about your business across various websites and platforms,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91688264.htm,Quality engineer,"Current employee, less than 1 year",,,Lucknow,"can also be used as a shortened form of the word ""professional,"" often referring to professional sports",a disadvantage or a reason for not doing something:,Show more,,,,,,,,,
3,08-Oct-24,Not a great place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91746283.htm,Assistant manager,"Current employee, more than 5 years",,,Mumbai,"1. Ok to begin career with, Learn about the industry and leave.
2. Not many pros.","1. Lot of company politics.
2. One of the worst HR. They talk and show stars during onboarding and later their actual colours are shown.
3. Lot's of employee disparity inside the Company.",Show more,,,,,,,,,
2,08-Aug-24,Ok...need more tolerance and patience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW89925271.htm,Anonymous employee,Current employee,,,,"Brand value of the group is so strong in the market, Provides good food in most fo their offices at a nominal price, Size of the group is so big so you'll get more opportunities for transfer to a new business and the same leads to greater exposure.","Too political, no transparancy, too biased, no respect and recognition for hardwork and dedication, growth only for those who are close to and favorable to the bosses. Top management is too toxic, good people exist down the line yet it is of no use. Doesn't value people and if this current state of the organisation continues it cannot sustain in the current environment. Old mind, old legacy, old ideas, backward thinking, narrow minds. Feels like a dictatorship rule than a professional organisation.",Show more,,,,,,,,,
3,12-Oct-24,L&T review,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91872377.htm,Senior engineer civil,"Current employee, more than 3 years",Good Exposure inn different projects,"Load of work, no work life balance",Calcutta,,,,,,,,,,,,
3,09-Oct-24,Senior Engineer Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91771539.htm,Senior engineer,"Former employee, more than 1 year",If you are from It background then no need to join this company,For core branches the company is well settled,Chennai,,,,,,,,,,,,
5,10-Oct-24,L&T GET salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91808786.htm,Graduate engineering trainee get,"Current employee, less than 1 year",Very high salary and good work culture,Less leaves granted that's it,Vadodara,,,,,,,,,,,,
