"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"5.0","12 Oct 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91871826.htm","Senior software engineer","Current employee, more than 5 years","Bangalore Rural","","","",""
"2.0","18 Sept 2024","work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91116055.htm","Project manager","Current employee, more than 3 years","Pune","This are depend on project which you get, car lease policy will be starting from 5th grade and above","Limited Onsite Transfers: There has been minimal onsite transfer activity over the past three years.
Work-Life Balance Concerns: The work-life balance has deteriorated since the mandate to work from the office. Employees are required to visit the office twice a week for six hours, even if no team members from their project are present at the base location. Employees at grade 5 or higher must spend three days in the office.
Appraisal Updates: There have been no updates on appraisals, yet employees are being asked to update their goals for the next year in the system.
Defiantly now days LTImindtree is not best place/ top 10 choice of work,","Show more",""
"1.0","24 Sept 2024","Ltimintree interview process","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91314792.htm","Specialist system management","Current employee, more than 3 years","Bengaluru","Don't have pro's not at all good .","After merged with L&T the company lost the name mindtree only best Ltimintree having illiterate employees especially HR management please change HR management first because they don't know how to treat employees/former employees.

I never suggest any of my friend/relatives to join this organisation.
Unworthy,cheater HR management","Show more","3"
"2.0","8 Oct 2024","No promotion after working for 8 years","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91738874.htm","Senior specialist","Current employee","","They are good at luring employees of other companies by giving good hike for laterals and then make them suffer here for decades.","No promotion for 8 years even though working in billable position and continuously upgrading tech stack. 
Managers are very much biased and do not bother about sub ordinates career progression. Most of the managerial people are very busy in only satisfying their manager.","Show more","1"
"4.0","9 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW90834215.htm","Software engineer","Former employee, more than 1 year","Pune","1. Job Security
Working for an established company can offer long-term job stability and reduce uncertainties about income or employment.
2. Career Development
Many companies provide structured career development opportunities, including training, mentorship, and opportunities for promotions.
3. Financial Benefits
Companies often offer competitive salaries, bonuses, retirement plans (e.g., 401(k) in the U.S.), stock options, and other financial incentives.
4. Comprehensive Benefits Packages
Employees often receive health insurance, dental and vision coverage, life insurance, and disability coverage, which may be cost-prohibitive if purchased individually.
5. Work-Life Balance
Many companies now offer flexible working hours, remote work options, and paid time off (vacation, holidays, and parental leave) to help maintain a healthy work-life balance.","1. Limited Flexibility
Companies often have strict work schedules, and employees may have little control over their hours or location, making it difficult to manage personal commitments.
2. Hierarchical Structure
Many companies have rigid hierarchies, which can make it harder to voice opinions or move up the ladder without going through multiple levels of approval.
3. Bureaucracy
Decision-making can be slow in larger companies due to layers of bureaucracy, formal processes, and a chain of command.","Show more",""
"1.0","28 Sept 2024","No hike, no liberty and freedom to upskill or join specific domain project, no clear management guidelines or future","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91447239.htm","Business analyst","Current employee, more than 3 years","Mumbai","Good client exposure as they have some good clients","No performance review or hike in last 3/4 years after lti mindtree merger.
No support from project management team or your reporting mangers.
No future for employees as management is still not clear on leadership. No goals or objective. 
Bias in hike and ratings. Toxic culture overall.","Show more","2"
"1.0","25 Jul 2024","Worst ever HR Team & Management","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89477472.htm","Anonymous employee","Former employee, more than 3 years","Chennai","The pros and benefits gets negated out due to the cons.","If you're looking for a company to respond with e-mails ""I am not the right person to contact"" LTIMindtree will be on the top 10. 
HR Team is totally spreaded out in different places where when employees from overseas have a query, they get response when they are about to log off during the day because the team is located in India and they start responding to the queries post lunch. 

You can see Out of office status, in IT Clinic status in teams, when you are waiting for the response, where the person responsible for will be chilling out somewhere else. 

One of the delivery team director can be found doing poojas during diwali time for a week and will still get paid in thousands of dollars, meanwhile employees who are working their butt off will get 0-2% hike. 

If you have contacts and support you can progress the corporate ladder, if you are a hard worker, you are at the wrong place. 

There is a website for Alumni Portal, where ex-employees requests for something and the persons responsible to resolve them will add it to their ""NEVER MIND"" list. It is always someone has to pull their leash and ask them they are still waiting for response and it get answered where they make themselves being proud of the ""I am not the right person"" club. 

I can still type more, but nothings gonna change by this review. If it is going to change something, it might be in the parallel universe.","Show more","10"
"1.0","6 Aug 2024","Worst company for Cloud Support role.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89852960.htm","Software engineer","Former employee, more than 3 years","Hyderābād","You will be lucky if you get a good project.","Very Self centred Managers. 
You will be the most unfortunate person if you get into the Microsoft project. Managers in Microsoft project are all sales oriented, they just want to meet target. They don't care about person's health or well being. 
When asked for leave, they ask what have you done to deserve a leave.....dude wth...I have my leaves and I should be able to take it as per my wish...who are you to ask me if I deserve or not.
Hikes... huh ...lol this is a joke in Ltimindtree. In my 3 years I have got hike of just 3200 in monthly pay. Now some will say...I would not have performed well....if that's the case...then why did they assign me 8 engineers to deal and manage, why would they ask me to handle escalations from clients, why did I consistently remain the only candidate to get 5 star rating in entire tenure of my project.

Not a bad company.... but the worst project...Even if they offer me crores...I won't be willing to work in that project ever again.
Ohh they won't offer crores any way... they didn't even retain their best technical lead...saying that they will give anything apart from salary hike...😌","Show more","12"
"2.0","31 Aug 2024","HR policies are not good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW90592828.htm","Data engineer","Current employee, more than 1 year","Pune","Nothing positive I can share employees are assigned on client projects, no work life balance . Even though you are working at client project and no team members working in work and no proper Internet connections since employees are working on client laptop . They are forced to go to office for the name shake wasting time in traffic and struggling in office to get the connections","No good HR policy.sick leaves are only meant to show off . Employees are not allowed to take one day sick leave you have to fall sick leave for straight 3 days minimum also you should not fall sick on weekdays to avail the sick leave after producing the sick leave certificate in the desired format","Show more","3"
"3.0","3 Jul 2024","Ltimindtree review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88813520.htm","Senior cloud engineer","Former employee, more than 5 years","Noida","Good work life balance - Specially if you are a female employee. Though it's you who have to balance this in your on going life activities, but have experienced in most projects that, you will be able to balance due to supportive managers.
No micromanagement done in most projects. There is no harshness towards 9 hours attendance, the organization is a bit flexible in this side.
Good office and work environment.","The rating would have highest for mindtree (before merging with LnT)
The increment is lower.
You have to be a continuous employee for 2 or more years to be eligible for promotion.
The employee have to search opportunities himself/herself when in bench, if you are not successfully, they will forcefully ask you to resign after 2 months.
The company limited mindtree's training program which was one of the best part of employment because it used to give real time experience too even freshers bringing out much skilled employees at work","Show more","3"
