"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","27 Aug 2024","HR Assistant","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90450026.htm","Hunan resource assistant","Current employee, less than 1 year","Mumbai","Work life balance, Values practice","Location, lengthy pre employment process","","",""
"4.0","12 Oct 2024","Flexible working","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91869636.htm","Lead engineer","Current employee","Chennai","","","Learning
Training
Respomsibility
Flexible working","Too much travel, timelines, changes","Show more"
"4.0","9 Oct 2024","Pros and cons M&M","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91776791.htm","Territory manager","Current employee, more than 1 year","Calcutta","","","Good organisation. Strong base and profile of company.","Too much outdated work procedure , excel based company. Feels like Data entry operator job despite being managerial post.","Show more"
"4.0","11 Oct 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91835834.htm","Deputy manager","Former employee, more than 3 years","Chennai","Office is well designed with good facilities","Location is far away from main city","","",""
"3.0","4 Oct 2024","Salary Pay","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91638001.htm","Assistant manager","Former employee","Nashik","","","Salary on time
Minimal variable","Less as compared to other automobile sectors","Show more"
"4.0","2 Oct 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91552959.htm","Senior engineer","Former employee","Chennai","Good working culture, work life balance.","Lesser increment in compensation and No profit sharing.","","",""
"4.0","27 Sept 2024","6 Months Internship at Mahindra and Mahindra","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91430197.htm","Data science intern","Former intern, less than 1 year","Bengaluru","","","- diverse and inclusive work environment
- hands-on experience","- pressure to deliver on time
- long working hours beyond stipulated time","Show more"
"4.0","23 Sept 2024","career growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91272575.htm","Senior engineer","Current employee, more than 1 year","Bengaluru","","","good growth for hard working and dedicated employees","limited work life balance, over night working for delivery","Show more"
"5.0","27 Sept 2024","outstanding internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91409321.htm","Electrical engineer","Former intern, less than 1 year","Pune","gives real work for internship","there is less vacancies in electrical field","","",""
"4.0","25 Sept 2024","good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91334118.htm","Customer experience manager","Current employee","Pune","good environment to work with","less payment increament per year","","",""
"4.0","22 Sept 2024","Decent growing company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91246817.htm","Assistant manager","Former contractor","Chākan","","","Good growth opportunities. 
Work life balance.","Processes are not defined. 
Rude CEO (Mahindra Defence Systems Limited)","Show more"
"4.0","23 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91256102.htm","Deputy manager","Current employee, more than 1 year","Nāgpur, Maharashtra","","","Good 
Easily approachable seniors
Environmental friendly 
Collaboration
Womens benefit","Transportation 
No cons
No cons 
no cons","Show more"
"4.0","12 Sept 2024","GET program to Engineer expected pay","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90964087.htm","Product development engineer","Current employee, more than 1 year","Chākan","","","Informal work culture, flexibility depending on manager, Good HR","Progression might be slow, hectic work hours depending on project phase","Show more"
"4.0","19 Sept 2024","Good opportunity to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91169557.htm","Strategist","Former employee, more than 1 year","Mumbai","The firm provides good opportunity to learn","Leaves are less and can be increased","","",""
"5.0","18 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91149322.htm","Manager","Current employee, more than 3 years","Pune","","","Culture is very good.
Friendly work environment","Work load is very much","Show more"
"2.0","30 May 2024","Avoid MRV - Infotainment Team: Terrible Culture and Unrealistic Expectation","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW87785955.htm","System s engineer","Current employee, more than 1 year","","","","There are be great talented individuals and good projects, but their efforts are overshadowed by the toxic environment due to few seniors.","Worst Culture: The Team has an extremely negative culture with completely unrealistic delivery expectations.No Work-Life Balance: There are no set work timings. Most employees end up working 6 days a week, often for more than 15 hours a day to meet delivery demands.Excessive Travel: High travel requirements add to the stress and exhaustion.Lack of Ethics: Mid-senior level management lacks any sense of work ethics and often engages in abusive behavior.High Attrition Rate: The employee turnover rate is alarmingly high. HR is powerless to intervene or even conduct proper exit interviews.Toxic Environment: I highly recommend not joining the MRV - Infotainment team. Prospective employees should diligently seek insights from current employees about the work culture before making a decision.","Show more"
"4.0","10 Aug 2024","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW89964934.htm","Internship","Former intern","","","","I had an excellent internship experience at Mahindra & Mahindra. The supportive team and hands-on projects provided valuable learning opportunities. The company’s commitment to innovation and social responsibility makes it a standout place to work. Overall, it was a rewarding experience that significantly contributed to my professional growth.","I had a great internship at Mahindra & Mahindra. The team was helpful, and I learned a lot. However, sometimes things felt a bit rushed, and there were some slow processes. Overall, it was a good experience with a few areas to improve.","Show more"
"4.0","18 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91120937.htm","Human resources","Former intern, less than 1 year","Mohali, Punjab","","","the work culture is good","love how they help me in enhancing my knowledge","Show more"
"3.0","18 Sept 2024","Okay","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91120513.htm","Cashier","Current employee, more than 1 year","Coimbatore North","","","Good environment for work in the office","Salary is too low for this generation","Show more"
"4.0","18 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91113435.htm","Summer intern","Former intern, less than 1 year","Gurgaon, Haryana","good work-life balance in the company","hours of work can be intense","","",""
"3.0","16 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91041489.htm","Senior engineer","Current employee, more than 1 year","Coimbatore","Nothing is good here. No work here","Salary is very low. No work also","","",""
"1.0","24 Sept 2024","Best company for GET's","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91321864.htm","Lead engineer","Former employee, more than 1 year","Chennai","","","GET's get good compensation and promotions","If you are experienced person, stay away from this company.","Show more"
"3.0","11 Sept 2024","It was very good working with that company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90907317.htm","Graduate apprentice trainee","Current intern, more than 1 year","Bengaluru","Welcomes the new ideas from everyone","As I was a trainee I have worked only 1 year","","",""
"1.0","25 Sept 2024","you can learn new stuff, but high pressure and no hike","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW91332452.htm","Lead engineer","Current employee, less than 1 year","Coimbatore","you can learn new stuff","but high pressure and no hike","","",""
"2.0","12 Sept 2024","More focused was required","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90954608.htm","Marketing campaign intern","Former intern, less than 1 year","Pune","Staff is supportive, have a good work culture.","Too much of process oriented ness","","",""
"4.0","10 Sept 2024","Good But No work Life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90901877.htm","Graduate apprentice trainee (gat)","Former employee","","Good industry to kick start your career!","NO work life balance !","","",""
"4.0","12 Sept 2024","Good to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90957945.htm","Deputy manager","Current employee, more than 1 year","Nashik","Culture is good to work","Work pressure is too high","","",""
"4.0","10 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90901946.htm","Deputy manager","Former employee, more than 10 years","Nashik","","","Good salary
Canteen facility
Job Rotation possible","Promotion system needs improvement in apparaisal","Show more"
"4.0","11 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90921429.htm","Data intern","Current intern, less than 1 year","Worli","","","Free snacks
Different learning opportunities","No cons are there in the company","Show more"
"3.0","11 Sept 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90910517.htm","Senior engineer","Current employee, more than 8 years","Chennai","","","Learning and self development
Research and development","No work life balance
Office politics","Show more"
"4.0","5 Sept 2024","Deputy Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90744208.htm","Deputy manager","Former employee, more than 1 year","Chennai","","","Facility is amazing . Focus on diversity
Great work life balance","It is far from city. Commute options can improve","Show more"
"2.0","4 Sept 2024","CRASH ANALYST","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90702185.htm","Lead engineer","Current employee, more than 1 year","Chengalpattu","","","Good learning curve
Very less leaves if you join as a fresher. Office politics for promotion","Very less salary compared to competitors
High pressure","Show more"
"4.0","4 Sept 2024","Calibration Engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90698520.htm","Lead calibration engineer","Current employee, more than 3 years","Chennai","","","Good Quality of work, will work on latest technology","Work Life Balance
Need to extend during peak project time","Show more"
"4.0","6 Sept 2024","Good company to start","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90769924.htm","Jr. mechanical engineer","Current employee, less than 1 year","Pune","","","Systems and processes are good","Nothing to share right now","Show more"
"5.0","4 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90700436.htm","Operations","Current employee, more than 3 years","Pune","Culture, environment, support, knowledge, team work","Salary, timing, Bus facility, team bonding, flexibility","","",""
"4.0","30 Aug 2024","working in APO SNP GATP and IBP TS SUPPLY OPTIMIZER & HEURISTIC","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90563783.htm","Sap apo & ibp consultant","Current employee, more than 3 years","Mumbai","can explore more oppurtunities and challenges","less pay and less implementation projects","","",""
"4.0","23 Aug 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90351402.htm","Asm (area sales manager)","Current employee, more than 1 year","Chennai","The work culture in mahindra is far better than many other companies in automobile sector.","The role needs a lot of time where you don't get personal time for yourself.","","",""
"4.0","26 Aug 2024","A good culture in Mahindra","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90421172.htm","Assistant manager ehs","Former employee, more than 5 years","Pune","","","A good Culture
High level of standards in Safety
Good support from top management 
A good learning experience","Not in MIDC area, its in PMRDA","Show more"
"5.0","2 Sept 2024","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90639377.htm","Anonymous intern","Former intern","","Excellent workplace for all employees","Nothing to point as such","","",""
"4.0","16 Aug 2024","Great place for budding automotive enthusiasts","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90145779.htm","Senior engineer","Current employee, more than 1 year","Chennai","","","Being an inhouse OEM, one gets to experience variety of learnings and knowledge as an Automotive enthusiast.","Different locations of Manufacturing plants and R&D centers.","Show more"
"1.0","6 Sept 2024","Not for female","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90781455.htm","Management trainee","Current intern, more than 1 year","","","","only cons
no growth
very old manual process
no learning for new tools","no culture at workplace
0
0
0
0","Show more"
"4.0","27 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90451763.htm","Engineer","Current employee, less than 1 year","Coimbatore","","","Work life balance
Managers will understand their employees 
Good salary","Location has no public transportation 
And also not much options in food","Show more"
"2.0","31 Aug 2024","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Mahindra-and-Mahindra-RVW90597820.htm","Assistant manager","Current employee","Chākan","Best for beginners, and good environment.","Work culture is not upto the mark","","",""
