"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","1 Oct 2024","Real learning","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91509111.htm","Outreach intern","Former intern, less than 1 year","Mumbai","Great team. Really interested in your overall learning as an intern.","Scope of work may have been too less for an intern","","",""
"5.0","27 Aug 2024","Marico Ltd stands out as an exceptional employer in the FMCG sector.","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW90453818.htm","Production executive","Current employee, more than 3 years","Mumbai","","","Marico Ltd stands out as an exceptional employer in the FMCG sector. The company offers a dynamic work environment that fosters both personal and professional growth. Employees benefit from excellent learning opportunities, with a strong emphasis on development and training. Work-life balance is well-managed, allowing staff to excel in their roles while maintaining personal well-being. Additionally, Marico Ltd provides competitive salary packages and comprehensive benefits, reflecting its commitment to employee satisfaction. Overall, Marico Ltd is a top choice for anyone seeking a rewarding career in the FMCG industry.","While Marico Ltd excels in many areas, there is room for improvement in its salary structure, particularly for lower management. Competitive compensation for this tier is essential to ensure equitable rewards and maintain motivation. Addressing this issue could enhance overall employee satisfaction and retention within the company.","Show more"
"2.0","26 Aug 2024","Good culture with over cost saving approach","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW90418417.htm","Senior production officer","Current employee, more than 3 years","Jalgaon","","","1. Relaxed culture
2. Flexible work hours
3. Blame game is not played in case of problems or issues 
4. Have to work beyond your roles and responsibilities which is good for learning
5. Parties and get together beyond work
6. Salary never ever gets delayed
7. Friendly people","1. Cost saving mindset at its peak many a times best is sacrificed
2. GMP, GHP is not followed even not by senior management or junior management 
3. Giving new responsibilities is good but the person should be trained first
4. No discussion on carrier opportunities
5. Very very very very poor quality food in canteen. Leads to food poisoning","Show more"
"4.0","27 Sept 2024","It was so hard","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91416343.htm","Fresher python developers","Former intern, less than 1 year","Mumbai","If you can develop python programs for any problem statement, then they will hire you.","Expectations of company from a fresher is too much.","","",""
"5.0","25 Sept 2024","Was at my best learning curve peak while working","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91349276.htm","Research trainee","Former employee, more than 1 year","Mumbai","Gives you reason every day to go work and learn","Haven't faced any cons as such","","",""
"5.0","19 Sept 2024","good Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91152454.htm","It communications manager","Current employee, more than 3 years","Mumbai","Good Knowledge skills, good people, nice work life balance.","Pays less and doesn't make you permanent","","",""
"4.0","21 Sept 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91226135.htm","Regional supply chain executive","Current employee, more than 1 year","Coimbatore","","","Good company 
Positive work place","Work life balance is difficult","Show more"
"4.0","20 Sept 2024","Good working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91208344.htm","Territory sales officer","Former employee, more than 1 year","Salem, Tamil Nadu","","","Work culture 
Colleagues are supportive 
Communication","Work life balance
Over timing","Show more"
"5.0","18 Sept 2024","Great Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW91115766.htm","Management trainee","Current employee","Mumbai","Amazing Culture and career growth","Nothing I can think of","","",""
"4.0","11 Sept 2024","Marico","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW90919105.htm","Asm (area sales manager)","Current employee, more than 1 year","Ahmedabad","Good work life balance here","Bad rates operate in the market","","",""
"3.0","28 Aug 2024","Company Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW90502115.htm","Business applications executive - sap and manufacturing technology","Current employee, more than 1 year","Mumbai","","","1. Lots of Learning
2. Ownership","1. Work Life Balance
2. Politics","Show more"
"5.0","11 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW89985352.htm","Hr manager","Current employee, more than 5 years","Mumbai","Learning environment and work culture","None that I can highlight","","",""
"2.0","29 Jul 2024","Bad culture as everyone blames each other instead of solving problems","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW89594710.htm","Trade marketing","Former employee, more than 1 year","Mumbai","Good Learning opportunities at a manager level","Very toxic environment created by top management","","",""
"5.0","18 Jul 2024","Learning","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW89272634.htm","Ca article assistant","Former employee","","Capex Project equipped me in understanding FP&A and Business Finance role very well","No cons as such except that working hours used to stretch due to deadlines","","",""
"4.0","20 Jul 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW89335128.htm","Marketing coordinator","Current intern, more than 3 years","","Owned projects is a pro","Lack of systems is a con","","",""
"4.0","15 Jul 2024","Great experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW89146915.htm","Data analyst","Former intern, more than 1 year","Mumbai","Great team to be a part of","very team dependant, no remote working option","","",""
"3.0","9 Jul 2024","Leadership issue","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW88976629.htm","Hr manager","Current employee, more than 3 years","Mumbai","","","People oriented
Compensation
Quite inclusive","Underhanded
No WLB
Slowly becoming political","Show more"
"4.0","4 Jul 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW88841565.htm","Manager","Current employee, more than 3 years","Mumbai","","","Work Culture, Ethical, Employee Centric, Autonomy","Flexibility, Growth Opportunities, Automations, Processess","Show more"
