"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","17 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91096937.htm","Quality manager","Former employee, more than 5 years","New Delhi","Best company to work with","No Cons. Everything is good","","",""
"4.0","7 Oct 2024","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91695097.htm","Graduate engineer trainee","Current employee, less than 1 year","Gurgaon, Haryana","","","1. good work culture.
2. 1 week complete off in a period of 6 months.
3. 5 days work (except production)
4. brilliant place to learn and develop skills.
5. good food.","Everything is brilliant just only one problem i.e long working hours since it is a japanese company.","Show more"
"5.0","11 Oct 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91832977.htm","Quality supervisor","Former employee, more than 1 year","Gurgaon, Haryana","","","1)Very good
Good culture
Job security
Ethical practices
Work life balnce","Late promotion,excessive manpower,long working hours,family benefits are less","Show more"
"3.0","9 Oct 2024","Good initially but the job gets monotonous rather quickly.","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91772027.htm","Assistant manager","Former employee, more than 1 year","Gurgaon, Haryana","Social security in terms of health and job security.","experience based promotions, old ways of doing work.","","",""
"4.0","9 Oct 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91793365.htm","Intern","Current intern, less than 1 year","Gurgaon, Haryana","Good place to learn if willing to","More of a monotonous work routine","","",""
"4.0","9 Oct 2024","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91794294.htm","Intern","Former intern","Pune","Good Guidance and handson experience","Not applicable for this post","","",""
"4.0","6 Oct 2024","The reviews is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91666753.htm","Account executive","Current employee, more than 1 year","Mānesar","","","Work life balance and leaves are good","Too much micro management from managers","Show more"
"4.0","21 Sept 2024","Good place to work. Has its ups and downs.","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91222862.htm","Assistant manager","Current employee, more than 1 year","Gurgaon, Haryana","","","Well established, automobile leader. Never takes employee for granted.","Policies that were made at the start of company (around 1980s) continue to exist even today, which is not in sync with today's generation.","Show more"
"4.0","8 Oct 2024","Great experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91720772.htm","Internship","Former intern","New Delhi","it was an educational experience","none as such present as","","",""
"3.0","5 Oct 2024","Poor work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91645226.htm","Graduate engineer trainee","Current employee, less than 1 year","Gurgaon, Haryana","","","1) salary is good
2) job security","1) poor work life balance
2) high work pressure","Show more"
"5.0","30 Sept 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91502234.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Great pay Benefits Provided are very Lucrative","long working hours, Strict work culture with minimal flexibility in work Schedule","","",""
"3.0","2 Oct 2024","Great comoany","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW91560854.htm","Intern","Current intern, less than 1 year","Gurgaon, Haryana","Strong values towards achieving goals","Long working hours making less productive","","",""
