"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","12 Aug 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW90032131.htm","It manager","Former employee, more than 3 years","Bengaluru","Friendly, Professional and lots to learn","No place for improvement. A very standard work","Show more","",""
"5.0","9 Aug 2024","Better place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW89936026.htm","Manager","Current employee, more than 1 year","Bengaluru","Good work life balance
Better pay","Hierarchy 
No other cons
Difficult to adopt for change","Show more","",""
"4.0","29 Jul 2024","Decent place to start your career","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW89596252.htm","Manager","Current employee, more than 5 years","","","","","Lot of experience people who support your decision","Too much of micro management"
"5.0","25 Feb 2024","Amazing Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW84718432.htm","Ganeral manager","Current employee, more than 5 years","Bengaluru","","","","Good competitive salary, amazing learning opportunities, and good senior management.","slow decision making, media dark industry w.r.t marketing."
"2.0","12 Dec 2023","Excellent work experiance","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW82531931.htm","Finish goods executive","Current employee","","provide bus facility
taking care of employees
provide canteen facility
co-operative staff","no bonus 
no overtime for extra work
no permanents chances","Show more","",""
"4.0","9 Sept 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW79905041.htm","Manager","Current employee, more than 1 year","Bengaluru","","","","Good Company to grow up in ladder","Work life balance is affected"
"4.0","16 Jun 2023","Approachable and Friendly co-employees","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW77461786.htm","Hr intern","Former intern","","","","","Good work environment, High learning","As its a liquor manufacturing, no new job opportunities"
"5.0","15 Mar 2023","Very good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW74531507.htm","Quality control inspector (qc inspector)","Former employee","Aurangābād, Maharashtra","","","","Got to learn so many things","There are no such cons except time management"
"5.0","9 Mar 2023","Great Place to Work & Learn","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW74374333.htm","Ca industrial trainee","Current intern, less than 1 year","Bengaluru","","","","1)Good Culture 2)Some Teams are too lazy 3)Overall Peaceful","1)Too Much Work From Home"
"3.0","6 Feb 2023","Good company for a starter. Work-life balance is a struggle","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW73348776.htm","Graduate engineer trainee","Former employee, more than 1 year","Aurangābād, Maharashtra","","","","Lots to learn. Good performers are well appreciated and rewarded.","Work-life balance. Low staffing on engineering levels."
