"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"5.0","6 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90770288.htm","Operations","Former employee","Opportunities, growth, learning and skill development","promotions, promotions, promotions, promotions, promotions","","","","","","","","",""
"2.0","6 Sept 2024","Job Security","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90774082.htm","Product manager","Former employee, more than 5 years","","","Noida","Your job is secure if you are giving your best to run the process","Work life balance, despite being alternate Saturday offs, it's expected from you to work or respond on emails. Operations teams are overloaded and unsaid expectations to work on holiday as well","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","16h","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"3.0","11 Sept 2024","Strategy analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90920525.htm","Analyst","Current employee","Work life balance - okay","Less pay compared to other","Noida","","","","","","","",""
"2.0","9 Sept 2024","typical baniya company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90847646.htm","Java sse","Current employee, more than 3 years","","","Noida","salary on time.
free coffee.","micro managing
lazy management
typical no result meetings.
manager pretends to do work but they do not.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","16h","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"5.0","5 Sept 2024","Stable Ooganization with Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90734399.htm","Technical lead","Current employee, more than 5 years","","","Noida","Appraisals are good if you are performer
Learnings curve is high in most of the projects.","More perks should be there as per market scenario","Show more","","","","",""
"4.0","6 Sept 2024","Company With good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90778647.htm","Software development engineer in test (sdet)","Current employee, more than 1 year","Good Work life balance, great culture","Less number of leaves as compared to peer companies","Noida","","","","","","","",""
"5.0","5 Sept 2024","Great company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90732051.htm","Content writer","Former employee, more than 1 year","","","Noida","Great culture and growth opportunities","Few managers spoil the reputation of otherwise a good company","Show more","","","","",""
"4.0","6 Sept 2024","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90770490.htm","Senior software engineer","Current employee","work culture is bit flexible","bad management no care about your work","Noida","","","","","","","",""
"2.0","3 Sept 2024","Good to work at entry level or VP Level","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90658729.htm","Sr. manager, talent acquisition","Current employee","","","Noida","They're good pay master in certain BUs.","Need to improve a lot as culture, policies, etc.
Hierarchal differences.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","16h","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"3.0","5 Sept 2024","Average Stay","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90763628.htm","Business manager","Former employee, more than 3 years","Salary on time, ethical management.","Compensation needs to be increased","Bengaluru","","","","","","","",""
"3.0","4 Sept 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90727517.htm","Deputy manager","Current employee, more than 1 year","good to learn in a fast paced environment","no good salary hike on annual basis","Noida","","","","","","","",""
"5.0","3 Sept 2024","Nice work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90685968.htm","Business analyst intern","Former intern, less than 1 year","Info Edge has a Relaxed working environment","Not any downsides that I can think of.","Noida","","","","","","","",""
"3.0","29 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90540693.htm","Anonymous employee","Former employee","","","","Fair pay
Good projects
Good for freshers","No work life balance
No incentives
6 days working schedule","Show more","","","","",""
"5.0","28 Aug 2024","Everything is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90522760.htm","Senior sales development representative","Former employee, more than 3 years","","","Bengaluru","Work- life balance
Salary
Health benefits","I did not experience any cons while working here","Show more","","","","",""
