"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","2 Sept 2024","Transportation Hub Lead","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW90632143.htm","Regional transportation manager","Current employee, more than 8 years","New Delhi","The great company to work for which help you grow and provide diverse experiences","Slow in taking decisions which hindrances growth","","",""
"4.0","8 Oct 2024","Great Learning Experience with Hands-On Exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91718148.htm","Intern (nesternship)","Former intern, less than 1 year","New Delhi","","","The Nesternship program provides a fantastic opportunity to learn from an industry leader.
Hands-on exposure to various aspects of the business, especially in supply chain and manufacturing, depending on your department.
Supportive mentors who guide you through challenging tasks and projects.
A collaborative work culture that promotes learning and innovation.
The internship is structured to offer meaningful contributions to the company while fostering your personal and professional development.","Could benefit from more structured training sessions for new interns to understand the broader organizational workings.","Show more"
"1.0","1 Oct 2024","Take brand name advantage and leave within 18 months","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91536559.htm","Sales officer","Current employee, more than 3 years","Gurgaon, Haryana","","","Brand name good
Nothing else","Toxic work culture
No work life balance
Politics in every department 
No team engagement activities or get togethers
Too much old employees meaning old mind set and not ready to change
Too much of Indian culture of sir and mam and if you call by name then you are picked up
Incentive remain on papers and you will not earn it
Failing management and products
And thousand more i can write, in short dont join, if joined then leave between 12-18 months MAX else you will waste time","Show more"
"4.0","8 Oct 2024","Manager salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91717326.htm","Project manager","Current employee, more than 5 years","Una, Himachal Pradesh","","","Good pay perks
Everything is written as guidline for each job roles","More work pressure
No career growth","Show more"
"3.0","3 Oct 2024","Change in culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91593519.htm","Senior sales executive","Current employee, more than 10 years","Mumbai","Across exposure is given to employees","No more employee centric company","","",""
"3.0","22 Sept 2024","Area Sales Manager at Nestle India Ltd","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91233996.htm","Asm (area sales manager)","Current employee, more than 10 years","Chennai","","","System oriented 
Good compensation 
Organized working 
Employee benefits are good","Zero work life balance 
Uncertainty in job security","Show more"
"2.0","4 Sept 2024","They would teach you how to do unethical things in a ethical way","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW90729544.htm","Senior nutrition executive","Former employee, more than 10 years","Āsansol, West Bengal","","","Great Products, good Customer service,Decent employee benefits.","Constant ego clash between Sales and Nutrition team,Very bad work culture.They will shout one team one dream but their is no team.Toxic environment .","Show more"
"3.0","18 Sept 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW91112850.htm","Marketing assistant","Current intern","Gurgaon, Haryana","","","Amazing place to work, great work culture","You may find it tough at first to settle in but later a cake walk","Show more"
"2.0","10 Sept 2024","Politics","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW90866935.htm","Nutrition officer","Former employee, more than 1 year","Calcutta","","","Timely salary. Brand name. Facilities. Amenities","Politics on high end . No support from managers . No guide from management. Framing new comers. Harassing mentaly","Show more"
"3.0","10 Sept 2024","Job satisfaction","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW90885238.htm","Nutrition officer","Former employee, less than 1 year","","decent starting salary for freshers","you are going to be a medical rep. end of story.","","",""
