"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","23 Sept 2024","So good to work there","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW91254916.htm","Engineer trainee","Current employee, less than 1 year","Lara","Best allowances being a PSU","Maybe locations are not that better","","",""
"3.0","10 Oct 2024","Nothing to share","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW91823823.htm","Electrical engineer","Current contractor, more than 1 year","Solapur","Everyone knows how it is","Overloading job. No management didn't think about.","","",""
"3.0","8 Oct 2024","Kaklsospspsps","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW91727962.htm","Software engineer","Former freelancer","","","","Very nice people here at office.","Salary is not very high.","Show more"
"4.0","6 Oct 2024","Good perks! Average growth","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW91678077.htm","Assistant manager","Current employee, more than 3 years","New Delhi","Good salary and structure of the company","Bad management, poor growth and development","","",""
"5.0","20 Sept 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW91195253.htm","Deputy general manager","Current employee, more than 10 years","Hyderābād","","","Work life balance 
job security 
salary 
culture","Lack of innovation
Rigid system","Show more"
"4.0","24 Aug 2024","Ntpc review","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90388797.htm","Contract management","Current employee, more than 5 years","Raipur, Chhattisgarh","","","Best allowances and perks as compared to other PSUs. PRP is also good.","Most of thr posting locations are in remote areas","Show more"
"1.0","26 Aug 2024","its not how i thought it would be","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90413358.htm","Executive engineer","Current employee","","","","have good work life balance if you can handle shift work","very remote location, 2 days are reserved for travelling if you're going out, can't take longer leaves even if its emergency, pay is average, no social life you would be completely bored but if you are preparing for some exam then its good.","Show more"
"4.0","2 Sept 2024","Stipend band","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90640103.htm","Graduate apprentice trainee (gat)","Former contractor, more than 1 year","Kahalgaon","Work environment is very good","None, that I have encountered","","",""
"2.0","22 Aug 2024","Very bad work culture in the company","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90319125.htm","Mechanical engineer","Current contractor","","","","It is the Maharatana company in India","It is very bad work plase for contract workers","Show more"
"4.0","29 Aug 2024","Organization review","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90528664.htm","Anonymous employee","Former employee","","Comfort and JOB security is there","Defined frame work, Less growth, stagnation","","",""
"4.0","26 Aug 2024","NTPC Vidyut Vyapar Nigam limited","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90418550.htm","Finance trainee","Former employee, less than 1 year","Noida","Good people to work here","Work culture and no life balance","","",""
"5.0","23 Aug 2024","It was a good experience.","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90375260.htm","Electrical engineer","Former intern, less than 1 year","Vindhyāchal","You have various privileges at NTPC.","The work environment is a bit hectic.","","",""
"5.0","26 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90422056.htm","Machine operator","Former employee, more than 3 years","Singrauli","Good,learn alot from senior and team","No cons i found bcz i enjoyed","","",""
"4.0","18 Aug 2024","Executive Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90201495.htm","Executive engineer","Current employee, less than 1 year","Singrauli","You get enough money here and workload is less as compare to other.","Your work place is very remote area.","","",""
"3.0","19 Aug 2024","BETTER","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90222089.htm","Vocational trainee","Former intern, less than 1 year","Patna, Bihar","good to go to get certificate","less no of visits of plants","","",""
"4.0","13 Aug 2024","NTPC ET","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90069374.htm","Executive trainee","Former employee","New Delhi","Good place for power sector enthusiasts","mostly remote work locations of plants","","",""
"4.0","5 Aug 2024","Packages competitive with market standards","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89796194.htm","Assistant manager","Current employee, more than 3 years","Hazaribagh","Good balance of everything- pay, work and personal life.","It might feel at time that potential is not utilized.","","",""
"5.0","10 Aug 2024","Great place to work for.","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89963725.htm","Dgm - operations","Former employee, more than 10 years","Noida","","","Job Security 
Great salary benefits","Hierarchical system: sometimes slow approvals","Show more"
"5.0","9 Aug 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89935119.htm","Executive engineer","Current employee, less than 1 year","Singrauli","","","Work life balance
Promotion is good","Remote location
Shift job hai","Show more"
"5.0","8 Aug 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89915032.htm","Intern","Former employee, more than 1 year","Tandwā","amazing place to work at.","slow paced enviornment place and all","","",""
"4.0","7 Aug 2024","DGM Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89873491.htm","Dgm - operations","Current employee","New Delhi","Lots of new technology in power/energy field.","remote location, away from city","","",""
"5.0","31 Jul 2024","Best job","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89657986.htm","Executive assistant","Current employee, more than 1 year","Patrātu","You will get all facilities that are good to live and have good salary","Its in outer area not in city","","",""
"4.0","6 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89855352.htm","Executive engineering","Current employee, less than 1 year","Lara","Work life balance and perks","Location and salary, also different shifts","","",""
"5.0","3 Aug 2024","Excellent  company","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89752143.htm","Agm","Former employee, more than 10 years","New Delhi","Good medical benefits and nice township","Job is very demanding and is 24*7","","",""
"5.0","2 Aug 2024","Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89738865.htm","Engineering intern","Former intern, less than 1 year","Singrauli","Great Place to Work with great facilities","Hectic work culture and Time bound","","",""
"4.0","29 Jul 2024","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89592719.htm","Assistant manager/executive engineer, ntpc limited","Current contractor, more than 1 year","Jaipur, Rajasthan","","","Good salary, salary good, less work load","Growth limited, no learning, poor management","Show more"
"3.0","2 Jul 2024","Its a good organization with decent culture","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88767197.htm","Sr manager contracts & procurement","Current employee, more than 10 years","Noida","","","1) It is like a big family. At sites the culture is helpful, not so at corporate centre. 
2) Not much stress of work.","1) Transferable job, can't settle at a place.
2) Amenities at many sites are not too good.","Show more"
"1.0","22 Aug 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW90320750.htm","Executive - corporate communications","Current contractor, more than 3 years","New Delhi","Good opportunity for a fresher","Growth rate is poor for fresher","","",""
"5.0","28 Jul 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89566588.htm","Assitant manager","Current employee","Kahalgaon","Good location and information for everyone","Remote location and old townships","","",""
"5.0","18 Jul 2024","Vocational training at Combined Cycle Power Plant","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89265039.htm","Vocational trainee","Former intern, less than 1 year","","Learned about GT, ST, DM Water plant, Pre-treatment Plant and power generation processes.","Located at a scheduled location.","","",""
"5.0","25 Jul 2024","Gr8","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89490484.htm","Dy manager","Former employee","","Salary is pretty good for a PSU","Nothing in particular.. very remote locations","","",""
"5.0","24 Jul 2024","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89458739.htm","Manager","Former employee, less than 1 year","Kahalgaon","good work environment, good salary","There are no cons. snfksjkdjfs","","",""
"5.0","21 Jul 2024","Best in the business","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW89349269.htm","Executive","Current employee, more than 1 year","Noida","Noida Office is good 👍","sometimes deadlines may be theren","","",""
"4.0","9 Jul 2024","Was a quite good of an experience.","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88973902.htm","Vocational trainee","Former intern, less than 1 year","Dādri","Good place. Open spaces. High level of safety.","Not so collaborative seniors. Large area so need to walk a lot.","","",""
"5.0","5 Jul 2024","my 2 cents","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88880924.htm","Senior engineer","Current employee, less than 1 year","Noida","Gives you plenty of free time","Job location most probably in the middle of nowhere","","",""
"4.0","21 Jun 2024","One of the best PSUs","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88468348.htm","Dgm - corporate services","Current employee","Noida","Job security. Good exposure. Opportunities for learning.","Remote job locations, slow growth.","","",""
"4.0","24 Jun 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88522398.htm","Dgm it","Former employee","Noida","","","Work life balance
Good perks","Transferable job. 
Limited learning opportunities","Show more"
"5.0","13 Jun 2024","worked as Gdmo on contract basis","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW88224866.htm","Gdmo","Former contractor, less than 1 year","Patna, Bihar","good work environment and working hours","less patient inflow in opd","","",""
"5.0","1 May 2024","Just an Intern Prespective","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86848682.htm","International finance intern","Current intern","New Delhi","","","Really supportive and friendly environment, where people love their job. Lots of scope to learn new things and people here are also eager to give you the knowledge","I have still not encountered any cons or any negative but will update it if i face such situation","Show more"
"5.0","13 May 2024","Life after working at NTPC is like life at school days! You get time for everything.","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW87217087.htm","Executive engineer","Current employee","Tālcher","","","Best PSU with best township facilities","Low salary and remote location","Show more"
"5.0","27 May 2024","Handsome salary","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW87673294.htm","Vocational training","Former intern, less than 1 year","Bilāspur, Chhattisgarh","","","Great Work life balance, handsome salary","Not good for health related issues","Show more"
"4.0","18 Apr 2024","Nice Hospitality","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86454344.htm","Systems engineer intern","Former intern, less than 1 year","Lucknow","","","Job security, Stability, Entry level Pay and perks are equivalent or may be better than private sector, No extended work timings.","Monotonic job, You may be given non-tech job, engineers doing sales job or office job is more of tendering and coordinating with various people than doing any tech job.","Show more"
"3.0","21 May 2024","Civil Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW87511793.htm","Executive","Current contractor","Haridwār","Big Brand Value with Multidiscipline work area","Contract Post with sluggish work culture","","",""
"5.0","10 May 2024","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW87154704.htm","Diploma engineer trainee","Current employee","Farakka","Growth is very good in this organisation","Overwork is always on my head","","",""
"5.0","27 Apr 2024","Nice pay","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86751599.htm","Deputy manager","Current employee","","Less work load and seldom work on weekends","Night' shift and remote location","","",""
"5.0","25 Apr 2024","Good Employer","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86664758.htm","Senior manager","Current employee","","Attractive package with Job security and facilities","Remote location and family life may get affected","","",""
"5.0","17 Apr 2024","Great experience","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86428835.htm","Intern","Former intern","Dādri","Everyone is super friendly and helpful.","Location to too far out to travel","","",""
"3.0","16 Apr 2024","Company is good","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86351772.htm","Executive","Current contractor","Farakka","Welfares Benefits for the staff","Long working hour and Not giving Personal leave also","","",""
"5.0","9 Apr 2024","One of the best PSU","https://www.glassdoor.co.in/Reviews/Employee-Review-National-Thermal-Power-RVW86139863.htm","Sr. manager, operations","Current employee","New Delhi","job security as compared to industry standard.","Carrier growth is slow as compared to industry standard.","","",""
