"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","23 Sept 2024","Best company to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91250354.htm","Aee-mechanical","Current employee","New Delhi","Work environment is the best.","New ideas are not very well appreciated by the senior employees","","",""
"3.0","6 Oct 2024","Good paymaster | Incompetent middle management","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91668382.htm","Executive engineer","Former employee, more than 5 years","Agartala","","","-Good pay among PSUs
-Strong Brand","-Limited growth
-Average mid managers","Show more"
"4.0","29 Sept 2024","Perks of working at ongc","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91464622.htm","Superintending geophysicist","Current employee, more than 10 years","Vadodara","Job security, medical facility, peace of mind","Growth, skill level , annual hike","","",""
"4.0","28 Sept 2024","Excellent company","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91440349.htm","Graduate engineer trainee","Current employee","","Handsome salary with a good allowance","Field job is tough for the employees","","",""
"3.0","26 Sept 2024","Good working place","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91389133.htm","Staff geologist","Current employee, more than 5 years","Dehradun","Good exposure to diff places","Bad place if you want personal life","","",""
"4.0","26 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91397137.htm","Manager","Current employee","","Pay package is good for beginners","Work location  posting is not good","","",""
"4.0","14 Sept 2024","Internship Opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91005671.htm","Intern","Former intern","Mumbai","Modern working space for a PSU.","Don't have any cons as such as i was not part of the workforce for an extended period. Was just interning.","","",""
"5.0","17 Sept 2024","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW91079281.htm","Ciso chief information security officer","Former employee","","","","Freedom to work
defined work procedures","Govt. Company ; Bureacratic; Too many rules in tender. Affects Delivery","Show more"
"5.0","8 Sept 2024","Amazing work with Oil Industry","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW90817789.htm","Junior engineer","Current employee, more than 5 years","Mehsana","","","It’s PSU then Job security at age of 60 year 
Then many more allowances are provided by Company","One major Cons is Field work","Show more"
"4.0","1 Sept 2024","Offers best work life balance but limited opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Oil-and-Natural-Gas-RVW90612471.htm","Superintending engineer","Former employee, more than 10 years","North Tripura","","","Decent amount of work. Great work life balance. Decent pay. Great benefits.","No incentives for hard working (or smart working) individuals. Barely any value creation - most of the time is spent on fire fighting.","Show more"
