"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","10 Jul 2024","Good company with lot of work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW89019482.htm","Chief manager ii","Current employee, more than 10 years","New Delhi","Good exposure, challenging work ok salary structure, good benefits","Less manpower, middle management in disarray, lack of clarity n vision for future"
"1.0","3 Jun 2024","Toxic Work Culture and indifferent management","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW87881701.htm","Manager","Current employee, more than 5 years","New Delhi","",""
"5.0","12 Jun 2024","Great Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW88189667.htm","Deputy general manager","Current employee, more than 10 years","New Delhi","Less performance pressure, cordial atmosphere","No incentive for achievers, lot of deadwood"
"3.0","11 Mar 2024","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW85198060.htm","Project coordinator","Current contractor","Patna, Bihar","Working with various govt department","No additional benefits for contract employees"
"5.0","20 Feb 2024","Credit Appraisal","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW84577298.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Best in psu in perks and allowance","There are no cons...Timely promotion based on seniority"
"5.0","27 Oct 2023","Government set-up with a corporate culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW81341126.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Work life balance Good pay Flat Structure","Learning becomes slow gradually Slow growth for IIM grads"
"5.0","17 Oct 2023","There was my best experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW81011008.htm","Secretarial assistant","Former employee","","There was my best experience","I'm glad that I could do work with them"
"5.0","22 Aug 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW79365651.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Work Life balance Good Perks","Low Growth PSU culture Seniors are always correct"
"5.0","1 Feb 2023","Good place to work in senior positions and good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW73234319.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Good place to work in senior positions and good work life balance. Provides good exposure to Project Finance.","Primitive processes and technology - very old equipment and softwares."
"5.0","19 Feb 2023","Slow but good learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW73764347.htm","Assistant manager","Current employee","New Delhi","Learning about complete project appraisal journey","Very slow work environment and long time between promotions"
"5.0","20 Feb 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW73795103.htm","Manager","Current employee, more than 10 years","New Delhi","Lean organization providing vast Outlook","Promotions have become very slow and after long intervals"
"4.0","26 Jan 2023","Stable Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW73014628.htm","Deputy general manager","Current employee, more than 10 years","New Delhi","Good work culture and work-life balance","No fast track promotions, too much interference from government."
"5.0","19 Sept 2022","Internship at PFC","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW69196315.htm","Anonymous intern","Former intern, less than 1 year","","Helpful Peers and mentors present in the office","Lack of extra desks for interns."
"4.0","23 Sept 2022","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW69373712.htm","Anonymous intern","Former intern, less than 1 year","","Good company Good company Good company","None none none none none"
"3.0","8 Sept 2022","Neutral","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW68839016.htm","Apprentice","Current intern, more than 1 year","","Neutral experiencebetter training available.good experience","Seating arrangement issues,not proper planned"
"4.0","10 Jun 2022","Project Appraisal","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW65388553.htm","Assistant manager","Current employee","New Delhi","Work life balance & Learning opportunity","Process oriented company & Hierarchy structure"
"3.0","10 May 2022","please improve the work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW63895358.htm","Credit manager","Current employee, more than 3 years","New Delhi","",""
"4.0","7 Aug 2020","Good perks, work-life balance and job security.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW34709501.htm","Deputy manager - projects","Current employee, more than 5 years","New Delhi","",""
"5.0","19 May 2017","Best among CPSEs","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW15128217.htm","Manager","Current employee, more than 8 years","New Delhi","",""
"4.0","29 Jul 2012","energy utilities project financing","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW1785617.htm","Senior manager business development","Current employee, more than 10 years","New Delhi","",""
"2.0","30 Sept 2014","Investments at Power Finance Corporation","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW5071267.htm","Investment officer","Current employee, more than 1 year","New Delhi","",""
"4.0","27 Feb 2013","Even though its a PSU, the work environment is very corporate","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW2408147.htm","Technical analyst","Former intern, less than 1 year","New Delhi","PFC is the pioneer in the field of project finance for power sector.","The salaries and promotions are controlled as per Government rules and regulations"
"2.0","27 Mar 2018","Officer _Projects","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW19894578.htm","Officer","Former employee, more than 1 year","New Delhi","",""
"5.0","16 Aug 2020","Best PSU in India","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW34971938.htm","Consultant, technical","Current contractor, more than 3 years","New Delhi","",""
"5.0","5 Jan 2019","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW24072448.htm","Project appraisal officer","Current employee, more than 3 years","New Delhi","",""
"4.0","8 Dec 2020","Great Company to gain experience in Electricity market of India","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW39216296.htm","Mba summer intern","Former intern","New Delhi","",""
"4.0","8 Aug 2021","Entity Appraisal Team","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW50845240.htm","Project manager","Current employee, more than 8 years","New Delhi","",""
"5.0","6 May 2021","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW46553292.htm","Consultant","Current contractor, more than 5 years","Mumbai","Good team support and client exposure","Work urgency is high at times depending on project handling"
"5.0","23 Nov 2021","Great Maharatna PSU with working opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW55753846.htm","Assistant manager","Current employee, more than 1 year","New Delhi","Nice future growth perspective as such.","Tedious work and no other cons as such"
"3.0","15 Oct 2020","Not good for contractual employees, best org. for permanents.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW37175837.htm","Consultant","Former contractor","","Free Lunch, Work Life balance","Poor Politics. No respect to contractual employees"
"4.0","5 Mar 2018","Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW19528081.htm","Officer","Current employee, more than 3 years","New Delhi","Its a Government of India Undertaking. Good work life balance","no chance of accelerated growth"
"4.0","25 Jan 2021","Good company for beginners","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW41374774.htm","Summer intern","Former intern, less than 1 year","New Delhi","",""
"5.0","8 Oct 2019","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW29698029.htm","Anonymous employee","Former employee","","Good working environment. good for permanent employees","Less security for contractual staff."
"5.0","1 Aug 2019","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW28392575.htm","Anonymous employee","Current employee","","perks are among the best in PSUs","no cons in my view"
"4.0","9 Jan 2017","excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW13246030.htm","Anonymous employee","Former employee","","nice work culture and efficient management","no downside of working at pfc"
"1.0","31 Aug 2016","very bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW11746330.htm","Anonymous employee","Current employee","","",""
"4.0","25 Aug 2022","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW68325194.htm","Anonymous employee","Former employee, more than 1 year","","Secure job, great perks, good work-life balance","red tapism, restricted growth, office politics"
"5.0","26 Sept 2021","Great Learning Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW53106419.htm","Credit analyst intern","Former employee, less than 1 year","","",""
"5.0","15 Sept 2021","Good learning curve","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Finance-RVW52578893.htm","Internship","Former employee","","Support from managers in executing projects","No cons for this company"
