"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","8 Oct 2024","Transparency, clear goals, Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91753999.htm","Key account manager (kam)","Current employee, more than 1 year","Mumbai","They think as a Human being first, then as an employer","Sometimes things get delay for no reason","Show more","",""
"1.0","18 Aug 2024","Work life balance with low salary growth and very slow promotions","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90187974.htm","Finance manager","Current employee, more than 3 years","","1. Company with good work life balance.
2. Job security
3. Good brand","1. Not so employee friendly policies.
2. Culture of favouritism followed rather than actual performance.
3. Most of the leader with no real contribution or contribution which is not justifiable to the role
4. Variable payout of 60 to 70% of your variable component agreed in salary sturcture.
5. Very slow decision making and most of the people spend time on creating unnecessary documents and reports
6. Employees increment letters are delayed by 4-5 months for all functions. Seems tactics used by employee to hold employee in their role for some more time.
7. Pidilite is not a good payer. Compared to leading companies in india their payout will be 65 to 70%
8. In the world of digitisation, company far behind from leading companies and still follows traditional methods.","Show more","",""
"5.0","5 Oct 2024","Great company great culture great place to grow","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91647803.htm","Zonal sales manager","Former employee, more than 8 years","New Delhi","Good growth, good culture, great management, good learning and overall awesome place.","None whatsoever. They are doing great.","Show more","",""
"5.0","6 Oct 2024","Work Life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91663304.htm","Senior bde","Current employee, more than 3 years","Mumbai","great company to work like family. 
Lear always new","Slow growth 
Lots of parameeter","Show more","",""
"5.0","3 Oct 2024","Great place to grow your self","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91610591.htm","Qae","Current employee, more than 3 years","Surat","-You can take decisions by your self 
-Clear career path","-need to focus on the target because competition is hard","Show more","",""
"2.0","3 Oct 2024","Not good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91584734.htm","Sr. production executive","Current employee, more than 1 year","Anklesvar","It is govt type work here","No growth, very bad management","Show more","",""
"5.0","1 Oct 2024","Learning organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91520416.htm","Area sales executive","Current employee, more than 5 years","Calcutta","Friendly working culture good to work","Slow growth for professional career","Show more","",""
"4.0","28 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91439048.htm","Assistant manager","Current employee","Mumbai","","","","Good company to work for job security","High Bureaucracy in Head Office"
"3.0","21 Sept 2024","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91223757.htm","Hr coordinator","Current contractor","Mumbai","","","","Good work culture depends on team and manager","No proper career path. No clarity about future"
"4.0","18 Sept 2024","Best work culture, employee centric company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91136138.htm","Key account executive","Current employee, more than 3 years","Mumbai","","","","Learning, grooming, on time salary, work culture is very nice","Slow promotion, Salary need to be upgraded"
"5.0","31 Aug 2024","A great place to develop sales skills and grow professionally","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90591098.htm","Sales development executive","Current employee, more than 3 years","Coimbatore","1.	Supportive management and a positive work environment.
	2.	Opportunities for professional development and training.
	3.	Strong company reputation and market presence.
	4.	Good work-life balance and flexible work hours.
	5.	Collaborative team culture with motivated colleagues.","1.	Career progression can be slow in some departments.
	2.	Workload can be high during peak seasons.
	3.	Limited exposure to international markets.","Show more","",""
"4.0","18 Sept 2024","Best Place For Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91113906.htm","Sr tsi","Current employee, more than 3 years","","","","","Healthy Work Life Balance and Great Opportunities to grow","Salaries can be more attractive"
"4.0","31 Aug 2024","Good organization to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90590235.htm","Senior executive","Former employee, more than 3 years","Mahād","Best appraisal system, Job security and good place to work","Old policies, no upgrade to IT system, Designation or grades are not matching with your role , profile and salary.","Show more","",""
"5.0","14 Sept 2024","Great company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91019378.htm","Senior executive","Current employee","New Delhi","Flexible to work
Great Learning opportunities 
Diversified experience","None so far.. .. .","Show more","",""
"3.0","15 Sept 2024","Tsi","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91038994.htm","Senior tsi","Current employee","Mumbai","","","","Salary on time add benifits market acceptance","Slow growth designation while joining is different and actual work Is different"
"5.0","12 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90946804.htm","Regional market development manager","Current employee, more than 5 years","Lucknow","1.Job security 
2.Defined KRAs & R&R","1.Nothing much to do
2.Differentiation between laterals, Homegrown and MTs","Show more","",""
"5.0","14 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW91019682.htm","Asm (area sales manager)","Current employee","","","","","Culture, Work life balance, timely pay","Managing style(Personal experience), pressure in sale"
"5.0","13 Sept 2024","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90980371.htm","Scientist","Current employee, more than 1 year","Mumbai","","","","Work life balance is good, good culture friendly environment","Increment is not good sometimes"
"2.0","26 Aug 2024","Not a good organisation for technical sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90420767.htm","Key account manager (kam)","Former employee, more than 1 year","New Delhi","Good market presence in retail sector
Brand acceptance due to their adhesive market","No value addition for technical sales
HR tends to change the designation post joining 
Growth trajectory is low","Show more","",""
"5.0","30 Aug 2024","good supportive management","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90587556.htm","Sales development executive","Current employee, more than 5 years","Calcutta","","","","nice salary , company reputation on market , timely compensation received","low equipment for market, not open to listen , stagnant strategy for new brand haisha"
"4.0","2 Sept 2024","Learning organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90634654.htm","Marketing manager","Current employee, more than 3 years","Mumbai","Good learning experience 
Process oriented company","Too many processes sometimes to get approvals","Show more","",""
"1.0","23 Aug 2024","Scam","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90358020.htm","Data analyst","Current intern, less than 1 year","Mumbai","no pros only cons because people trying to fool you.","The biggest scam happens the HR calls and says you are shortlisted for the further round, then takes your telephonic interview and then says you are selected but you need to complete the course through our provided link. and then ask you to pay 15k.","Show more","",""
"4.0","23 Aug 2024","It's a organisation which give work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90350611.htm","Sales manager","Current employee, more than 8 years","New Delhi","Very good work culture overall","Heading towards too much centralisation","Show more","",""
"4.0","24 Aug 2024","Employee friendly organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90380967.htm","Rmdm","Former employee","Bengaluru","","","","Good employee friendly. Work culture is good.","None no cons as such"
"5.0","22 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90313491.htm","Assistant manager","Current employee","New Delhi","","","","Company Culture is very good and employee friendly","Normal Growth and No sudden sallary hike"
"4.0","20 Aug 2024","Handling of Contractors for One Pidilite","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90262315.htm","Key accounts sales specialist","Former employee, more than 1 year","Bengaluru","","","","Good Work Culture. Great Team Work.","No Comments as experience was fruitful."
"5.0","11 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89988311.htm","Graduate engineer trainee (get)","Current employee, less than 1 year","Mumbai","Very good company to work with.","Less growth opportunities in this mnc","Show more","",""
"5.0","29 Jul 2024","Good company, career growth, work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89579209.htm","Sales executive","Former employee, more than 3 years","Pune","","","","Work life balance, good company to work in long term aspects","Nothing much, slight slow career growth however for performer it is not apply"
"5.0","4 Aug 2024","Nice work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89784679.htm","Territory sales representative","Current employee","Chennai","Good people to support for your career growth","No major issues.
Travel is mandatory","Show more","",""
"5.0","3 Aug 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89756068.htm","Senior technical manager","Current employee, more than 10 years","New Delhi","","","","Very well organised and system oriented employee friendly company","Nothing to mention for cons..."
