"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","11 Oct 2024","Lots of opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91835994.htm","Senior manager","Current employee, more than 8 years","Coimbatore","You get to do lots of courses where the bank will sponspor","Frequent Transfers all over india is a drawback","Show more","",""
"4.0","22 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91237660.htm","Manager","Current employee, more than 3 years","Mumbai","Learning curve 
HR policies 
Merit based promotion 
Job Security","Time bound transfers
Job role rotation","Show more","",""
"4.0","22 Sept 2024","IT officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91245344.htm","Assistant manager","Current employee, less than 1 year","New Delhi","","","","Work load, most work outsourced","Entitled people, small minds large ego"
"5.0","22 Sept 2024","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91232163.htm","Internship","Former intern, less than 1 year","Bhubaneshwar","great instituion good people and nghbv","nothing much to say just balance","Show more","",""
"4.0","18 Sept 2024","Nice place","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91123302.htm","Customer service associate","Current employee, more than 3 years","Budaun","Job stability and satisfaction, easy to get leave","Lot of politics and redundant work","Show more","",""
"4.0","18 Sept 2024","Too much pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91148141.htm","Deputy manager","Former employee, more than 5 years","Amritsar","","","","Good salary, Customer dealing, financial literacy","Too much work, no work life balance"
"5.0","14 Sept 2024","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW91013013.htm","Bank teller","Current employee","Delhi Cantonment","Good environment 
Supportive people
Good salary","Over load
Late work
No bonus","Show more","",""
"5.0","6 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW90790337.htm","Senior manager","Current employee","New Delhi","","","","Ok but typical issues of psu","Stagnation un management work ans ops"
"3.0","18 Aug 2024","No reward for your good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW90192576.htm","Deputy manager","Former employee, more than 8 years","New Delhi","PSU Banks have become puppets in the hand of Government. There is no future here. They are anyway getting privatised.","Whims and fancy of your senior ( not superior) prevail over merit or logic","Show more","",""
"3.0","5 Aug 2024","There is a small line inbetween chaos and madness and thats where we bankers start and end our daily work","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW89820383.htm","Anonymous employee","Current employee, more than 10 years","","Dynamic job profile and vast area of knowledge gaining","Complicated work life balance
No proper job segrigation","Show more","",""
