"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","7 Oct 2024","PGCIL industrial internship.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW91680958.htm","Electrical engineer intern","Former intern, less than 1 year","Biswanath","The people in charge are very humble and knowledgeable.","There are no cons or shortcomings.","Show more","",""
"4.0","3 Oct 2024","Good environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW91579158.htm","Graduate apprentice trainee","Former employee","New Delhi","Good environment 
Cooperative staff members","No cons.. only pros.. very good","Show more","",""
"5.0","30 Sept 2024","good atmosphere all around","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW91490108.htm","Intern","Former intern, less than 1 year","Mānesar","","","","world class facilities, huge campus","poor connectivity with major metropolitan cities"
"2.0","14 Jul 2024","Zero work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW89140183.htm","Manager","Current employee, more than 8 years","Kurukshetra","Exceptional medical benefit. Other perks are also very good. PRP bonus is quite good.","Zero work life balance. Lobbying is essential to get desired posting. Transfers are frequent if you are not in a good lobby. Also transfer locations are terrible, unlivable. Not much bonus for such postings. HR is puppet. Life quality is tough. Spouse better be home maker else has to live long distance. After few years you will loss all social ties. 24x7 job. All requirement are urgent. Growth is not promoted.","Show more","",""
"5.0","4 Sept 2024","It’s really nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90713427.htm","Junior engineer","Current employee, more than 3 years","New Delhi","Work culture, salary ,job profile","24 hr alertness ;any time requirement","Show more","",""
"5.0","5 Sept 2024","Its is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90740525.htm","Internship","Current intern, less than 1 year","Shillong","","","","Best experience and work life balance","The food was not so good"
"4.0","18 Aug 2024","It's a good organization for electrical engineers","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90201479.htm","Engineer","Current employee, less than 1 year","Vellore","Involvement in Core work ,different technologies involved good learning possible","Remote location, one should available for calls 24/7 even in night also if fault occur you need to rectify that,it's hard to get leaves","Show more","",""
"4.0","21 Aug 2024","Job at POWERGRID","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90308291.htm","Chief manager human resources","Current employee, more than 10 years","Farīdābād, Haryana","Pay and medical is good and it is PSU","Postings are worse if you are from technical background and not posted at corporate office or regional office","Show more","",""
"5.0","30 Aug 2024","Good environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90564566.htm","Engineer intern","Former intern","New Delhi","","","","Great staff and good working environment","No incentives for freshers and graduates."
"4.0","14 Aug 2024","Working at Powergrid","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW90098860.htm","Junior engineer","Current employee, more than 5 years","Guwahati","Good pay and benefits ,good incentives","24*7 dedication required. Not very desirable at times","Show more","",""
