"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","19 Jul 2024","Manager in REC","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW89305362.htm","Manager","Current employee, more than 8 years","Gurgaon, Haryana","Professional environment. Good work life balance","To Work anywhere in India","","",""
"5.0","7 Sept 2023","Very Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW79851725.htm","Selenium automation test engineer","Current contractor","","","","This teach me the best about handling the project and leading the Quality of the project.","Nothing is like the cons here.","Show more"
"4.0","14 Sept 2023","Project Appraisal","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW80058399.htm","Officer","Current employee, less than 1 year","Gurgaon, Haryana","","","Good allowance, lease facility, pro and other allowance","Slow growth, no promotion for learning","Show more"
"5.0","31 Aug 2023","Good company and great perks","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW79654550.htm","Senior executive","Current employee, less than 1 year","Gurgaon, Haryana","Best salary in the industry","Your growth could be very limited","","",""
"2.0","13 May 2023","SITE ENGINEER ELECTRICAL","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW76393972.htm","Site engineer","Former contractor, less than 1 year","Panvel","","","Nothing is good for site engineer. No travel allowance no help nothing. But I do like the interviewer who were very genuine that's the reason I joined the company, but lower management were worse where you have to spend most of your time.","No future progress, only for who work in the Delhi office, otherwise for young people it is not good start.","Show more"
"4.0","24 Jun 2023","Low salary less workload","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW77682445.htm","Project enigneer","Former contractor, more than 3 years","Noida","You get very less workload","Salary is very less for people on contract although they work hard than regular employees","","",""
"5.0","22 Jun 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW77642540.htm","Officer","Current employee, more than 1 year","Gurgaon, Haryana","Work life balance is on point","None that I can think of","","",""
"3.0","21 Jun 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW77606511.htm","Consultant","Former contractor","New Delhi","Good benefits for regular positions","Benefits are not there for contractual post","","",""
"1.0","22 Apr 2023","2 months review","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW75740195.htm","Project associate","Current contractor, less than 1 year","Gurgaon, Haryana","They pay fresher 6lpa Less work pressure","No learning No growth Huge difference between treatment of permanent and contractual employees","","",""
"5.0","26 Jan 2023","REC is a Maharatna company under the Ministry of Power.","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW73038683.htm","Project engineer","Current contractor","Thiruvananthapuram","* Salary Package - 35000/- * Great Work atmosphere","* No growth in the position. Contract based Job","","",""
"5.0","13 Oct 2022","Amazing Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW70117147.htm","Intern","Former intern, less than 1 year","Gurgaon, Haryana","","","Easy Life Good package Wonderful peers","Limited Promotional Activities Positional difference","Show more"
"5.0","22 Sept 2022","Great Company, good perks and healthy work life balance.","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW69340620.htm","Manager","Current employee, more than 5 years","Gurgaon, Haryana","","","Great perks 
Work-life balance 
Good office space","Hierarchy driven
Not open to change","Show more"
"4.0","10 Oct 2022","Good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW69960199.htm","Deputy officer","Current employee, more than 1 year","Gurgaon, Haryana","","","Good benefits
Good work-life balance
Good team","Career Growth slow at entry level","Show more"
"1.0","22 Aug 2022","REC reviews","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW68199841.htm","Officer","Former employee, more than 3 years","Gurgaon, Haryana","","","1.Maternity leave
2.good work life balance
3.emoloyee perks","1.Employees are treated really bad
2.The work allocation is way different from your specialization
3.Poor HR operations/ Less employee friendly company
4.No peer learning
5.No key takeaways from senior management
6.Takes 3 yrs to get promotions","Show more"
"5.0","10 May 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW63948894.htm","Electrical & electronic engineering","Current employee","","This is good company in Jaipur","There is staff and working is also good","","",""
"1.0","19 Jul 2022","No comments","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW66877155.htm","Project associate","Current contractor, less than 1 year","","Flexible no pressure salary nothing else","Very bad behaviour on the part of permanent employees","","",""
"3.0","14 Mar 2022","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW61160555.htm","Senior associate - sustainability","Current contractor, more than 3 years","Gurgaon, Haryana","Good learning on large csr projects in public sector","Low pay, huge disparity in regular and contractual employees. No uniform policy.","","",""
"2.0","7 Jul 2011","Good place for the non-ambitious, does not deserve Navratna tag","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW1009649.htm","Anonymous employee","Former employee","New Delhi","","","1. Good medical benefits, child care leave benefits
2. Few opportunities for stress, mostly administrative work 
3. More than adequate number of leaves
4. Decent pay post 6th Pay Commission Revisions","1. Bureaucracy and lots of paper-work
2. No clear vision or business plan, ad hoc operations
3. Crude politics, little support for meritocracy
4. No performance driven bonuses- based on company performance mostly, encouragement to incompetence to the extent of discouraging good work because of effort required
5. No team effort, no ownership of projects especially by middle management
6. Poor infrastructure","Show more"
"4.0","23 Jul 2016","Good Pay But No Career Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Rural-Electrification-RVW11333167.htm","Assistant manager","Current employee, more than 5 years","New Delhi","","","In terms of Pay & it's financial stability is quiet good. Pay is above par. Transfer risk is quiet less.","Not good for career as a professional. Management is quiet narrow minded. They won't provide you opportunity for new learning & career growth. Weak & Immature management. HR is wrost and non co-operative.","Show more"
