"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","25 Jul 2024","Nice place for engineers","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW89508159.htm","Manager","Current employee, more than 10 years","Vadodara","Nice place for better growth and learning also.","Very well technologies used and easy to understand all things.","Show more","",""
"3.0","2 Sept 2024","Internship at reliance","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW90651673.htm","Intern","Former intern, less than 1 year","Jāmnagar","Plethora of learning opportunities at the initial stages.
Open office culture.
Work environment is not toxic.
Getting to learn about and operate one of best technologies worldwide in the field of oil and gas.","Too much physical and mental exertion.
No implementation of chemical engineering once you take charge as SFE, only visiting field and supervising job.
Useless HR team, just kept for giving excuses.
Salary not adequate at all as per the job.
Politics in acceptance of promotions by your managers.
Very low chance if promotions(salary hike).
Saturation after one or two years.
No work life balance.
Very less salary incremental/ personal growth rate.
And last but definitely not the least!, the sweets box if Anant and Radhika wedding was not given to the summer interns (except for the mumbai ones). Like they couldn’t even give a mithai dabba to the interns!? I highly condemn this shabby behaviour if theirs.","Show more","",""
"5.0","12 Oct 2024","Best Places to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91862402.htm","R&d manager","Current employee, more than 1 year","Jāmnagar","","","","You are given time to learn new stuff and work at your pace.","HR policies especially at their manufacturing locations need to be a bit more polished."
"5.0","11 Oct 2024","Great work","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91851276.htm","Food server","Current contractor, more than 1 year","Jāmnagar","","","","Timely payment , standard working procesure.","None none none none none"
"4.0","12 Oct 2024","Okat","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91862702.htm","Procurement manager","Former employee","Navi Mumbai","","","","The work life balance was good","Growth opportunities are too less"
"1.0","6 Oct 2024","Electrical manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91674747.htm","Electrical manager","Current employee, more than 3 years","Jāmnagar","Not found any pros in organisation 
Only township is good if you get it","Less salary then GIDC,
 65% Experience employees in Reliance Jamnagar salary are less then newly recruited GET
They offer fake offer Letter after joining they changed position and jobrole
HR people have zero empathy they are puppet of G-H cadre Managers","Show more","",""
"3.0","7 Oct 2024","Good company for beginning and Ending of the career","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91715612.htm","Mechanical maintenance engineer","Current employee, more than 1 year","Bharūch","","","","More scope of work. We get to learn more. Various types of equipment. Largest equipment.","Work life balance. Remote location"
"3.0","10 Oct 2024","operations","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91798884.htm","Technologist","Former employee","Jāmnagar","","","","good exposure, learning , challenges etc","work culture, timings etc c cc"
"4.0","6 Oct 2024","Fire manager at reliance","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91662942.htm","Shift fire manager","Current employee, more than 1 year","Mumbai","","","","Best in industry to learn everything in detail to the deepest level.","Leave allowances are low compared to other companies"
"3.0","6 Oct 2024","Old school work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91677956.htm","Dgm - operations","Former employee, more than 3 years","Mumbai","","","","Salary and payments on time","Old school work culture with no scope of improvement"
"5.0","7 Oct 2024","Khgupiopkln","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91683340.htm","Web developer","Current employee","Navi Mumbai","","","","Good office and environment. Nice","Less increment, hectic to reach office, traffic"
"4.0","4 Oct 2024","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91641024.htm","Summer intern","Former intern, less than 1 year","Navi Mumbai","","","","Great Place to Work and Well Paid","Work load and management is very busy"
"3.0","3 Oct 2024","Opportunity to learn in core industry","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91592866.htm","Graduate engineer trainee","Current employee","Jāmnagar","","","","Vast pool of learning available","Not found anything till now."
"4.0","4 Oct 2024","All good","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91620066.htm","Department manager","Current employee, more than 3 years","New Delhi","","","","Salary on time and other perks also","Work family management is poor"
"4.0","2 Oct 2024","Nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91561726.htm","Internal audit team member","Former employee, less than 1 year","Vadodara","","","","Quality work will be assigned.","Plant location may not be suitable for someone."
"4.0","30 Sept 2024","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91489456.htm","Shift supervisor","Current employee, more than 3 years","Vadodara","Learning and growth opportunity in day to day activities","Shift job, less annual increment","Show more","",""
"3.0","1 Oct 2024","Supervision of insulation works","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91507920.htm","Junior engineer","Current employee, more than 1 year","Dehajan Habi","","","","good support from collegues in tight deadlines","shut down work will be very challenging."
"4.0","29 Sept 2024","Job review","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91457328.htm","Maintenance engineer","Current employee, more than 1 year","Jāmnagar","","","","Good work environment, Colleague are very supportive. New technology for learning","Work life balance is not proper."
"4.0","29 Sept 2024","Vvbnjjgvv","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91457218.htm","Anonymous employee","Current employee, less than 1 year","","","","","Growth is awesome as a employee and you learn new things","Good for graduate students gfhhn gghb"
"4.0","1 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91506295.htm","Store manager","Former employee, more than 3 years","Ahmedabad","","","","No dislike everything is good","Timely salary get credited and no pressure"
"3.0","1 Oct 2024","GET salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91513036.htm","Graduate engineer trainee","Current employee","Jāmnagar","","","","Nice environment and good life","hectic work life balance and bad experiences"
"5.0","13 Sept 2024","Great work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91004380.htm","Software development intern","Current intern, less than 1 year","Jāmnagar","I had the opportunity to intern as a Software Development Intern at Reliance Industries Limited, and it was a rewarding experience. The team is collaborative, and there’s a focus on mentoring, which helped me gain hands-on experience and improve my technical skills.","My overall experience was great and have nothing to complain about.","Show more","",""
"3.0","28 Sept 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91437562.htm","Senior manager","Current employee, more than 10 years","Navi Mumbai","","","","Job satisfaction, practical exposure, technical documentations, manuals","Manager does not give broader picture of goals for accomplishing targets"
"5.0","24 Sept 2024","Internship Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91305450.htm","Internship","Current intern, less than 1 year","Navi Mumbai","1. Great Infrastructure
2. Best Place to work
3. 5 working days a week","1. Heavy traffic congestion due to its location.
2. Long commute times.","Show more","",""
"3.0","27 Sept 2024","Reliance management Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91413055.htm","Management trainee","Current employee","Jāmnagar","","","","Work management is good .","Location is not very good and pay are not too much."
"3.0","20 Sept 2024","Salary Structure for Reliability (Inspection) Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91186148.htm","Reliability engineer","Current employee, more than 1 year","Mumbai","Good for Freshers & less than 5yrs exp. engineers
Lot to learn & field work
In-site experience with various NDT techniques & Shutdowns","Poor Management System
Poor Manager-Employee Relationship
Remote Location","Show more","",""
"4.0","24 Sept 2024","Good company . Good work culture .","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91307273.htm","Sr. executive, administration","Current employee, more than 3 years","Jāmnagar","Excellent township .
Many fun activities to do","Very far from Ahmedabad .","Show more","",""
"4.0","23 Sept 2024","It's good","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91256925.htm","Graduate engineer trainee (get)","Current employee, less than 1 year","Jāmnagar","","","","Work is good and there's lot to learn if your are a chemical engineer","Not properly compensated as per the industry standards"
"4.0","22 Sept 2024","Supportive Seniors and Work Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91234754.htm","Graduate engineer trainee","Former intern","Jāmnagar","","","","Culture is good in terms of Work life balance","Pay can be revised to match market standards"
"4.0","24 Sept 2024","Good to start","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91292005.htm","Sr manager quality","Current employee, more than 3 years","Navi Mumbai","Good to start your career","Nothing as such on the name of con","Show more","",""
"3.0","25 Sept 2024","Good Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91335556.htm","Anonymous employee","Current employee","","","","","Reach is good and brand is also good","work hours are more sometimes"
"3.0","23 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91269092.htm","Manager","Former employee, more than 3 years","Navi Mumbai","","","","good infra, good work, growth opportunities, learning opportunities","bad managers in some cases"
"4.0","23 Sept 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91279170.htm","Procurement specialist","Current employee","","","","","Job security, ontime salary, Learning opportunity","Growth, Silo culture, Cross functional learning"
"5.0","14 Sept 2024","Fast forward","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91015746.htm","Vice president","Current employee, more than 10 years","Chennai","Relationship building and long term association.","Only the top layers remuneration is extraordinary and all balance layers remuneration increase slowly.","Show more","",""
"3.0","23 Sept 2024","Glod","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91268620.htm","Graduate engineering trainee get","Current employee","Jāmnagar","","","","Good experience and great people","Duration of work and travel"
"3.0","20 Sept 2024","Good place to work!","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW91196982.htm","Sde-2 frontend developer","Current employee, more than 1 year","Chennai","Work life balance
Advanced Technival stack","Employee engagement and good pay structure need to be considered","Show more","",""
"3.0","10 Sept 2024","Good for getting to know a big company from the inside","https://www.glassdoor.co.in/Reviews/Employee-Review-Reliance-Industries-RVW90898090.htm","Manager","Current employee, more than 3 years","Mumbai","Lots to learn at an entry level stage","Growth is slow, it takes many years to go up even one grade level","Show more","",""
