"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","30 Aug 2024","SBI","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW90562832.htm","Chief manager i","Current employee, more than 10 years","Chennai","prestige, opportunities, growth, decent pay, pension","no work life balance , nepotism","","",""
"4.0","22 Sept 2024","It's a good job to start","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91229624.htm","Junior associate","Current employee, less than 1 year","Chamba, Himachal Pradesh","","","Salary
No calls after you are done with your work
Targets depend on your branch head and if you won't do nothing will happen, I'll suggest you to do nothing","I mean, 9:45 to 4:45 officially , but 5:30ish around only you work will finish, I mean no one tells you to stay, just complete your work timely","Show more"
"2.0","16 Sept 2024","POLICIES ARE MEANINGLESS UNTIL THEY ARE IMPLEMENTED IN LETTER AND SPIRIT","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91067327.htm","Assistant manager","Current employee, more than 3 years","Hyderābād","","","Exposure to various fields in finance industry","No work life balance.
Toxic work culture.
Unprofessional Management in Middle Management Level
Understaffed and Over burdened.","Show more"
"3.0","11 Sept 2024","A Stable Workplace with Room for Improvement","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW90922751.htm","Deputy manager","Current employee, more than 5 years","Trichy","","","1. Job Security: Employees at State Bank of India (SBI) benefit from a high level of job security. The risk of termination is minimal, provided that employees adhere to ethical standards and avoid fraudulent activities. This stability allows employees to focus on their roles without the constant fear of job loss, fostering a sense of loyalty and commitment to the organization.

2. Well-Paid: Compensation at SBI is competitive, often exceeding what employees might earn in similar roles at other institutions. This financial security is particularly appealing, as it allows employees to maintain a comfortable lifestyle. However, there is a perception that the pay is disproportionate to the skills developed, leading to a sense of obligation to give more time in return for the generous compensation.

3. Clear Systems and Procedures: SBI has established well-defined systems and procedures that guide employees in their daily tasks. This structure ensures that no one can act arbitrarily, providing a level of protection for employees against undue pressure from superiors. Employees can feel confident that their decisions are backed by established protocols, which enhances job satisfaction.

4. Supportive Colleagues: The work environment at SBI is characterized by camaraderie and support among colleagues. This collaborative atmosphere contributes positively to employee morale and fosters teamwork, making the workplace more enjoyable and productive.","1. Excessive Manual Work: Employees often find themselves bogged down by a significant amount of manual and unnecessary paperwork. This not only leads to a monotonous work experience but also detracts from the time and energy that could be spent on more meaningful tasks. The repetitive nature of this work can lead to frustration and a sense of futility.

2. Data Collection Burden: Daily reporting requirements regarding loans processed and disbursed/deposits mobilized can become overwhelming. The time spent on collecting and compiling this data often feels like a full-time job in itself, detracting from the core responsibilities of employees. This focus on data collection can lead to burnout and a lack of engagement with more impactful work.

3. Stupid WhatsApp Groups: The proliferation of WhatsApp groups for sharing daily data adds to the noise in the workplace. While communication is essential, the sheer volume of messages can feel excessive and unnecessary, leading to information overload and distraction from actual work.

4. Login Days Pressure: The introduction of 'Login Days'—specific days designated for branches to generate business—creates undue pressure on employees. This practice often results in frontline workers engaging in rampant misselling, such as bundling unnecessary insurance products with loans. For instance, if a central government employee applies for a personal loan, they may be sold health insurance that they already receive through their employer. This practice not only undermines customer trust but also makes employees feel that their work lacks purpose.

5. Work-Life Balance Issues: Many officers find themselves working late hours, leading to a poor work-life balance. The expectation to stay late can create stress and dissatisfaction, as employees struggle to manage their personal lives alongside demanding work schedules.

6. Risk Aversion: A culture of excessive caution permeates the organization, leading to reluctance in decision-making, especially regarding loan proposals that may carry some risk. This risk-averse mentality can stifle innovation and prevent employees from taking necessary actions that could benefit the bank and its customers.

7. Frequent Transfers: While SBI has clear policies regarding employee transfers, these are sometimes used as a tool to punish those who do not conform to the wishes of higher-ups. This practice creates an atmosphere of fear and uncertainty, as employees may feel that their job security is contingent upon their compliance with management directives. The frequent transfers disrupt employees' personal lives, making it challenging for them to settle down and establish a stable home life. This constant change can lead to dissatisfaction and a feeling of instability within the workforce.","Show more"
"5.0","24 Sept 2024","Best financial organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91292295.htm","Asst. general manager","Former employee, more than 10 years","Cochin","Learning experience is great. Exposure to multiple banking fields superb","Work life balance to improve","","",""
"5.0","22 Sept 2024","Best Public sector Bank","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91232274.htm","Asstt general manager","Former employee, more than 8 years","Jalandhar, Punjab","The pay structure is decent","None I can think of","","",""
"2.0","18 Sept 2024","Not advisable career for city-folk","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91114863.htm","Manager","Current employee, more than 10 years","Jaipur, Rajasthan","","","Status projected to the masses.
Cheap Staff Loans.
Easy visibility.","Toxic work culture.
Poor work-life balance.
Dumbs you down, potential wasted.","Show more"
"4.0","17 Sept 2024","Growth in India's biggest public sector bank requires patience","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91079334.htm","Probationary officer","Former employee, less than 1 year","Mumbai","Multi department rotation- a crash course of 18 months on every segment of banking","The training module can be more modern","","",""
"1.0","20 Sept 2024","Highly unethical and unprofessional atmosphere","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91195641.htm","Service manager","Current employee, more than 3 years","Bhābhar","","","Salary | Lease Accomodation | Medical Facility | LTA","Poor HR | Egoist colleagues | Work-Life Balance | Dedicated department to punish employees | No department for support | Lobby culture","Show more"
"5.0","17 Sept 2024","Good Pay","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-RVW91107144.htm","Senior manager","Former employee, more than 1 year","Mumbai","Too much of work load . Foreign LTC is also available for Officers pay grade.","Too much work load and increasing day by day","","",""
