"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","12 Oct 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW91859114.htm","Project manager","Current employee, more than 1 year","Gurgaon, Haryana","Good work environment and good pay","Hectic and time consuming big responsibility","Show more"
"1.0","8 Oct 2024","Worst Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW91741501.htm","Branch relationship executive","Former employee, less than 1 year","Patna, Bihar","There is nothing in sbi cards which is cosidered good","There is no work culture. managers abuse their employee daily. low salary and you have to use own money for many of the official work. worst company to work. it just gives you trauma for life","Show more"
"5.0","8 Oct 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW91754926.htm","Former assistant manager","Former employee, more than 8 years","Gurgaon, Haryana","","",""
"3.0","26 Sept 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW91385757.htm","Asst. mgr.","Current employee, more than 8 years","Gurgaon, Haryana","Job security
Less work pressure","Office politics
Low salary as per market","Show more"
"5.0","15 Sept 2024","Nice company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW91037846.htm","Customer service executive","Current employee, more than 1 year","Gurgaon, Haryana","Work life balance
 Good salary","I didn't find any cons","Show more"
"4.0","11 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW90924832.htm","Management analyst","Current temporary employee","Chandigarh","work life balance
good people","low salary
not every saturday is a off","Show more"
"1.0","30 May 2024","Work culture of SBICard - Assam","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW87775624.htm","Relationship manager","Former employee, less than 1 year","","Don't join this company 
Unit Manager
Branch Relationship Manager
Branch Relationship Executive
all three above mentioned designation are offrole you will never get promoted or salary hire in future.
Third party company like Teamlease , Innovsource, Randstad, Calibhr will provide you salary and trust me you will not get your salary in time. 
They will keep change your branch and reimbursement will not be provided for traveling and courier charges of physical files to be send to Guwahati.
If you put resignation they will not provide you relieving letter and force to work if you refuse they will mark you absconding.
asm like ankur mishra will try to mislead you talking about high incentives only. But he don't have proper knowledge of customer service. Most customer of sbicard are not satisfied with sbicard services.
Also this asm ankur mishra will mark you absent and keep threating of terminating the employee if sales figure is little low.
If will be called every week to Guwahati for review meeting.","i lost my current job due to sbicard, they will provide negative feedback to hr if you join other company.
Beware of joining sbicard.","Show more"
"3.0","4 Sept 2024","It's a learning","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW90710540.htm","Area head sales","Current employee","","Big team size , 
Leadership 
Team management","Frequent IT related issue in business","Show more"
"2.0","3 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW90687569.htm","Sales manager","Former employee, more than 3 years","Calcutta","Good salary
Incentive 
Training 
Location 
Good","Deduction suddenly...
Behaviour 
Culture 
Dislike","Show more"
"1.0","12 Sept 2024","Dont joined","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW90944391.htm","Team leader","Current employee","Chennai","","",""
"4.0","29 Aug 2024","It was good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW90538869.htm","Reltionship manager","Current employee","Jaipur, Rajasthan","","",""
