"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","10 Sept 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90886272.htm","Agency manager","Current employee, more than 1 year","Thāpan","For security & training purpose","Nothing as such everything is fine","Show more","",""
"1.0","24 Sept 2024","Not a employee friendly company...they don't have healthyoptions to earn money","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW91290538.htm","Business development manager","Current employee, more than 3 years","Meerut","Don't have a single of recommendation","This is not the perfect place for bdm's","Show more","",""
"3.0","7 Sept 2024","Not so good, not so bad. Good compensation and growth.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90795256.htm","Senior associate","Former employee, more than 5 years","Jaipur, Rajasthan","If your boss is good and you are getting guidance properly then you will rise and shine. Sales and back office job both are good and you get good incentives in sales.","HR is puppet, and you could also get multiple locations transfer if you are not in good terms with your senior management. Politics is there in high level.","Show more","",""
"4.0","6 Sept 2024","Sbi life is okay","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90793312.htm","Insurance agent","Former employee, more than 1 year","Amritsar","The salary and commissions made","Alot of pressure for sales ,agent recruitment and unachievable targets.","Show more","",""
"4.0","6 Sept 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90771888.htm","Senior bdm","Current employee, more than 1 year","Bengaluru","","","","Company culture is too good","Banca channel have Heavy Pressure don't have time to run here and there"
"5.0","6 Sept 2024","Pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90775185.htm","Manager, sales development","Former employee, more than 1 year","Cochin","Employ friendly
Brand
Well known","High pressure 
Work life balance
Support 
Growth","Show more","",""
"4.0","3 Sept 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90671652.htm","Avp-sales","Current employee, more than 10 years","Mumbai","","","","Work life Balance is good","Compensation is not that good"
"2.0","20 Aug 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90274468.htm","Area manager","Current employee, more than 8 years","Haryāna","In sbi life work life balance is good but career growth is very slow","As per the role salary are very low even executive are earning more salary than area manager","Show more","",""
"4.0","29 Aug 2024","Good working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90542532.htm","Sales support","Current employee, more than 8 years","Ahmedabad","","","","Job security , good value in market","No Work life balance, you will find yourself in office all the time"
"5.0","31 Aug 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90596621.htm","Assistant manager","Current employee, more than 8 years","Mumbai","","","","benefits received received apart from ctc","systems and process very slow."
"5.0","27 Aug 2024","Great company with bright future/ potential","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90467294.htm","Prefer not to state","Current employee, more than 8 years","Mumbai","","","","Great work culture and friendly environment","Not encountered any major problem"
"1.0","29 Aug 2024","Only for career start ,not to build","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90535759.htm","Business development manager","Former employee, less than 1 year","Mysore","Salary in Time
No pros to update much apart from salary","Huge work pressure
Huge Target less salary
Incentive is a Dream 
No power for Human resources team

Work role is different,working is different","Show more","",""
"4.0","20 Aug 2024","All good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW90263288.htm","Senior business development manager","Current employee, less than 1 year","Vāranāsi","","","","Good job role and culture","Travelling vs target is not good"
"4.0","7 Aug 2024","Company Is good but job is hectic","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89894930.htm","Graduate sales trainee","Former employee, less than 1 year","Shāhjahānpur, Uttar Pradesh","on time salary, PF deduction, health insurance, life insurance","Too much pressure of sales","Show more","",""
"3.0","6 Aug 2024","Not good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89852392.htm","Senior bde","Current employee, more than 5 years","Jodhpur, Rajasthan","Company brand all person know sbi life","Higher management not good and employee expense dedcated","Show more","",""
"4.0","9 Aug 2024","work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89939623.htm","Life mitra","Former employee, less than 1 year","Shimla, Himachal Pradesh","","","","good, communication, lead generation, calls,meetings","leads, sales, hybrid , customer interaction,promotion"
"5.0","27 Jul 2024","I need to work in the reputated company.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89553491.htm","Policy adviser","Current employee, more than 3 years","Coimbatore","I can earn more money in this field.","I don't think any disadvantage in this company.","Show more","",""
"5.0","31 Jul 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89653261.htm","Assisstant manager","Former employee","Navi Mumbai","Great place to work, grow and learn","Less salary as compared to other","Show more","",""
"1.0","30 Jul 2024","worst Life insurance sector to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89616138.htm","Business development manager","Current employee, more than 1 year","Kokrajhar","nothing best to work in this organsation avoid","worst organisation to work just taking the name of sbi brand name and working","Show more","",""
"5.0","29 Jul 2024","SBI CAP SECURITIES","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89579057.htm","Senior business development executive","Current employee, more than 1 year","Andheri East","","","","Company is very good and healthy","Management issue facing with leadership leadership is nagative in Mumbai metro"
"5.0","6 Aug 2024","Wonderful work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89823398.htm","Sales manager","Former employee","Calcutta","Good
Positive
Excellent
Nice
Innovative","Low
Inadequate
Improper
Poor
Average","Show more","",""
"5.0","16 Jul 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89194843.htm","Senior associate","Current employee","","","","","Friendly environment to work in","No Cons in this company"
"3.0","18 Jul 2024","Okayish","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Life-Insurance-RVW89280018.htm","Data scientist","Former employee","Navi Mumbai","","","","Work life balance is there","No growth opportunity very slow"
