"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","20 Sept 2024","GOOD COMPANY","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW91191413.htm","Graduate engineering trainee get","Current employee, less than 1 year","Purulia","Very Good Company for freshers","no cons according to me","","",""
"4.0","22 Sept 2024","Shree","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW91229923.htm","Manager","Former employee, more than 8 years","Dehradun","","","Salary 
Culture
Appraisals 
Logistics 
Demand","Toxic work culture
God father policy
Harassment 
No personal life
Tension","Show more"
"5.0","5 Sept 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW90743990.htm","Data scientist","Current employee","Calcutta","best company to work at for long time","no tea actually to serve for students","","",""
"4.0","30 Aug 2024","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW90589480.htm","Assistant manager","Current employee, more than 1 year","Gurgaon, Haryana","Top 3 Cement Company in India","management Keeps on changing direction","","",""
"3.0","26 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW90417033.htm","Tech officer","Current contractor, less than 1 year","Ambāla","Good salary and career development","Bad managers and senior staff","","",""
"5.0","20 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW90246466.htm","Senior officer","Current employee, more than 1 year","Pānīpat","Good structure and systematic process","Not much cons just little slow growth","","",""
"3.0","29 Jul 2024","MIS Executive Job profile","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW89609299.htm","Mis executive","Former employee, more than 3 years","Baloda Bāzār","","","1. Good for freshers to kick start there career
2.Provide accommodation like residential, Food, Bus service, Mobile sim.","1. Very low salary incrementals.
2. Heavy Work Pressure.","Show more"
"5.0","14 Jul 2024","I want job urgently","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW89140838.htm","Project manager","Former employee, more than 3 years","Raipur, Chhattisgarh","","","Great place to work in shree cement project","Last 11 years working as a DGM civil","Show more"
"4.0","18 Jul 2024","G","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW89281374.htm","Data analyst","Current intern, less than 1 year","Gurgaon, Haryana","Located at convenient place in Gurgaon near metro","Work load is good and","","",""
"4.0","8 Jul 2024","Good co with job security","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW88950704.htm","Account officer","Current employee, more than 1 year","Calcutta","","","Job security, work life balance,","Growth low, pramotion policy not upto the mark,","Show more"
