"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","24 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91288170.htm","Sr. software engineer","Current employee, more than 3 years","Pune","Takes care of the employee wellbeing and work life balance","Compensation is as per industry standards nothing extra","Show more","",""
"4.0","24 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91294726.htm","Software devloper","Current employee, more than 5 years","Bengaluru","The company values employee well-being and offers flexible work schedules, including options for remote work. Siemens operates on a global scale, offering employees the chance to work with international teams and on projects that have a global impact.","Due to the current focus on cost management, unable to pursue a certification , as support for additional professional development opportunities is currently limited.","Show more","",""
"5.0","20 Sept 2024","Incredible corporate experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91210163.htm","Internship","Former intern, less than 1 year","Bengaluru","No toxic leadership environment, great work-life balance, genuinely amazing food and even the office is so cool. Even though i was just an intern for 2 months everyone treated me so well and professionally. Even my manager's manager was so nice to me, never treated me like im just some dumb kid. overall amazing experience, would work here for a long long time if i could.","dining hall is a little small, so it might fill up, will have to wait a little bit. 
not even a proper con, but its there.","Show more","",""
"4.0","24 Sept 2024","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91308810.htm","Software engineer advanced","Former employee, more than 8 years","Chennai","Happy environment in terms of work life balance and pay","Teams contributing to products that are not performing in the market or not mature yet maybe under risk","Show more","",""
"5.0","2 Sept 2024","""Siemens: A Global Leader in Innovation and Sustainability""","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW90626011.htm","Project manager","Current employee, more than 8 years","Gurgaon, Haryana","Siemens is a global powerhouse in the fields of electrification, automation, and digitalization, renowned for its commitment to innovation and sustainability. With a legacy spanning over 170 years, the company has continually adapted to the evolving needs of industries, making it a leader in various sectors, including energy, healthcare, infrastructure, and manufacturing.

Strengths:

Innovation and Technology: Siemens is at the forefront of technological advancements, particularly in automation and digitalization. The company’s investments in research and development are evident in its cutting-edge products and solutions that drive efficiency and productivity across industries. Their MindSphere platform, an industrial IoT system, is a testament to their leadership in the digital space.

Sustainability Commitment: Siemens has a strong focus on sustainability, integrating environmental considerations into its business strategy. The company’s initiatives, such as achieving carbon neutrality by 2030, highlight its dedication to reducing its environmental impact and promoting a greener future.

Global Presence: With operations in more than 200 countries, Siemens has a vast global reach. This extensive network allows the company to serve a diverse range of customers and adapt to different market needs effectively. Their ability to localize solutions while maintaining a global standard is impressive.

Workplace Culture: Siemens is known for its employee-friendly culture, emphasizing work-life balance, continuous learning, and development opportunities. The company fosters a collaborative and inclusive environment where innovation thrives. Employees are encouraged to explore new ideas and take ownership of their projects.

Customer-Centric Approach: Siemens places a strong emphasis on understanding and addressing customer needs. Their tailored solutions, coupled with exceptional customer service, have earned them a loyal customer base. The company’s ability to provide comprehensive, end-to-end solutions sets it apart from competitors.

Areas for Improvement:

Complexity of Operations: Given its size and scope, Siemens can sometimes be perceived as bureaucratic, which might slow down decision-making processes. Streamlining internal procedures could enhance agility and responsiveness.

Market Perception: While Siemens is highly regarded in B2B sectors, its brand presence among the general public could be stronger. Increasing visibility and engagement in consumer-facing channels might enhance its overall market perception.

Conclusion: Siemens is a powerhouse of innovation, with a deep commitment to sustainability and a strong customer focus. Its global presence and leadership in digitalization make it a trusted partner across industries. Despite the challenges of managing a large, complex organization, Siemens continues to set the standard for excellence in technology and business practices. Whether you are an industry professional or a stakeholder, Siemens offers reliable, forward-thinking solutions that contribute to long-term success.","Downsides of Working with Siemens
Complex Organizational Structure: Siemens is a massive, multinational corporation with a complex hierarchy and numerous divisions. This can sometimes lead to slower decision-making processes, as approvals and communications may need to go through multiple layers of management. Navigating this structure can be challenging, particularly for new employees or those in cross-functional roles.

Bureaucracy: Due to its size and global presence, Siemens can have bureaucratic processes that might slow down innovation and adaptability. Employees may find themselves bogged down by extensive paperwork, procedural requirements, and rigid protocols, which can hinder agility and quick responses to market changes.

Work-Life Balance Variability: While Siemens generally promotes a good work-life balance, this can vary depending on the department, role, or geographic location. In certain high-demand areas or during project crunch times, employees may experience longer hours or increased stress, which can impact overall job satisfaction.

Internal Competition: With a large and diverse workforce, internal competition for promotions, recognition, and resources can be intense. Employees may find it challenging to stand out or advance quickly within the company, especially in highly competitive or saturated departments.

Resistance to Change: As a long-established company, Siemens sometimes faces challenges in embracing change or adopting new ways of working. There can be a strong adherence to traditional methods, which may not always align with the rapidly evolving business environment, leading to frustration for those who prefer a more dynamic and flexible approach.

Geographical Mobility Requirements: Siemens may require geographical mobility for certain roles, especially in management or project-based positions. This might mean frequent travel or even relocation, which could be a downside for employees who prefer stability or have strong ties to a particular location.","Show more","",""
"4.0","24 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91308691.htm","Software developer","Current employee","Bengaluru","","","","Sienors are helpful for overall development","Internal politics just like other companies"
"4.0","5 Sept 2024","Software development Role","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW90734232.htm","Software developer","Current employee, more than 1 year","Pune","- Good work
- Good work life balance
- room for your suggestion when it comes to implement features.
- Managers are nice with respect to maternity leaves and child care women employees.","HRs over negotiate on salary, which leads to frustration during joining despite having budget.","Show more","",""
"4.0","22 Sept 2024","A good employee centric company","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91229821.htm","Solution design engineer","Current employee, more than 3 years","Bengaluru","","","","Employee centric and process oriented. Talent is valued.","No yearly bonus is provided"
"4.0","21 Sept 2024","Internship experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW91214086.htm","Intern - technical","Current intern, less than 1 year","Noida","Good working environment 
colleagues are really helpful
I worked on the real project in testing team","didnt find any cons as such","Show more","",""
"4.0","29 Aug 2024","Good work, Work life balance, Less compensation","https://www.glassdoor.co.in/Reviews/Employee-Review-Siemens-RVW90560640.htm","Senior software engineer","Former employee, more than 5 years","Pune","Company has good work, and focuses lot on quality of code. Work life balance is the USP of the company. You will never be asked to work long hours or work on weekends. 
There can be occasional Trips to Europe.","Major drawback is the compensation, they don't provide good compensation being a product firm, they provide salaries even less than service firms for some cases.","Show more","",""
