"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","18 Sept 2024","Data Analytics","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW91116946.htm","It apprentice","Current employee, less than 1 year","Indore","Here I have got chance to analyzing production data to identify trends and analysis on them.","It is a manufacturing plant that can be challenging for some person.","","",""
"4.0","15 Sept 2024","Best salary","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW91027901.htm","Manager finance","Former employee, more than 3 years","Chennai","People friendly work environment to work","Increment is not as a percentage, it's fixed amount","","",""
"5.0","11 Sept 2024","Best to gain knowledge","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW90903608.htm","Senior executive","Current employee, more than 5 years","Dahej","SRF gives equal opportunities to everyone","Workload is on big size","","",""
"5.0","29 Aug 2024","Purchase manager","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW90539359.htm","Senior manager","Former employee, more than 5 years","Gurgaon, Haryana","Good work culture, good growth. Healthy work environment","All things are good, I don't see any cons","","",""
"4.0","7 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW89861476.htm","Officer","Current employee, more than 1 year","Gujrāt","","","Good best best best in industry","Management issue is there they reform policies as per their conviction","Show more"
"4.0","11 Aug 2024","good for learning","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW89996798.htm","Instrumentation engineer","Current employee, more than 1 year","Dahej","best working culture for freshers.","you can try and find.","","",""
"4.0","25 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW89481671.htm","Manager maintenance","Current employee, more than 5 years","Dahej","","","Transportation, work life balance, salary, management","Not any, , , , ,","Show more"
"4.0","15 Jul 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW89145034.htm","Engineer","Current employee, more than 1 year","","","","Good Company to work
environment is good","Not any problem faced since now.
...
...","Show more"
"2.0","11 Jul 2024","Shift Engineer Operation","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW89046255.htm","Shift in charge","Current employee, more than 3 years","Dahej","Don't work with SRF No work culture No safety","SRF giving to less salary","","",""
"1.0","28 Jun 2024","Treasury intern experience","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW88670559.htm","Treasury intern","Former intern, less than 1 year","Gurgaon, Haryana","","","Company culture overall is ok.","Department working is not good. Every intern that comes doesn't even last for one month. They are not willing to teach you anything even though it's unpaid.","Show more"
"4.0","18 Jun 2024","Its a good company.","https://www.glassdoor.co.in/Reviews/Employee-Review-SRF-RVW88380986.htm","Project engineer","Former contractor","Bhiwadi","Good culture, Good work life balance.","there's some point of time we want exposer in life there's your growth is restricted.","","",""
