"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","5 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW90733852.htm","Gpm","Former employee, more than 5 years","Mumbai","Well established systems and controls","Growth as far as the hierarchy may be slow","","",""
"4.0","24 Sept 2024","Good Working Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91290305.htm","Senior officer (commercial)","Former employee, more than 3 years","","Very good working culture, very good opportunity for learning.","Growth opportunities are limited as there are multiple verticals in the department.","","",""
"1.0","14 Sept 2024","Dnt work","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91010759.htm","Fsm","Current employee, more than 8 years","Lucknow","","","Salery and incentive
..........
.....
...
...",". Zero work life balance 
. Unethical pressure 
. Poor feedback system 
. No employee ecosystem 
. Bad management
. Inter division conflict
. Politics in promoting","Show more"
"4.0","19 Sept 2024","Promotes drugs to healthcare professionals","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91158108.htm","Territory sales executive","Current employee, more than 5 years","Gurgaon, Haryana","","","Working ethics are top notch","No as such cons to highlight","Show more"
"3.0","17 Sept 2024","Research Scientist","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91111947.htm","Research scientist","Current employee","Gurgaon, Haryana","Leaves, low salary, not so good work culture","Hard to take Leaves, low salary market wise, not so good work culture & work life balance","","",""
"2.0","19 Sept 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91152828.htm","Anonymous employee","Current employee","","On time salary is good","Promoter interference is way too much with no space for innovation","","",""
"4.0","19 Sept 2024","Not good","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW91165135.htm","Senior medical representative","Current employee, more than 1 year","Dibrugarh","Good team supporting seniors better salary","Pressure targets are huge couldn't meet","","",""
"4.0","14 Aug 2024","Best place to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW90108109.htm","Traniee","Current intern, less than 1 year","Gurgaon, Haryana","","","Being the biggest generics company Sunpharma has a very good work environment and flexibility for working if you are in a PV field as there is work from home. It is an excellent place to gain hands on training in the pharma industry. Everything is taught here from scratch till you become industry ready.","Just one thing what doesn’t seem good is there is no stipend offered in here to the trainees.","Show more"
"3.0","7 Sept 2024","Nothing","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW90794761.htm","Management trainee","Former employee, less than 1 year","Mumbai","","","Nothing as such to be shared","Many difficult to share very few helpful people there","Show more"
"5.0","3 Sept 2024","Microbiologist","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW90689877.htm","Officer","Former employee, more than 1 year","Vadodara","","","Nice and good company to work","A bit of work pressure as its largest in India","Show more"
